Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Screen_Passes,Short_Passes,Medium_Passes,Long_Passes,Deep_Passes,Third_Down_Passes,Accuracy,Timing,Sense_Rush,Read_Defense,Two_Minute_Offense,Run_Frequency,Kick_Holding,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Screen_PassesZ,Short_PassesZ,Medium_PassesZ,Long_PassesZ,Deep_PassesZ,Third_Down_PassesZ,AccuracyZ,TimingZ,Sense_RushZ,Read_DefenseZ,Two_Minute_OffenseZ,Run_FrequencyZ,Kick_HoldingZ,PeakCur,PeakCurZ,Ability,Draftable
11,9,105,68,780,492,31,27,8,38,19,20,0,0,0,44,42,0,16,23,15,-2.35783633841886,-0.228310502283105,0.399334442595675,-0.335078534031414,0.276679841897234,-0.86092715231788,0.31,0.34,0.08,0.38,0.19,0.20,0.00,0.00,0.00,0.44,0.42,0.00,0.16,0.23,0.15,7,0.07,0,0
28,11,102,55,778,492,20,35,33,0,15,33,25,0,9,0,0,5,14,20,47,0,0.684931506849315,-0.0998336106489175,-1.69633507853403,0.355731225296442,-0.86092715231788,0.20,0.44,0.33,0.00,0.15,0.33,0.25,0.00,0.09,0.00,0.00,0.05,0.14,0.20,0.47,5,0.05,0,0
28,9,109,76,740,453,1,38,14,10,16,14,3,0,0,35,35,0,48,72,22,0,-0.228310502283105,1.0648918469218,0.50261780104712,1.85770750988142,1.72185430463576,0.01,0.48,0.14,0.10,0.16,0.14,0.03,0.00,0.00,0.35,0.35,0.00,0.48,0.72,0.22,3,0.03,0,0
32,9,102,87,796,455,19,43,36,18,19,68,0,0,35,77,0,14,9,63,61,0.554785020804438,-0.228310502283105,-0.0998336106489175,1.6544502617801,-0.355731225296442,1.58940397350994,0.19,0.54,0.36,0.18,0.19,0.68,0.00,0.00,0.35,0.77,0.00,0.14,0.09,0.63,0.61,6,0.06,0,0
44,10,94,88,762,458,12,49,36,8,0,26,31,13,37,75,40,46,22,75,75,2.21914008321775,0.228310502283105,-1.43094841930116,1.75916230366492,0.988142292490119,1.39072847682119,0.12,0.61,0.36,0.08,0.00,0.26,0.31,0.13,0.37,0.75,0.40,0.46,0.22,0.75,0.75,44,0.44,2,1
23,8,109,68,761,462,17,38,56,37,49,25,2,35,33,48,0,47,46,66,43,-0.693481276005548,-0.684931506849315,1.0648918469218,-0.335078534031414,1.02766798418972,1.12582781456954,0.17,0.48,0.56,0.37,0.49,0.25,0.02,0.35,0.33,0.48,0.00,0.47,0.46,0.66,0.43,9,0.09,0,0
41,10,103,84,759,468,16,48,7,7,2,45,0,30,24,27,47,7,40,70,54,1.80305131761442,0.228310502283105,0.0665557404326133,1.34031413612565,1.10671936758893,0.728476821192055,0.16,0.60,0.07,0.07,0.02,0.45,0.00,0.30,0.24,0.27,0.47,0.07,0.40,0.70,0.54,23,0.23,1,0
33,9,110,71,780,497,17,42,0,48,50,28,3,0,33,17,54,39,25,2,21,0.693481276005548,-0.228310502283105,1.23128119800333,-0.0209424083769636,0.276679841897234,-1.19205298013245,0.17,0.53,0.00,0.48,0.50,0.28,0.03,0.00,0.33,0.17,0.54,0.39,0.25,0.02,0.21,15,0.15,0,0
35,10,108,76,761,471,17,50,56,20,45,34,43,51,26,66,18,1,30,49,0,0.970873786407767,0.228310502283105,0.898502495840267,0.50261780104712,1.02766798418972,0.529801324503312,0.17,0.63,0.56,0.20,0.45,0.34,0.43,0.51,0.26,0.66,0.18,0.01,0.30,0.49,0.00,29,0.29,1,0
29,10,104,50,780,466,15,34,24,0,42,20,36,0,0,4,42,21,1,77,45,0.13869625520111,0.228310502283105,0.232945091514144,-2.21989528795812,0.276679841897234,0.86092715231788,0.15,0.43,0.24,0.00,0.42,0.20,0.36,0.00,0.00,0.04,0.42,0.21,0.01,0.77,0.45,6,0.06,0,0
28,6,91,68,795,484,6,27,9,0,2,0,0,0,0,37,16,10,14,33,25,0,-1.59817351598174,-1.93011647254576,-0.335078534031414,-0.316205533596838,-0.331125827814568,0.06,0.34,0.09,0.00,0.02,0.00,0.00,0.00,0.00,0.37,0.16,0.10,0.14,0.33,0.25,1,0.01,0,0
27,8,103,76,767,489,40,40,16,29,27,34,0,45,38,9,31,28,0,37,63,-0.13869625520111,-0.684931506849315,0.0665557404326133,0.50261780104712,0.790513833992096,-0.662251655629137,0.40,0.50,0.16,0.29,0.27,0.34,0.00,0.45,0.38,0.09,0.31,0.28,0.00,0.37,0.63,12,0.12,0,0
40,10,107,91,756,492,7,51,24,0,24,19,33,45,38,77,46,61,43,28,31,1.66435506241331,0.228310502283105,0.732113144758736,2.07329842931937,1.22529644268775,-0.86092715231788,0.07,0.64,0.24,0.00,0.24,0.19,0.33,0.45,0.38,0.77,0.46,0.61,0.43,0.28,0.31,24,0.24,1,0
11,10,102,64,780,490,15,25,21,30,13,11,50,14,10,17,24,0,33,25,3,-2.35783633841886,0.228310502283105,-0.0998336106489175,-0.753926701570681,0.276679841897234,-0.728476821192055,0.15,0.31,0.21,0.30,0.13,0.11,0.50,0.14,0.10,0.17,0.24,0.00,0.33,0.25,0.03,5,0.05,0,0
16,10,103,48,780,471,33,32,18,61,32,52,48,3,0,6,54,0,0,77,33,-1.66435506241331,0.228310502283105,0.0665557404326133,-2.42931937172775,0.276679841897234,0.529801324503312,0.33,0.40,0.18,0.61,0.32,0.52,0.48,0.03,0.00,0.06,0.54,0.00,0.00,0.77,0.33,9,0.09,0,0
39,11,105,64,801,494,28,43,37,24,35,46,30,30,0,26,0,11,28,2,13,1.52565880721221,0.684931506849315,0.399334442595675,-0.753926701570681,-0.553359683794465,-0.993377483443711,0.28,0.54,0.37,0.24,0.35,0.46,0.30,0.30,0.00,0.26,0.00,0.11,0.28,0.02,0.13,18,0.18,1,0
30,7,99,69,780,484,15,36,34,38,17,16,25,39,10,33,43,61,0,50,73,0.277392510402219,-1.14155251141553,-0.59900166389351,-0.230366492146597,0.276679841897234,-0.331125827814568,0.15,0.45,0.34,0.38,0.17,0.16,0.25,0.39,0.10,0.33,0.43,0.61,0.00,0.50,0.73,12,0.12,0,0
23,11,92,78,824,507,14,27,4,6,3,34,32,18,29,38,0,0,0,0,57,-0.693481276005548,0.684931506849315,-1.76372712146423,0.712041884816754,-1.46245059288538,-1.85430463576159,0.14,0.34,0.04,0.06,0.03,0.34,0.32,0.18,0.29,0.38,0.00,0.00,0.00,0.00,0.57,4,0.04,0,0
29,11,108,70,780,484,31,42,21,0,22,37,9,7,14,38,22,0,42,25,0,0.13869625520111,0.684931506849315,0.898502495840267,-0.12565445026178,0.276679841897234,-0.331125827814568,0.31,0.53,0.21,0.00,0.22,0.37,0.09,0.07,0.14,0.38,0.22,0.00,0.42,0.25,0.00,18,0.18,1,0
29,13,92,71,776,494,27,42,21,38,0,33,56,16,54,24,23,0,0,31,47,0.13869625520111,1.59817351598174,-1.76372712146423,-0.0209424083769636,0.434782608695653,-0.993377483443711,0.27,0.53,0.21,0.38,0.00,0.33,0.56,0.16,0.54,0.24,0.23,0.00,0.00,0.31,0.47,24,0.24,1,0
12,8,106,73,818,484,17,23,11,23,33,0,17,2,32,42,10,25,18,77,33,-2.21914008321775,-0.684931506849315,0.565723793677206,0.18848167539267,-1.22529644268775,-0.331125827814568,0.17,0.29,0.11,0.23,0.33,0.00,0.17,0.02,0.32,0.42,0.10,0.25,0.18,0.77,0.33,5,0.05,0,0
28,13,108,70,800,497,16,43,0,55,36,37,46,0,58,26,34,0,53,6,63,0,1.59817351598174,0.898502495840267,-0.12565445026178,-0.513833992094861,-1.19205298013245,0.16,0.54,0.00,0.55,0.36,0.37,0.46,0.00,0.58,0.26,0.34,0.00,0.53,0.06,0.63,18,0.18,1,0
28,7,100,79,821,479,41,34,12,0,10,0,21,0,44,59,0,36,23,77,76,0,-1.14155251141553,-0.432612312811979,0.81675392670157,-1.34387351778656,0,0.41,0.43,0.12,0.00,0.10,0.00,0.21,0.00,0.44,0.59,0.00,0.36,0.23,0.77,0.76,10,0.10,0,0
35,9,95,54,806,496,38,36,0,21,0,15,15,4,13,0,13,22,14,6,19,0.970873786407767,-0.228310502283105,-1.26455906821963,-1.80104712041885,-0.750988142292492,-1.12582781456954,0.38,0.45,0.00,0.21,0.00,0.15,0.15,0.04,0.13,0.00,0.13,0.22,0.14,0.06,0.19,11,0.11,0,0
31,11,102,60,808,462,27,35,12,16,16,30,18,9,2,28,0,17,27,72,20,0.416088765603329,0.684931506849315,-0.0998336106489175,-1.17277486910995,-0.830039525691699,1.12582781456954,0.27,0.44,0.12,0.16,0.16,0.30,0.18,0.09,0.02,0.28,0.00,0.17,0.27,0.72,0.20,7,0.07,0,0
28,12,108,80,737,460,13,49,30,30,41,11,53,8,0,67,40,22,25,55,19,0,1.14155251141553,0.898502495840267,0.921465968586387,1.97628458498024,1.25827814569537,0.13,0.61,0.30,0.30,0.41,0.11,0.53,0.08,0.00,0.67,0.40,0.22,0.25,0.55,0.19,16,0.16,1,0
28,12,103,71,801,462,33,42,29,47,9,42,26,60,1,64,0,7,8,77,5,0,1.14155251141553,0.0665557404326133,-0.0209424083769636,-0.553359683794465,1.12582781456954,0.33,0.53,0.29,0.47,0.09,0.42,0.26,0.60,0.01,0.64,0.00,0.07,0.08,0.77,0.05,15,0.15,0,0
39,10,103,70,780,484,12,43,42,13,39,44,1,34,17,49,13,19,63,2,60,1.52565880721221,0.228310502283105,0.0665557404326133,-0.12565445026178,0.276679841897234,-0.331125827814568,0.12,0.54,0.42,0.13,0.39,0.44,0.01,0.34,0.17,0.49,0.13,0.19,0.63,0.02,0.60,40,0.40,2,1
28,10,111,57,793,473,13,37,6,25,68,20,51,0,10,2,28,29,18,77,77,0,0.228310502283105,1.39767054908486,-1.4869109947644,-0.237154150197627,0.397350993377481,0.13,0.46,0.06,0.25,0.68,0.20,0.51,0.00,0.10,0.02,0.28,0.29,0.18,0.77,0.77,5,0.05,0,0
28,6,104,68,773,479,28,40,42,50,35,2,12,0,0,49,37,22,69,31,41,0,-1.59817351598174,0.232945091514144,-0.335078534031414,0.553359683794465,0,0.28,0.50,0.42,0.50,0.35,0.02,0.12,0.00,0.00,0.49,0.37,0.22,0.69,0.31,0.41,10,0.10,0,0
30,7,98,73,768,472,29,38,29,40,4,4,10,10,24,43,44,14,45,44,71,0.277392510402219,-1.14155251141553,-0.765391014975041,0.18848167539267,0.750988142292492,0.463576158940399,0.29,0.48,0.29,0.40,0.04,0.04,0.10,0.10,0.24,0.43,0.44,0.14,0.45,0.44,0.71,14,0.14,0,0
40,7,92,66,798,471,17,37,32,38,0,23,0,67,29,20,0,59,16,62,53,1.66435506241331,-1.14155251141553,-1.76372712146423,-0.544502617801047,-0.434782608695653,0.529801324503312,0.17,0.46,0.32,0.38,0.00,0.23,0.00,0.67,0.29,0.20,0.00,0.59,0.16,0.62,0.53,7,0.07,0,0
22,6,106,64,825,498,12,25,0,16,27,0,0,34,19,35,8,0,21,24,77,-0.832177531206657,-1.59817351598174,0.565723793677206,-0.753926701570681,-1.50197628458498,-1.25827814569537,0.12,0.31,0.00,0.16,0.27,0.00,0.00,0.34,0.19,0.35,0.08,0.00,0.21,0.24,0.77,6,0.06,0,0
40,10,102,59,764,467,25,41,19,23,3,10,26,0,0,8,37,42,0,51,45,1.66435506241331,0.228310502283105,-0.0998336106489175,-1.27748691099476,0.909090909090911,0.794701986754968,0.25,0.51,0.19,0.23,0.03,0.10,0.26,0.00,0.00,0.08,0.37,0.42,0.00,0.51,0.45,10,0.10,0,0
17,10,103,78,783,484,13,30,12,0,8,0,38,7,22,37,19,9,7,0,53,-1.52565880721221,0.228310502283105,0.0665557404326133,0.712041884816754,0.158102766798419,-0.331125827814568,0.13,0.38,0.12,0.00,0.08,0.00,0.38,0.07,0.22,0.37,0.19,0.09,0.07,0.00,0.53,5,0.05,0,0
35,7,101,70,779,471,28,37,33,24,13,5,0,0,8,19,37,33,24,69,32,0.970873786407767,-1.14155251141553,-0.266222961730448,-0.12565445026178,0.316205533596838,0.529801324503312,0.28,0.46,0.33,0.24,0.13,0.05,0.00,0.00,0.08,0.19,0.37,0.33,0.24,0.69,0.32,34,0.34,2,0
23,8,109,71,770,484,25,37,38,50,53,21,0,38,37,68,33,1,18,32,9,-0.693481276005548,-0.684931506849315,1.0648918469218,-0.0209424083769636,0.67193675889328,-0.331125827814568,0.25,0.46,0.38,0.50,0.53,0.21,0.00,0.38,0.37,0.68,0.33,0.01,0.18,0.32,0.09,10,0.10,0,0
44,13,105,78,752,484,13,54,32,33,37,24,60,21,60,15,39,77,26,28,8,2.21914008321775,1.59817351598174,0.399334442595675,0.712041884816754,1.38339920948617,-0.331125827814568,0.13,0.68,0.32,0.33,0.37,0.24,0.60,0.21,0.60,0.15,0.39,0.77,0.26,0.28,0.08,60,0.60,3,1
28,15,105,62,752,503,28,40,27,2,12,27,19,7,20,2,16,0,21,9,0,0,2.51141552511416,0.399334442595675,-0.963350785340314,1.38339920948617,-1.58940397350994,0.28,0.50,0.27,0.02,0.12,0.27,0.19,0.07,0.20,0.02,0.16,0.00,0.21,0.09,0.00,7,0.07,0,0
36,10,95,67,825,501,29,34,19,13,0,2,19,9,16,33,0,13,9,0,71,1.10957004160888,0.228310502283105,-1.26455906821963,-0.439790575916231,-1.50197628458498,-1.4569536423841,0.29,0.43,0.19,0.13,0.00,0.02,0.19,0.09,0.16,0.33,0.00,0.13,0.09,0.00,0.71,9,0.09,0,0
28,6,101,53,837,507,28,21,13,1,24,0,0,26,0,27,2,41,25,0,53,0,-1.59817351598174,-0.266222961730448,-1.90575916230367,-1.97628458498023,-1.85430463576159,0.28,0.26,0.13,0.01,0.24,0.00,0.00,0.26,0.00,0.27,0.02,0.41,0.25,0.00,0.53,7,0.07,0,0
34,10,92,78,753,481,28,47,53,44,0,30,33,6,49,59,38,13,18,28,76,0.832177531206657,0.228310502283105,-1.76372712146423,0.712041884816754,1.34387351778656,-0.132450331125825,0.28,0.59,0.53,0.44,0.00,0.30,0.33,0.06,0.49,0.59,0.38,0.13,0.18,0.28,0.76,49,0.49,2,1
21,10,90,79,794,476,11,29,17,26,0,13,29,26,40,47,10,24,10,60,22,-0.970873786407767,0.228310502283105,-2.09650582362729,0.81675392670157,-0.276679841897234,0.198675496688743,0.11,0.36,0.17,0.26,0.00,0.13,0.29,0.26,0.40,0.47,0.10,0.24,0.10,0.60,0.22,5,0.05,0,0
40,13,103,64,785,481,37,51,11,15,31,37,63,0,34,18,40,56,43,18,77,1.66435506241331,1.59817351598174,0.0665557404326133,-0.753926701570681,0.0790513833992113,-0.132450331125825,0.37,0.64,0.11,0.15,0.31,0.37,0.63,0.00,0.34,0.18,0.40,0.56,0.43,0.18,0.77,41,0.41,2,1
31,7,98,67,789,486,13,31,37,0,0,24,0,0,22,24,0,18,17,17,50,0.416088765603329,-1.14155251141553,-0.765391014975041,-0.439790575916231,-0.0790513833992078,-0.463576158940399,0.13,0.39,0.37,0.00,0.00,0.24,0.00,0.00,0.22,0.24,0.00,0.18,0.17,0.17,0.50,2,0.02,0,0
31,8,97,79,768,473,41,43,30,0,0,38,0,38,24,77,46,59,57,49,10,0.416088765603329,-0.684931506849315,-0.931780366056571,0.81675392670157,0.750988142292492,0.397350993377481,0.41,0.54,0.30,0.00,0.00,0.38,0.00,0.38,0.24,0.77,0.46,0.59,0.57,0.49,0.10,16,0.16,1,0
16,8,101,69,810,483,14,23,7,0,7,24,1,0,0,49,3,0,10,35,19,-1.66435506241331,-0.684931506849315,-0.266222961730448,-0.230366492146597,-0.909090909090907,-0.264900662251656,0.14,0.29,0.07,0.00,0.07,0.24,0.01,0.00,0.00,0.49,0.03,0.00,0.10,0.35,0.19,3,0.03,0,0
31,10,108,75,774,475,46,45,4,31,16,6,36,10,1,69,29,0,18,53,41,0.416088765603329,0.228310502283105,0.898502495840267,0.397905759162303,0.513833992094861,0.264900662251656,0.46,0.56,0.04,0.31,0.16,0.06,0.36,0.10,0.01,0.69,0.29,0.00,0.18,0.53,0.41,38,0.38,2,0
26,6,94,69,768,461,31,31,24,15,0,0,0,0,0,34,41,1,2,48,39,-0.277392510402219,-1.59817351598174,-1.43094841930116,-0.230366492146597,0.750988142292492,1.19205298013245,0.31,0.39,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.34,0.41,0.01,0.02,0.48,0.39,6,0.06,0,0
17,6,96,73,780,468,28,25,43,22,0,2,0,0,48,3,10,19,15,59,53,-1.52565880721221,-1.59817351598174,-1.0981697171381,0.18848167539267,0.276679841897234,0.728476821192055,0.28,0.31,0.43,0.22,0.00,0.02,0.00,0.00,0.48,0.03,0.10,0.19,0.15,0.59,0.53,7,0.07,0,0
20,8,108,82,809,466,22,30,13,0,42,6,1,0,44,40,0,0,26,69,69,-1.10957004160888,-0.684931506849315,0.898502495840267,1.13089005235602,-0.869565217391303,0.86092715231788,0.22,0.38,0.13,0.00,0.42,0.06,0.01,0.00,0.44,0.40,0.00,0.00,0.26,0.69,0.69,3,0.03,0,0
32,11,104,59,725,462,18,47,54,2,21,56,33,27,18,18,62,69,0,69,18,0.554785020804438,0.684931506849315,0.232945091514144,-1.27748691099476,2.45059288537549,1.12582781456954,0.18,0.59,0.54,0.02,0.21,0.56,0.33,0.27,0.18,0.18,0.62,0.69,0.00,0.69,0.18,28,0.28,1,0
30,10,108,79,768,468,8,45,34,44,28,22,20,37,46,60,55,7,36,35,61,0.277392510402219,0.228310502283105,0.898502495840267,0.81675392670157,0.750988142292492,0.728476821192055,0.08,0.56,0.34,0.44,0.28,0.22,0.20,0.37,0.46,0.60,0.55,0.07,0.36,0.35,0.61,32,0.32,2,0
19,7,108,78,774,500,42,36,33,8,50,8,0,0,27,32,46,0,18,12,69,-1.24826629680999,-1.14155251141553,0.898502495840267,0.712041884816754,0.513833992094861,-1.39072847682119,0.42,0.45,0.33,0.08,0.50,0.08,0.00,0.00,0.27,0.32,0.46,0.00,0.18,0.12,0.69,20,0.20,1,0
37,12,109,68,761,484,11,49,43,0,62,23,48,56,19,44,6,42,31,51,68,1.24826629680999,1.14155251141553,1.0648918469218,-0.335078534031414,1.02766798418972,-0.331125827814568,0.11,0.61,0.43,0.00,0.62,0.23,0.48,0.56,0.19,0.44,0.06,0.42,0.31,0.51,0.68,55,0.55,3,1
27,9,96,79,809,460,23,34,30,26,10,43,9,20,37,59,0,44,18,68,58,-0.13869625520111,-0.228310502283105,-1.0981697171381,0.81675392670157,-0.869565217391303,1.25827814569537,0.23,0.43,0.30,0.26,0.10,0.43,0.09,0.20,0.37,0.59,0.00,0.44,0.18,0.68,0.58,6,0.06,0,0
37,10,108,80,752,468,22,50,27,59,17,5,27,35,3,65,53,41,0,30,52,1.24826629680999,0.228310502283105,0.898502495840267,0.921465968586387,1.38339920948617,0.728476821192055,0.22,0.63,0.27,0.59,0.17,0.05,0.27,0.35,0.03,0.65,0.53,0.41,0.00,0.30,0.52,20,0.20,1,0
30,9,110,88,780,465,5,42,29,35,53,0,3,0,25,69,9,0,0,13,8,0.277392510402219,-0.228310502283105,1.23128119800333,1.75916230366492,0.276679841897234,0.927152317880793,0.05,0.53,0.29,0.35,0.53,0.00,0.03,0.00,0.25,0.69,0.09,0.00,0.00,0.13,0.08,6,0.06,0,0
11,6,103,69,780,484,45,24,0,0,20,3,0,0,0,44,17,0,0,41,10,-2.35783633841886,-1.59817351598174,0.0665557404326133,-0.230366492146597,0.276679841897234,-0.331125827814568,0.45,0.30,0.00,0.00,0.20,0.03,0.00,0.00,0.00,0.44,0.17,0.00,0.00,0.41,0.10,9,0.09,0,0
35,13,114,94,780,466,33,55,2,39,24,45,11,58,28,54,32,37,0,60,69,0.970873786407767,1.59817351598174,1.89683860232945,2.38743455497382,0.276679841897234,0.86092715231788,0.33,0.69,0.02,0.39,0.24,0.45,0.11,0.58,0.28,0.54,0.32,0.37,0.00,0.60,0.69,25,0.25,1,0
22,11,99,69,780,484,26,35,9,14,1,39,25,0,0,69,29,31,0,69,6,-0.832177531206657,0.684931506849315,-0.59900166389351,-0.230366492146597,0.276679841897234,-0.331125827814568,0.26,0.44,0.09,0.14,0.01,0.39,0.25,0.00,0.00,0.69,0.29,0.31,0.00,0.69,0.06,8,0.08,0,0
27,8,106,62,780,474,27,32,11,26,0,0,0,2,0,17,6,0,0,32,17,-0.13869625520111,-0.684931506849315,0.565723793677206,-0.963350785340314,0.276679841897234,0.331125827814568,0.27,0.40,0.11,0.26,0.00,0.00,0.00,0.02,0.00,0.17,0.06,0.00,0.00,0.32,0.17,4,0.04,0,0
11,10,100,67,840,477,35,22,0,0,0,12,15,45,14,6,0,7,18,60,69,-2.35783633841886,0.228310502283105,-0.432612312811979,-0.439790575916231,-2.09486166007905,0.132450331125831,0.35,0.28,0.00,0.00,0.00,0.12,0.15,0.45,0.14,0.06,0.00,0.07,0.18,0.60,0.69,9,0.09,0,0
29,10,103,56,812,469,19,30,3,7,13,7,16,0,6,0,24,15,1,69,69,0.13869625520111,0.228310502283105,0.0665557404326133,-1.59162303664921,-0.988142292490115,0.662251655629137,0.19,0.38,0.03,0.07,0.13,0.07,0.16,0.00,0.06,0.00,0.24,0.15,0.01,0.69,0.69,6,0.06,0,0
33,10,101,61,797,474,12,38,0,12,2,28,42,44,13,7,23,14,29,38,35,0.693481276005548,0.228310502283105,-0.266222961730448,-1.06806282722513,-0.395256916996046,0.331125827814568,0.12,0.48,0.00,0.12,0.02,0.28,0.42,0.44,0.13,0.07,0.23,0.14,0.29,0.38,0.35,17,0.17,1,0
25,10,97,74,744,469,24,36,30,10,0,4,0,5,14,19,29,0,2,59,13,-0.416088765603329,0.228310502283105,-0.931780366056571,0.293193717277487,1.699604743083,0.662251655629137,0.24,0.45,0.30,0.10,0.00,0.04,0.00,0.05,0.14,0.19,0.29,0.00,0.02,0.59,0.13,6,0.06,0,0
8,10,98,59,780,483,7,21,9,7,0,6,35,0,10,0,51,0,0,66,0,-2.77392510402219,0.228310502283105,-0.765391014975041,-1.27748691099476,0.276679841897234,-0.264900662251656,0.07,0.26,0.09,0.07,0.00,0.06,0.35,0.00,0.10,0.00,0.51,0.00,0.00,0.66,0.00,9,0.09,0,0
19,9,98,52,805,479,17,22,0,4,11,27,23,39,6,0,25,5,24,28,69,-1.24826629680999,-0.228310502283105,-0.765391014975041,-2.01047120418848,-0.711462450592888,0,0.17,0.28,0.00,0.04,0.11,0.27,0.23,0.39,0.06,0.00,0.25,0.05,0.24,0.28,0.69,7,0.07,0,0
20,10,104,74,795,484,37,38,16,34,22,31,0,17,0,31,15,24,35,40,11,-1.10957004160888,0.228310502283105,0.232945091514144,0.293193717277487,-0.316205533596838,-0.331125827814568,0.37,0.48,0.16,0.34,0.22,0.31,0.00,0.17,0.00,0.31,0.15,0.24,0.35,0.40,0.11,12,0.12,0,0
21,9,105,68,771,481,31,36,46,48,28,33,10,19,15,54,0,0,14,56,60,-0.970873786407767,-0.228310502283105,0.399334442595675,-0.335078534031414,0.632411067193676,-0.132450331125825,0.31,0.45,0.46,0.48,0.28,0.33,0.10,0.19,0.15,0.54,0.00,0.00,0.14,0.56,0.60,11,0.11,0,0
28,11,109,69,755,480,20,44,42,20,16,6,61,60,0,64,29,0,0,35,69,0,0.684931506849315,1.0648918469218,-0.230366492146597,1.26482213438735,-0.0662251655629125,0.20,0.55,0.42,0.20,0.16,0.06,0.61,0.60,0.00,0.64,0.29,0.00,0.00,0.35,0.69,18,0.18,1,0
29,7,95,76,821,489,19,28,0,43,4,6,4,46,6,69,0,32,64,28,69,0.13869625520111,-1.14155251141553,-1.26455906821963,0.50261780104712,-1.34387351778656,-0.662251655629137,0.19,0.35,0.00,0.43,0.04,0.06,0.04,0.46,0.06,0.69,0.00,0.32,0.64,0.28,0.69,4,0.04,0,0
