Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Defense,Pass_Rush_Technique,Pass_Rush_Strength,Man_to_Man_Defense,Zone_Defense,Bump_and_Run_Defense,Play_Diagnosis,Punishing_Hitter,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_DefenseZ,Pass_Rush_TechniqueZ,Pass_Rush_StrengthZ,Man_to_Man_DefenseZ,Zone_DefenseZ,Bump_and_Run_DefenseZ,Play_DiagnosisZ,Punishing_HitterZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
21,14,100,22,757,494,44,28,35,0,0,0,7,0,11,25,0,0,-0.575035063113605,-0.802292263610315,-1.46757679180887,-0.207253886010363,-0.552763819095479,-1.59663865546219,0.44,0.35,0.35,0.00,0.00,0.00,0.07,0.00,0.11,0.25,0.00,0.00,8,0.08,0,0
16,18,95,14,780,495,39,20,0,0,54,4,55,14,9,27,42,68,-1.27629733520337,0.343839541547278,-2.32081911262799,-1.24352331606218,-1.70854271356784,-1.68067226890756,0.39,0.25,0.00,0.00,0.54,0.04,0.55,0.14,0.09,0.27,0.42,0.68,9,0.09,0,0
21,10,97,26,739,469,54,39,49,50,0,0,25,0,31,5,14,55,-0.575035063113605,-1.94842406876791,-1.97952218430034,0.310880829015544,0.351758793969851,0.504201680672266,0.54,0.49,0.49,0.50,0.00,0.00,0.25,0.00,0.31,0.05,0.14,0.55,14,0.14,0,0
34,15,106,20,722,495,37,37,21,0,6,0,0,5,0,18,17,0,1.24824684431978,-0.515759312320917,-0.443686006825938,-0.466321243523316,1.20603015075377,-1.68067226890756,0.37,0.46,0.21,0.00,0.06,0.00,0.00,0.05,0.00,0.18,0.17,0.00,39,0.39,2,0
33,20,113,23,722,467,33,49,32,14,28,54,11,12,11,13,68,16,1.10799438990182,0.916905444126074,0.75085324232082,-0.0777202072538862,1.20603015075377,0.672268907563026,0.33,0.61,0.32,0.14,0.28,0.54,0.11,0.12,0.11,0.13,0.68,0.16,31,0.31,2,0
24,18,110,20,780,481,30,26,0,6,25,7,15,37,0,42,0,0,-0.154277699859748,0.343839541547278,0.238907849829352,-0.466321243523316,-1.70854271356784,-0.504201680672266,0.30,0.33,0.00,0.06,0.25,0.07,0.15,0.37,0.00,0.42,0.00,0.00,11,0.11,0,0
20,18,109,17,749,465,58,39,0,50,27,9,0,0,32,35,0,24,-0.715287517531557,0.343839541547278,0.06825938566553,-0.854922279792746,-0.150753768844222,0.840336134453779,0.58,0.49,0.00,0.50,0.27,0.09,0.00,0.00,0.32,0.35,0.00,0.24,19,0.19,1,0
14,12,101,22,727,460,51,42,56,53,0,3,7,0,21,11,34,0,-1.55680224403927,-1.37535816618911,-1.29692832764505,-0.207253886010363,0.954773869346736,1.26050420168068,0.51,0.53,0.56,0.53,0.00,0.03,0.07,0.00,0.21,0.11,0.34,0.00,35,0.35,2,0
33,17,111,30,760,459,40,41,2,59,16,27,43,47,50,7,68,13,1.10799438990182,0.0573065902578795,0.409556313993175,0.829015544041451,-0.703517587939697,1.34453781512605,0.40,0.51,0.02,0.59,0.16,0.27,0.43,0.47,0.50,0.07,0.68,0.13,48,0.48,2,1
17,19,112,26,776,458,63,37,0,39,10,5,14,23,0,42,24,0,-1.13604488078541,0.630372492836676,0.580204778156998,0.310880829015544,-1.50753768844221,1.42857142857143,0.63,0.46,0.00,0.39,0.10,0.05,0.14,0.23,0.00,0.42,0.24,0.00,16,0.16,1,0
35,20,109,32,768,465,28,36,0,64,42,43,22,62,41,42,57,68,1.38849929873773,0.916905444126074,0.06825938566553,1.0880829015544,-1.10552763819095,0.840336134453779,0.28,0.45,0.00,0.64,0.42,0.43,0.22,0.62,0.41,0.42,0.57,0.68,14,0.14,0,0
17,18,109,21,765,493,40,27,1,0,37,7,9,23,5,31,0,0,-1.13604488078541,0.343839541547278,0.06825938566553,-0.33678756476684,-0.954773869346736,-1.5126050420168,0.40,0.34,0.01,0.00,0.37,0.07,0.09,0.23,0.05,0.31,0.00,0.00,14,0.14,0,0
22,18,113,30,780,471,45,34,0,11,29,19,20,57,35,22,8,19,-0.434782608695652,0.343839541547278,0.75085324232082,0.829015544041451,-1.70854271356784,0.336134453781513,0.45,0.43,0.00,0.11,0.29,0.19,0.20,0.57,0.35,0.22,0.08,0.19,17,0.17,1,0
15,20,108,10,740,495,49,33,6,0,33,34,0,0,4,13,14,13,-1.41654978962132,0.916905444126074,-0.102389078498293,-1.76165803108808,0.30150753768844,-1.68067226890756,0.49,0.41,0.06,0.00,0.33,0.34,0.00,0.00,0.04,0.13,0.14,0.13,12,0.12,0,0
30,27,117,34,712,444,44,67,68,68,68,40,19,68,25,68,38,56,0.687237026647966,2.92263610315186,1.43344709897611,1.34715025906736,1.70854271356784,2.60504201680672,0.44,0.84,0.68,0.68,0.68,0.40,0.19,0.68,0.25,0.68,0.38,0.56,71,0.71,4,1
20,18,114,20,724,467,49,48,33,21,39,19,20,26,28,0,2,35,-0.715287517531557,0.343839541547278,0.921501706484643,-0.466321243523316,1.10552763819095,0.672268907563026,0.49,0.60,0.33,0.21,0.39,0.19,0.20,0.26,0.28,0.00,0.02,0.35,36,0.36,2,0
16,21,101,16,730,487,56,38,26,7,49,9,37,0,0,43,11,29,-1.27629733520337,1.20343839541547,-1.29692832764505,-0.984455958549223,0.804020100502513,-1.00840336134454,0.56,0.48,0.26,0.07,0.49,0.09,0.37,0.00,0.00,0.43,0.11,0.29,17,0.17,1,0
21,20,106,31,725,469,60,52,55,47,20,59,49,3,4,14,32,63,-0.575035063113605,0.916905444126074,-0.443686006825938,0.958549222797927,1.05527638190955,0.504201680672266,0.60,0.65,0.55,0.47,0.20,0.59,0.49,0.03,0.04,0.14,0.32,0.63,33,0.33,2,0
26,10,111,28,740,463,56,49,30,52,0,49,45,0,57,33,43,43,0.126227208976157,-1.94842406876791,0.409556313993175,0.569948186528497,0.30150753768844,1.00840336134454,0.56,0.61,0.30,0.52,0.00,0.49,0.45,0.00,0.57,0.33,0.43,0.43,52,0.52,3,1
22,21,110,12,765,490,34,28,0,8,39,10,0,53,47,39,7,20,-0.434782608695652,1.20343839541547,0.238907849829352,-1.50259067357513,-0.954773869346736,-1.26050420168068,0.34,0.35,0.00,0.08,0.39,0.10,0.00,0.53,0.47,0.39,0.07,0.20,12,0.12,0,0
22,10,102,18,763,495,39,23,6,0,12,14,18,0,6,0,4,23,-0.434782608695652,-1.94842406876791,-1.12627986348123,-0.72538860103627,-0.854271356783919,-1.68067226890756,0.39,0.29,0.06,0.00,0.12,0.14,0.18,0.00,0.06,0.00,0.04,0.23,8,0.08,0,0
17,12,104,25,754,490,67,34,41,2,3,0,14,1,11,2,49,53,-1.13604488078541,-1.37535816618911,-0.784982935153583,0.181347150259067,-0.402010050251257,-1.26050420168068,0.67,0.43,0.41,0.02,0.03,0.00,0.14,0.01,0.11,0.02,0.49,0.53,17,0.17,1,0
27,16,113,29,708,465,35,56,68,40,0,56,63,20,35,58,54,15,0.266479663394109,-0.229226361031519,0.75085324232082,0.699481865284974,1.90954773869347,0.840336134453779,0.35,0.70,0.68,0.40,0.00,0.56,0.63,0.20,0.35,0.58,0.54,0.15,48,0.48,2,1
22,18,103,17,780,471,60,32,0,31,39,0,3,56,0,4,53,66,-0.434782608695652,0.343839541547278,-0.955631399317405,-0.854922279792746,-1.70854271356784,0.336134453781513,0.60,0.40,0.00,0.31,0.39,0.00,0.03,0.56,0.00,0.04,0.53,0.66,11,0.11,0,0
24,18,109,20,740,469,34,38,7,44,19,9,0,48,21,8,0,0,-0.154277699859748,0.343839541547278,0.06825938566553,-0.466321243523316,0.30150753768844,0.504201680672266,0.34,0.48,0.07,0.44,0.19,0.09,0.00,0.48,0.21,0.08,0.00,0.00,12,0.12,0,0
41,23,113,33,717,469,58,63,54,52,62,66,57,14,67,26,17,68,2.23001402524544,1.77650429799427,0.75085324232082,1.21761658031088,1.4572864321608,0.504201680672266,0.58,0.79,0.54,0.52,0.62,0.66,0.57,0.14,0.67,0.26,0.17,0.68,43,0.43,2,1
25,19,114,34,722,469,22,46,37,40,45,39,24,16,0,22,0,6,-0.0140252454417954,0.630372492836676,0.921501706484643,1.34715025906736,1.20603015075377,0.504201680672266,0.22,0.58,0.37,0.40,0.45,0.39,0.24,0.16,0.00,0.22,0.00,0.06,57,0.57,3,1
11,18,96,17,778,463,39,24,1,59,42,21,17,0,0,17,0,12,-1.97755960729313,0.343839541547278,-2.15017064846416,-0.854922279792746,-1.60804020100503,1.00840336134454,0.39,0.30,0.01,0.59,0.42,0.21,0.17,0.00,0.00,0.17,0.00,0.12,10,0.10,0,0
17,10,113,23,740,495,50,33,2,0,0,5,13,24,1,8,24,14,-1.13604488078541,-1.94842406876791,0.75085324232082,-0.0777202072538862,0.30150753768844,-1.68067226890756,0.50,0.41,0.02,0.00,0.00,0.05,0.13,0.24,0.01,0.08,0.24,0.14,14,0.14,0,0
23,14,111,30,736,473,41,42,39,31,0,0,0,31,0,36,55,10,-0.2945301542777,-0.802292263610315,0.409556313993175,0.829015544041451,0.502512562814069,0.168067226890753,0.41,0.53,0.39,0.31,0.00,0.00,0.00,0.31,0.00,0.36,0.55,0.10,30,0.30,1,0
22,19,111,11,765,482,27,27,0,0,20,32,5,45,39,28,0,26,-0.434782608695652,0.630372492836676,0.409556313993175,-1.63212435233161,-0.954773869346736,-0.58823529411765,0.27,0.34,0.00,0.00,0.20,0.32,0.05,0.45,0.39,0.28,0.00,0.26,8,0.08,0,0
33,20,106,19,730,471,60,45,0,15,26,0,0,0,7,0,8,0,1.10799438990182,0.916905444126074,-0.443686006825938,-0.595854922279793,0.804020100502513,0.336134453781513,0.60,0.56,0.00,0.15,0.26,0.00,0.00,0.00,0.07,0.00,0.08,0.00,17,0.17,1,0
28,18,109,32,780,495,24,25,0,0,29,67,37,18,0,28,5,60,0.406732117812062,0.343839541547278,0.06825938566553,1.0880829015544,-1.70854271356784,-1.68067226890756,0.24,0.31,0.00,0.00,0.29,0.67,0.37,0.18,0.00,0.28,0.05,0.60,9,0.09,0,0
22,18,110,18,752,483,20,32,30,11,42,25,0,64,0,63,54,0,-0.434782608695652,0.343839541547278,0.238907849829352,-0.72538860103627,-0.30150753768844,-0.672268907563026,0.20,0.40,0.30,0.11,0.42,0.25,0.00,0.64,0.00,0.63,0.54,0.00,13,0.13,0,0
26,13,113,23,771,489,52,33,0,0,0,55,15,39,43,17,61,12,0.126227208976157,-1.08882521489971,0.75085324232082,-0.0777202072538862,-1.25628140703518,-1.17647058823529,0.52,0.41,0.00,0.00,0.00,0.55,0.15,0.39,0.43,0.17,0.61,0.12,13,0.13,0,0
31,18,112,32,729,493,55,49,57,0,3,20,26,31,18,58,46,0,0.827489481065918,0.343839541547278,0.580204778156998,1.0880829015544,0.854271356783919,-1.5126050420168,0.55,0.61,0.57,0.00,0.03,0.20,0.26,0.31,0.18,0.58,0.46,0.00,36,0.36,2,0
31,19,119,17,732,466,22,46,26,24,28,68,13,58,21,25,43,24,0.827489481065918,0.630372492836676,1.77474402730376,-0.854922279792746,0.703517587939697,0.756302521008402,0.22,0.58,0.26,0.24,0.28,0.68,0.13,0.58,0.21,0.25,0.43,0.24,60,0.60,3,1
34,14,112,23,728,476,25,42,38,10,6,6,44,68,56,4,53,50,1.24824684431978,-0.802292263610315,0.580204778156998,-0.0777202072538862,0.904522613065325,-0.0840336134453764,0.25,0.53,0.38,0.10,0.06,0.06,0.44,0.68,0.56,0.04,0.53,0.50,39,0.39,2,0
24,18,113,9,740,464,33,40,40,42,48,24,0,0,40,32,9,0,-0.154277699859748,0.343839541547278,0.75085324232082,-1.89119170984456,0.30150753768844,0.924369747899162,0.33,0.50,0.40,0.42,0.48,0.24,0.00,0.00,0.40,0.32,0.09,0.00,46,0.46,2,1
33,17,94,21,780,495,30,19,0,0,28,0,3,0,6,0,0,16,1.10799438990182,0.0573065902578795,-2.49146757679181,-0.33678756476684,-1.70854271356784,-1.68067226890756,0.30,0.24,0.00,0.00,0.28,0.00,0.03,0.00,0.06,0.00,0.00,0.16,4,0.04,0,0
34,20,108,26,734,467,50,48,31,12,19,4,23,0,20,33,4,10,1.24824684431978,0.916905444126074,-0.102389078498293,0.310880829015544,0.603015075376885,0.672268907563026,0.50,0.60,0.31,0.12,0.19,0.04,0.23,0.00,0.20,0.33,0.04,0.10,36,0.36,2,0
25,20,109,16,765,461,31,33,0,42,31,37,3,13,6,32,0,3,-0.0140252454417954,0.916905444126074,0.06825938566553,-0.984455958549223,-0.954773869346736,1.17647058823529,0.31,0.41,0.00,0.42,0.31,0.37,0.03,0.13,0.06,0.32,0.00,0.03,11,0.11,0,0
25,23,112,23,740,463,71,54,23,45,46,7,25,60,20,12,34,15,-0.0140252454417954,1.77650429799427,0.580204778156998,-0.0777202072538862,0.30150753768844,1.00840336134454,0.71,0.68,0.23,0.45,0.46,0.07,0.25,0.60,0.20,0.12,0.34,0.15,29,0.29,1,0
20,11,109,15,751,480,53,33,3,17,0,45,0,28,8,0,33,5,-0.715287517531557,-1.66189111747851,0.06825938566553,-1.1139896373057,-0.251256281407034,-0.420168067226889,0.53,0.41,0.03,0.17,0.00,0.45,0.00,0.28,0.08,0.00,0.33,0.05,12,0.12,0,0
25,19,100,22,780,477,41,28,0,5,32,0,34,30,38,29,26,5,-0.0140252454417954,0.630372492836676,-1.46757679180887,-0.207253886010363,-1.70854271356784,-0.168067226890753,0.41,0.35,0.00,0.05,0.32,0.00,0.34,0.30,0.38,0.29,0.26,0.05,11,0.11,0,0
24,16,103,30,725,461,52,51,60,59,2,15,3,0,30,26,45,0,-0.154277699859748,-0.229226361031519,-0.955631399317405,0.829015544041451,1.05527638190955,1.17647058823529,0.52,0.64,0.60,0.59,0.02,0.15,0.03,0.00,0.30,0.26,0.45,0.00,24,0.24,1,0
26,19,103,26,736,471,18,34,25,22,20,5,25,5,25,11,0,10,0.126227208976157,0.630372492836676,-0.955631399317405,0.310880829015544,0.502512562814069,0.336134453781513,0.18,0.43,0.25,0.22,0.20,0.05,0.25,0.05,0.25,0.11,0.00,0.10,7,0.07,0,0
30,18,118,24,761,484,60,43,16,12,0,25,41,69,23,40,0,41,0.687237026647966,0.343839541547278,1.60409556313993,0.0518134715025905,-0.753768844221107,-0.756302521008402,0.60,0.54,0.16,0.12,0.00,0.25,0.41,0.69,0.23,0.40,0.00,0.41,18,0.18,1,0
33,17,118,32,727,489,41,46,27,0,6,25,33,20,5,16,9,0,1.10799438990182,0.0573065902578795,1.60409556313993,1.0880829015544,0.954773869346736,-1.17647058823529,0.41,0.58,0.27,0.00,0.06,0.25,0.33,0.20,0.05,0.16,0.09,0.00,20,0.20,1,0
27,22,113,25,760,489,35,35,3,0,67,37,29,13,48,33,25,0,0.266479663394109,1.48997134670487,0.75085324232082,0.181347150259067,-0.703517587939697,-1.17647058823529,0.35,0.44,0.03,0.00,0.67,0.37,0.29,0.13,0.48,0.33,0.25,0.00,12,0.12,0,0
13,10,97,17,740,485,56,34,38,39,0,24,21,18,0,16,14,49,-1.69705469845722,-1.94842406876791,-1.97952218430034,-0.854922279792746,0.30150753768844,-0.840336134453779,0.56,0.43,0.38,0.39,0.00,0.24,0.21,0.18,0.00,0.16,0.14,0.49,15,0.15,0,0
27,19,116,27,764,491,53,37,3,0,41,17,3,33,25,0,21,19,0.266479663394109,0.630372492836676,1.26279863481229,0.440414507772021,-0.904522613065325,-1.34453781512605,0.53,0.46,0.03,0.00,0.41,0.17,0.03,0.33,0.25,0.00,0.21,0.19,14,0.14,0,0
30,19,118,35,734,472,58,56,34,35,10,45,58,54,17,25,55,57,0.687237026647966,0.630372492836676,1.60409556313993,1.47668393782383,0.603015075376885,0.252100840336137,0.58,0.70,0.34,0.35,0.10,0.45,0.58,0.54,0.17,0.25,0.55,0.57,35,0.35,2,0
42,17,114,29,751,495,45,45,45,0,31,8,26,40,49,0,32,0,2.37026647966339,0.0573065902578795,0.921501706484643,0.699481865284974,-0.251256281407034,-1.68067226890756,0.45,0.56,0.45,0.00,0.31,0.08,0.26,0.40,0.49,0.00,0.32,0.00,15,0.15,0,0
17,15,109,17,756,495,55,30,0,0,28,3,2,14,2,0,15,0,-1.13604488078541,-0.515759312320917,0.06825938566553,-0.854922279792746,-0.502512562814069,-1.68067226890756,0.55,0.38,0.00,0.00,0.28,0.03,0.02,0.14,0.02,0.00,0.15,0.00,11,0.11,0,0
19,14,104,35,722,486,50,41,49,2,19,20,21,0,27,0,0,16,-0.855539971949509,-0.802292263610315,-0.784982935153583,1.47668393782383,1.20603015075377,-0.924369747899162,0.50,0.51,0.49,0.02,0.19,0.20,0.21,0.00,0.27,0.00,0.00,0.16,24,0.24,1,0
15,18,99,26,713,478,43,46,63,27,52,0,10,40,0,5,45,0,-1.41654978962132,0.343839541547278,-1.6382252559727,0.310880829015544,1.65829145728643,-0.252100840336137,0.43,0.58,0.63,0.27,0.52,0.00,0.10,0.40,0.00,0.05,0.45,0.00,21,0.21,1,0
18,18,109,13,730,467,52,43,38,42,15,15,12,11,39,33,34,20,-0.995792426367462,0.343839541547278,0.06825938566553,-1.37305699481865,0.804020100502513,0.672268907563026,0.52,0.54,0.38,0.42,0.15,0.15,0.12,0.11,0.39,0.33,0.34,0.20,21,0.21,1,0
17,15,103,20,723,471,19,35,49,22,2,23,34,0,0,0,64,2,-1.13604488078541,-0.515759312320917,-0.955631399317405,-0.466321243523316,1.15577889447236,0.336134453781513,0.19,0.44,0.49,0.22,0.02,0.23,0.34,0.00,0.00,0.00,0.64,0.02,7,0.07,0,0
32,18,111,23,717,456,37,53,55,57,15,53,16,14,22,32,61,69,0.967741935483871,0.343839541547278,0.409556313993175,-0.0777202072538862,1.4572864321608,1.59663865546219,0.37,0.66,0.55,0.57,0.15,0.53,0.16,0.14,0.22,0.32,0.61,0.69,54,0.54,3,1
20,18,112,31,758,482,53,38,3,13,13,27,18,13,41,41,47,26,-0.715287517531557,0.343839541547278,0.580204778156998,0.958549222797927,-0.603015075376885,-0.58823529411765,0.53,0.48,0.03,0.13,0.13,0.27,0.18,0.13,0.41,0.41,0.47,0.26,20,0.20,1,0
20,20,112,15,774,471,21,29,0,35,33,34,0,53,37,0,39,57,-0.715287517531557,0.916905444126074,0.580204778156998,-1.1139896373057,-1.4070351758794,0.336134453781513,0.21,0.36,0.00,0.35,0.33,0.34,0.00,0.53,0.37,0.00,0.39,0.57,10,0.10,0,0
28,18,112,32,740,471,29,38,4,9,7,0,45,10,17,36,36,14,0.406732117812062,0.343839541547278,0.580204778156998,1.0880829015544,0.30150753768844,0.336134453781513,0.29,0.48,0.04,0.09,0.07,0.00,0.45,0.10,0.17,0.36,0.36,0.14,13,0.13,0,0
33,15,115,30,730,489,31,47,55,14,7,54,37,66,42,0,24,20,1.10799438990182,-0.515759312320917,1.09215017064847,0.829015544041451,0.804020100502513,-1.17647058823529,0.31,0.59,0.55,0.14,0.07,0.54,0.37,0.66,0.42,0.00,0.24,0.20,19,0.19,1,0
22,18,113,30,714,469,41,50,49,34,17,25,19,53,22,34,4,61,-0.434782608695652,0.343839541547278,0.75085324232082,0.829015544041451,1.60804020100503,0.504201680672266,0.41,0.63,0.49,0.34,0.17,0.25,0.19,0.53,0.22,0.34,0.04,0.61,53,0.53,3,1
20,20,109,20,726,476,37,42,44,27,16,4,7,40,22,34,21,3,-0.715287517531557,0.916905444126074,0.06825938566553,-0.466321243523316,1.00502512562814,-0.0840336134453764,0.37,0.53,0.44,0.27,0.16,0.04,0.07,0.40,0.22,0.34,0.21,0.03,22,0.22,1,0
31,18,114,28,775,495,54,36,0,0,24,19,32,44,62,38,40,26,0.827489481065918,0.343839541547278,0.921501706484643,0.569948186528497,-1.4572864321608,-1.68067226890756,0.54,0.45,0.00,0.00,0.24,0.19,0.32,0.44,0.62,0.38,0.40,0.26,19,0.19,1,0
33,16,105,29,714,465,56,54,56,47,7,0,18,3,59,29,10,19,1.10799438990182,-0.229226361031519,-0.61433447098976,0.699481865284974,1.60804020100503,0.840336134453779,0.56,0.68,0.56,0.47,0.07,0.00,0.18,0.03,0.59,0.29,0.10,0.19,49,0.49,2,1
38,15,115,14,718,462,53,49,15,8,0,21,1,0,21,12,23,18,1.80925666199158,-0.515759312320917,1.09215017064847,-1.24352331606218,1.4070351758794,1.09243697478992,0.53,0.61,0.15,0.08,0.00,0.21,0.01,0.00,0.21,0.12,0.23,0.18,33,0.33,2,0
40,14,105,33,768,454,43,38,0,50,0,9,46,5,63,34,33,49,2.08976157082749,-0.802292263610315,-0.61433447098976,1.21761658031088,-1.10552763819095,1.76470588235294,0.43,0.48,0.00,0.50,0.00,0.09,0.46,0.05,0.63,0.34,0.33,0.49,23,0.23,1,0
22,19,101,27,734,474,47,42,25,18,16,11,21,28,21,35,22,21,-0.434782608695652,0.630372492836676,-1.29692832764505,0.440414507772021,0.603015075376885,0.0840336134453764,0.47,0.53,0.25,0.18,0.16,0.11,0.21,0.28,0.21,0.35,0.22,0.21,23,0.23,1,0
18,19,113,29,737,471,34,39,7,12,28,28,31,45,0,30,19,33,-0.995792426367462,0.630372492836676,0.75085324232082,0.699481865284974,0.452261306532663,0.336134453781513,0.34,0.49,0.07,0.12,0.28,0.28,0.31,0.45,0.00,0.30,0.19,0.33,34,0.34,2,0
21,18,105,38,730,468,47,49,47,34,32,0,54,21,0,0,60,1,-0.575035063113605,0.343839541547278,-0.61433447098976,1.86528497409326,0.804020100502513,0.58823529411765,0.47,0.61,0.47,0.34,0.32,0.00,0.54,0.21,0.00,0.00,0.60,0.01,19,0.19,1,0
18,19,113,22,748,483,51,38,13,13,21,35,11,32,0,22,19,10,-0.995792426367462,0.630372492836676,0.75085324232082,-0.207253886010363,-0.100502512562816,-0.672268907563026,0.51,0.48,0.13,0.13,0.21,0.35,0.11,0.32,0.00,0.22,0.19,0.10,17,0.17,1,0
17,13,101,31,757,468,54,34,20,28,14,0,40,0,7,0,12,36,-1.13604488078541,-1.08882521489971,-1.29692832764505,0.958549222797927,-0.552763819095479,0.58823529411765,0.54,0.43,0.20,0.28,0.14,0.00,0.40,0.00,0.07,0.00,0.12,0.36,10,0.10,0,0
23,11,112,19,740,471,41,37,12,20,0,21,31,12,0,15,0,0,-0.2945301542777,-1.66189111747851,0.580204778156998,-0.595854922279793,0.30150753768844,0.336134453781513,0.41,0.46,0.12,0.20,0.00,0.21,0.31,0.12,0.00,0.15,0.00,0.00,13,0.13,0,0
22,18,107,28,752,488,32,32,19,3,36,22,9,32,29,14,11,14,-0.434782608695652,0.343839541547278,-0.273037542662115,0.569948186528497,-0.30150753768844,-1.09243697478992,0.32,0.40,0.19,0.03,0.36,0.22,0.09,0.32,0.29,0.14,0.11,0.14,11,0.11,0,0
18,18,109,25,762,486,43,29,0,0,26,23,3,0,17,18,16,5,-0.995792426367462,0.343839541547278,0.06825938566553,0.181347150259067,-0.804020100502513,-0.924369747899162,0.43,0.36,0.00,0.00,0.26,0.23,0.03,0.00,0.17,0.18,0.16,0.05,7,0.07,0,0
29,18,111,31,727,471,32,48,59,26,25,22,34,17,22,51,61,0,0.546984572230014,0.343839541547278,0.409556313993175,0.958549222797927,0.954773869346736,0.336134453781513,0.32,0.60,0.59,0.26,0.25,0.22,0.34,0.17,0.22,0.51,0.61,0.00,50,0.50,2,1
22,20,103,8,756,495,44,29,7,0,42,29,0,0,0,58,69,0,-0.434782608695652,0.916905444126074,-0.955631399317405,-2.02072538860104,-0.502512562814069,-1.68067226890756,0.44,0.36,0.07,0.00,0.42,0.29,0.00,0.00,0.00,0.58,0.69,0.00,14,0.14,0,0
22,13,100,7,755,471,49,30,0,12,0,0,0,0,8,23,0,0,-0.434782608695652,-1.08882521489971,-1.46757679180887,-2.15025906735751,-0.452261306532663,0.336134453781513,0.49,0.38,0.00,0.12,0.00,0.00,0.00,0.00,0.08,0.23,0.00,0.00,8,0.08,0,0
14,18,107,16,735,495,45,33,37,0,36,8,34,11,18,0,0,17,-1.55680224403927,0.343839541547278,-0.273037542662115,-0.984455958549223,0.552763819095479,-1.68067226890756,0.45,0.41,0.37,0.00,0.36,0.08,0.34,0.11,0.18,0.00,0.00,0.17,15,0.15,0,0
