Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Avoid_Drops,Get_Downfield,Route_Running,Third_Down_Receiving,Big_Play_Receiving,Courage,Adjust_to_Ball,Punt_Returns,Kick_Returns,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Avoid_DropsZ,Get_DownfieldZ,Route_RunningZ,Third_Down_ReceivingZ,Big_Play_ReceivingZ,CourageZ,Adjust_to_BallZ,Punt_ReturnsZ,Kick_ReturnsZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
29,13,102,23,730,445,48,43,0,14,31,8,65,47,11,0,0,7,45,1.1444921316166,1.00323624595469,-1.23983739837398,-1.74044265593561,-0.206185567010309,1.0576923076923,0.48,0.54,0.00,0.14,0.31,0.08,0.65,0.47,0.11,0.00,0.00,0.07,0.45,47,0.47,2,1
16,13,115,39,698,456,32,36,7,17,4,16,0,33,0,0,34,8,0,-0.715307582260372,1.00323624595469,1.40243902439025,-0.130784708249497,1.44329896907216,0,0.32,0.45,0.07,0.17,0.04,0.16,0.00,0.33,0.00,0.00,0.34,0.08,0.00,11,0.11,0,0
16,14,111,35,697,448,49,48,12,66,44,27,28,41,34,0,0,15,25,-0.715307582260372,1.32686084142395,0.589430894308944,-0.533199195171026,1.49484536082474,0.769230769230761,0.49,0.60,0.12,0.66,0.44,0.27,0.28,0.41,0.34,0.00,0.00,0.15,0.25,33,0.33,2,0
18,11,103,31,760,480,29,21,0,0,23,0,0,13,22,0,0,8,4,-0.429184549356223,0.355987055016181,-1.03658536585366,-0.935613682092555,-1.75257731958763,-2.30769230769231,0.29,0.26,0.00,0.00,0.23,0.00,0.00,0.13,0.22,0.00,0.00,0.08,0.04,6,0.06,0,0
23,5,105,49,725,446,17,40,27,30,45,58,39,0,28,0,0,27,49,0.286123032904149,-1.58576051779935,-0.630081300813007,0.875251509054326,0.0515463917525762,0.961538461538458,0.17,0.50,0.27,0.30,0.45,0.58,0.39,0.00,0.28,0.00,0.00,0.27,0.49,18,0.18,1,0
18,12,106,28,710,447,24,36,13,42,9,13,40,38,0,0,0,0,41,-0.429184549356223,0.679611650485437,-0.426829268292682,-1.2374245472837,0.824742268041238,0.865384615384614,0.24,0.45,0.13,0.42,0.09,0.13,0.40,0.38,0.00,0.00,0.00,0.00,0.41,17,0.17,1,0
22,9,104,50,756,473,19,25,34,0,12,20,0,32,30,0,0,36,42,0.143061516452074,-0.29126213592233,-0.833333333333332,0.975855130784709,-1.54639175257732,-1.63461538461539,0.19,0.31,0.34,0.00,0.12,0.20,0.00,0.32,0.30,0.00,0.00,0.36,0.42,6,0.06,0,0
18,12,116,23,716,459,26,34,14,34,38,23,0,41,0,47,0,42,7,-0.429184549356223,0.679611650485437,1.60569105691057,-1.74044265593561,0.515463917525771,-0.288461538461541,0.26,0.43,0.14,0.34,0.38,0.23,0.00,0.41,0.00,0.47,0.00,0.42,0.07,17,0.17,1,0
34,15,110,54,729,456,20,38,31,16,0,45,14,23,35,0,0,55,38,1.85979971387697,1.6504854368932,0.386178861788619,1.37826961770624,-0.154639175257733,0,0.20,0.48,0.31,0.16,0.00,0.45,0.14,0.23,0.35,0.00,0.00,0.55,0.38,13,0.13,0,0
35,9,102,42,754,449,38,44,63,0,53,52,47,56,0,0,0,22,47,2.00286123032904,-0.29126213592233,-1.23983739837398,0.17102615694165,-1.44329896907217,0.673076923076917,0.38,0.55,0.63,0.00,0.53,0.52,0.47,0.56,0.00,0.00,0.00,0.22,0.47,38,0.38,2,0
19,9,105,47,760,478,32,25,9,0,4,0,0,9,36,0,0,43,23,-0.286123032904149,-0.29126213592233,-0.630081300813007,0.674044265593562,-1.75257731958763,-2.11538461538462,0.32,0.31,0.09,0.00,0.04,0.00,0.00,0.09,0.36,0.00,0.00,0.43,0.23,5,0.05,0,0
25,11,108,34,731,463,27,30,0,18,18,17,8,40,21,0,0,0,6,0.572246065808298,0.355987055016181,-0.0203252032520314,-0.633802816901408,-0.257731958762886,-0.673076923076926,0.27,0.38,0.00,0.18,0.18,0.17,0.08,0.40,0.21,0.00,0.00,0.00,0.06,11,0.11,0,0
8,8,104,45,707,463,14,27,26,55,0,67,0,26,32,0,0,38,35,-1.85979971387697,-0.614886731391586,-0.833333333333332,0.472837022132797,0.979381443298966,-0.673076923076926,0.14,0.34,0.26,0.55,0.00,0.67,0.00,0.26,0.32,0.00,0.00,0.38,0.35,12,0.12,0,0
21,6,103,26,760,480,19,16,0,0,18,0,0,0,4,0,0,21,8,0,-1.2621359223301,-1.03658536585366,-1.43863179074447,-1.75257731958763,-2.30769230769231,0.19,0.20,0.00,0.00,0.18,0.00,0.00,0.00,0.04,0.00,0.00,0.21,0.08,2,0.02,0,0
14,8,108,38,704,448,26,35,9,45,26,37,24,12,19,0,0,0,32,-1.00143061516452,-0.614886731391586,-0.0203252032520314,-0.231388329979879,1.1340206185567,0.769230769230761,0.26,0.44,0.09,0.45,0.26,0.37,0.24,0.12,0.19,0.00,0.00,0.00,0.32,19,0.19,1,0
27,12,107,51,748,451,36,38,64,0,23,0,29,23,29,0,0,12,0,0.858369098712446,0.679611650485437,-0.223577235772357,1.07645875251509,-1.1340206185567,0.480769230769229,0.36,0.48,0.64,0.00,0.23,0.00,0.29,0.23,0.29,0.00,0.00,0.12,0.00,14,0.14,0,0
34,13,109,35,695,451,55,48,12,35,25,0,4,17,0,0,0,0,2,1.85979971387697,1.00323624595469,0.182926829268294,-0.533199195171026,1.59793814432989,0.480769230769229,0.55,0.60,0.12,0.35,0.25,0.00,0.04,0.17,0.00,0.00,0.00,0.00,0.02,21,0.21,1,0
7,11,110,45,720,461,25,27,1,19,0,0,25,33,49,21,0,37,50,-2.00286123032904,0.355987055016181,0.386178861788619,0.472837022132797,0.309278350515462,-0.480769230769238,0.25,0.34,0.01,0.19,0.00,0.00,0.25,0.33,0.49,0.21,0.00,0.37,0.50,13,0.13,0,0
18,12,106,28,736,467,26,28,1,13,22,38,12,50,10,0,0,33,34,-0.429184549356223,0.679611650485437,-0.426829268292682,-1.2374245472837,-0.515463917525776,-1.05769230769231,0.26,0.35,0.01,0.13,0.22,0.38,0.12,0.50,0.10,0.00,0.00,0.33,0.34,14,0.14,0,0
18,6,105,37,707,447,43,38,0,15,10,0,32,0,11,0,0,19,0,-0.429184549356223,-1.2621359223301,-0.630081300813007,-0.331991951710261,0.979381443298966,0.865384615384614,0.43,0.48,0.00,0.15,0.10,0.00,0.32,0.00,0.11,0.00,0.00,0.19,0.00,15,0.15,0,0
13,8,104,33,757,451,40,27,0,0,3,34,36,11,6,1,0,31,4,-1.1444921316166,-0.614886731391586,-0.833333333333332,-0.73440643863179,-1.5979381443299,0.480769230769229,0.40,0.34,0.00,0.00,0.03,0.34,0.36,0.11,0.06,0.01,0.00,0.31,0.04,16,0.16,1,0
18,12,112,44,747,476,19,24,18,7,0,0,0,13,19,0,29,16,0,-0.429184549356223,0.679611650485437,0.792682926829269,0.372233400402415,-1.08247422680412,-1.92307692307692,0.19,0.30,0.18,0.07,0.00,0.00,0.00,0.13,0.19,0.00,0.29,0.16,0.00,7,0.07,0,0
8,7,115,29,744,451,35,27,29,17,0,31,24,10,26,0,45,0,48,-1.85979971387697,-0.938511326860842,1.40243902439025,-1.13682092555332,-0.927835051546395,0.480769230769229,0.35,0.34,0.29,0.17,0.00,0.31,0.24,0.10,0.26,0.00,0.45,0.00,0.48,17,0.17,1,0
35,13,118,47,684,443,36,58,31,77,65,19,33,59,55,45,0,55,32,2.00286123032904,1.00323624595469,2.01219512195122,0.674044265593562,2.16494845360825,1.25,0.36,0.73,0.31,0.77,0.65,0.19,0.33,0.59,0.55,0.45,0.00,0.55,0.32,44,0.44,2,1
24,7,107,47,728,445,53,52,45,55,77,58,48,2,49,0,25,16,62,0.429184549356223,-0.938511326860842,-0.223577235772357,0.674044265593562,-0.103092783505157,1.0576923076923,0.53,0.65,0.45,0.55,0.77,0.58,0.48,0.02,0.49,0.00,0.25,0.16,0.62,43,0.43,2,1
8,10,102,33,760,480,32,14,1,0,0,9,0,10,14,0,0,0,0,-1.85979971387697,0.0323624595469255,-1.23983739837398,-0.73440643863179,-1.75257731958763,-2.30769230769231,0.32,0.18,0.01,0.00,0.00,0.09,0.00,0.10,0.14,0.00,0.00,0.00,0.00,4,0.04,0,0
17,12,106,44,713,449,28,38,20,34,17,0,40,41,32,0,0,10,9,-0.572246065808298,0.679611650485437,-0.426829268292682,0.372233400402415,0.670103092783505,0.673076923076917,0.28,0.48,0.20,0.34,0.17,0.00,0.40,0.41,0.32,0.00,0.00,0.10,0.09,31,0.31,2,0
13,11,104,44,753,473,31,24,34,0,0,23,0,23,15,0,0,15,18,-1.1444921316166,0.355987055016181,-0.833333333333332,0.372233400402415,-1.39175257731959,-1.63461538461539,0.31,0.30,0.34,0.00,0.00,0.23,0.00,0.23,0.15,0.00,0.00,0.15,0.18,10,0.10,0,0
31,15,110,44,728,459,24,35,20,0,5,40,6,30,7,0,0,5,4,1.43061516452074,1.6504854368932,0.386178861788619,0.372233400402415,-0.103092783505157,-0.288461538461541,0.24,0.44,0.20,0.00,0.05,0.40,0.06,0.30,0.07,0.00,0.00,0.05,0.04,11,0.11,0,0
23,13,113,44,732,464,21,32,11,19,30,2,0,23,39,0,7,0,11,0.286123032904149,1.00323624595469,0.995934959349595,0.372233400402415,-0.309278350515466,-0.76923076923077,0.21,0.40,0.11,0.19,0.30,0.02,0.00,0.23,0.39,0.00,0.07,0.00,0.11,7,0.07,0,0
32,5,113,38,759,478,35,27,34,0,33,26,0,0,0,0,27,20,46,1.57367668097282,-1.58576051779935,0.995934959349595,-0.231388329979879,-1.70103092783505,-2.11538461538462,0.35,0.34,0.34,0.00,0.33,0.26,0.00,0.00,0.00,0.00,0.27,0.20,0.46,11,0.11,0,0
16,5,107,44,760,475,4,14,28,0,4,8,3,0,0,14,0,0,20,-0.715307582260372,-1.58576051779935,-0.223577235772357,0.372233400402415,-1.75257731958763,-1.82692307692308,0.04,0.18,0.28,0.00,0.04,0.08,0.03,0.00,0.00,0.14,0.00,0.00,0.20,5,0.05,0,0
26,11,107,33,716,446,15,37,15,37,29,0,50,24,7,0,0,29,3,0.715307582260372,0.355987055016181,-0.223577235772357,-0.73440643863179,0.515463917525771,0.961538461538458,0.15,0.46,0.15,0.37,0.29,0.00,0.50,0.24,0.07,0.00,0.00,0.29,0.03,30,0.30,1,0
27,7,115,18,760,476,38,26,9,0,30,16,14,13,0,20,16,9,35,0.858369098712446,-0.938511326860842,1.40243902439025,-2.24346076458753,-1.75257731958763,-1.92307692307692,0.38,0.33,0.09,0.00,0.30,0.16,0.14,0.13,0.00,0.20,0.16,0.09,0.35,15,0.15,0,0
20,7,102,38,716,453,16,30,0,36,0,32,8,6,39,0,0,45,22,-0.143061516452074,-0.938511326860842,-1.23983739837398,-0.231388329979879,0.515463917525771,0.288461538461532,0.16,0.38,0.00,0.36,0.00,0.32,0.08,0.06,0.39,0.00,0.00,0.45,0.22,14,0.14,0,0
18,11,106,28,710,447,20,38,0,42,41,11,53,14,29,0,0,54,40,-0.429184549356223,0.355987055016181,-0.426829268292682,-1.2374245472837,0.824742268041238,0.865384615384614,0.20,0.48,0.00,0.42,0.41,0.11,0.53,0.14,0.29,0.00,0.00,0.54,0.40,37,0.37,2,0
11,5,103,43,713,450,49,35,41,25,0,10,25,0,8,0,0,21,0,-1.43061516452074,-1.58576051779935,-1.03658536585366,0.271629778672032,0.670103092783505,0.576923076923073,0.49,0.44,0.41,0.25,0.00,0.10,0.25,0.00,0.08,0.00,0.00,0.21,0.00,17,0.17,1,0
23,12,104,38,754,451,8,29,0,0,33,57,33,42,44,0,0,29,0,0.286123032904149,0.679611650485437,-0.833333333333332,-0.231388329979879,-1.44329896907217,0.480769230769229,0.08,0.36,0.00,0.00,0.33,0.57,0.33,0.42,0.44,0.00,0.00,0.29,0.00,16,0.16,1,0
34,12,108,34,728,446,44,48,44,19,46,38,50,42,3,26,0,15,40,1.85979971387697,0.679611650485437,-0.0203252032520314,-0.633802816901408,-0.103092783505157,0.961538461538458,0.44,0.60,0.44,0.19,0.46,0.38,0.50,0.42,0.03,0.26,0.00,0.15,0.40,34,0.34,2,0
18,12,103,20,732,451,34,37,27,16,52,74,44,57,0,0,0,56,55,-0.429184549356223,0.679611650485437,-1.03658536585366,-2.04225352112676,-0.309278350515466,0.480769230769229,0.34,0.46,0.27,0.16,0.52,0.74,0.44,0.57,0.00,0.00,0.00,0.56,0.55,38,0.38,2,0
19,5,105,49,715,447,42,45,37,40,26,35,19,0,27,0,7,19,41,-0.286123032904149,-1.58576051779935,-0.630081300813007,0.875251509054326,0.567010309278348,0.865384615384614,0.42,0.56,0.37,0.40,0.26,0.35,0.19,0.00,0.27,0.00,0.07,0.19,0.41,24,0.24,1,0
15,5,108,26,713,454,41,31,6,53,5,37,0,0,1,0,7,0,19,-0.858369098712446,-1.58576051779935,-0.0203252032520314,-1.43863179074447,0.670103092783505,0.192307692307688,0.41,0.39,0.06,0.53,0.05,0.37,0.00,0.00,0.01,0.00,0.07,0.00,0.19,18,0.18,1,0
26,11,107,36,759,459,32,32,16,0,44,0,15,43,0,0,0,0,0,0.715307582260372,0.355987055016181,-0.223577235772357,-0.432595573440644,-1.70103092783505,-0.288461538461541,0.32,0.40,0.16,0.00,0.44,0.00,0.15,0.43,0.00,0.00,0.00,0.00,0.00,13,0.13,0,0
29,10,104,37,748,476,19,27,19,0,61,0,0,55,24,0,0,72,41,1.1444921316166,0.0323624595469255,-0.833333333333332,-0.331991951710261,-1.1340206185567,-1.92307692307692,0.19,0.34,0.19,0.00,0.61,0.00,0.00,0.55,0.24,0.00,0.00,0.72,0.41,5,0.05,0,0
21,11,109,51,728,441,23,45,67,28,28,29,64,27,34,22,0,31,52,0,0.355987055016181,0.182926829268294,1.07645875251509,-0.103092783505157,1.44230769230769,0.23,0.56,0.67,0.28,0.28,0.29,0.64,0.27,0.34,0.22,0.00,0.31,0.52,43,0.43,2,1
18,5,107,20,760,451,37,29,26,0,24,28,41,2,0,13,1,38,0,-0.429184549356223,-1.58576051779935,-0.223577235772357,-2.04225352112676,-1.75257731958763,0.480769230769229,0.37,0.36,0.26,0.00,0.24,0.28,0.41,0.02,0.00,0.13,0.01,0.38,0.00,17,0.17,1,0
26,14,119,49,704,449,32,48,13,46,59,30,21,44,41,73,0,21,37,0.715307582260372,1.32686084142395,2.21544715447155,0.875251509054326,1.1340206185567,0.673076923076917,0.32,0.60,0.13,0.46,0.59,0.30,0.21,0.44,0.41,0.73,0.00,0.21,0.37,59,0.59,3,1
14,14,106,44,754,451,32,31,19,2,2,38,37,44,44,0,0,5,0,-1.00143061516452,1.32686084142395,-0.426829268292682,0.372233400402415,-1.44329896907217,0.480769230769229,0.32,0.39,0.19,0.02,0.02,0.38,0.37,0.44,0.44,0.00,0.00,0.05,0.00,18,0.18,1,0
18,9,103,28,760,480,51,26,0,0,27,9,2,25,30,7,0,0,25,-0.429184549356223,-0.29126213592233,-1.03658536585366,-1.2374245472837,-1.75257731958763,-2.30769230769231,0.51,0.33,0.00,0.00,0.27,0.09,0.02,0.25,0.30,0.07,0.00,0.00,0.25,12,0.12,0,0
18,11,103,42,740,477,25,28,47,30,13,64,0,55,40,0,0,52,30,-0.429184549356223,0.355987055016181,-1.03658536585366,0.17102615694165,-0.721649484536085,-2.01923076923077,0.25,0.35,0.47,0.30,0.13,0.64,0.00,0.55,0.40,0.00,0.00,0.52,0.30,13,0.13,0,0
8,14,104,19,712,455,47,30,0,43,6,10,5,64,0,0,0,0,50,-1.85979971387697,1.32686084142395,-0.833333333333332,-2.14285714285714,0.721649484536081,0.0961538461538441,0.47,0.38,0.00,0.43,0.06,0.10,0.05,0.64,0.00,0.00,0.00,0.00,0.50,12,0.12,0,0
27,11,106,29,704,450,21,37,18,49,17,21,14,10,0,0,0,17,0,0.858369098712446,0.355987055016181,-0.426829268292682,-1.13682092555332,1.1340206185567,0.576923076923073,0.21,0.46,0.18,0.49,0.17,0.21,0.14,0.10,0.00,0.00,0.00,0.17,0.00,18,0.18,1,0
27,12,107,33,760,480,45,28,13,0,33,32,0,13,8,0,0,20,8,0.858369098712446,0.679611650485437,-0.223577235772357,-0.73440643863179,-1.75257731958763,-2.30769230769231,0.45,0.35,0.13,0.00,0.33,0.32,0.00,0.13,0.08,0.00,0.00,0.20,0.08,14,0.14,0,0
15,5,115,33,750,478,29,21,0,2,1,18,0,0,9,17,10,5,22,-0.858369098712446,-1.58576051779935,1.40243902439025,-0.73440643863179,-1.23711340206186,-2.11538461538462,0.29,0.26,0.00,0.02,0.01,0.18,0.00,0.00,0.09,0.17,0.10,0.05,0.22,9,0.09,0,0
21,11,109,43,738,464,13,27,13,12,22,0,4,30,35,0,0,13,15,0,0.355987055016181,0.182926829268294,0.271629778672032,-0.618556701030928,-0.76923076923077,0.13,0.34,0.13,0.12,0.22,0.00,0.04,0.30,0.35,0.00,0.00,0.13,0.15,8,0.08,0,0
29,11,106,29,738,459,29,30,0,0,23,10,0,10,0,0,0,16,31,1.1444921316166,0.355987055016181,-0.426829268292682,-1.13682092555332,-0.618556701030928,-0.288461538461541,0.29,0.38,0.00,0.00,0.23,0.10,0.00,0.10,0.00,0.00,0.00,0.16,0.31,10,0.10,0,0
31,8,105,38,723,460,52,41,2,28,30,0,10,6,37,0,0,0,0,1.43061516452074,-0.614886731391586,-0.630081300813007,-0.231388329979879,0.154639175257729,-0.384615384615385,0.52,0.51,0.02,0.28,0.30,0.00,0.10,0.06,0.37,0.00,0.00,0.00,0.00,15,0.15,0,0
29,12,108,28,757,472,29,27,29,0,36,13,3,30,0,0,0,8,2,1.1444921316166,0.679611650485437,-0.0203252032520314,-1.2374245472837,-1.5979381443299,-1.53846153846154,0.29,0.34,0.29,0.00,0.36,0.13,0.03,0.30,0.00,0.00,0.00,0.08,0.02,11,0.11,0,0
11,8,122,42,748,450,20,29,37,7,8,30,36,0,20,16,41,0,0,-1.43061516452074,-0.614886731391586,2.82520325203252,0.17102615694165,-1.1340206185567,0.576923076923073,0.20,0.36,0.37,0.07,0.08,0.30,0.36,0.00,0.20,0.16,0.41,0.00,0.00,18,0.18,1,0
14,6,110,32,738,472,16,20,23,0,23,38,0,0,5,0,0,3,58,-1.00143061516452,-1.2621359223301,0.386178861788619,-0.835010060362173,-0.618556701030928,-1.53846153846154,0.16,0.25,0.23,0.00,0.23,0.38,0.00,0.00,0.05,0.00,0.00,0.03,0.58,7,0.07,0,0
29,6,107,45,720,458,16,35,29,14,57,13,9,10,40,0,0,0,33,1.1444921316166,-1.2621359223301,-0.223577235772357,0.472837022132797,0.309278350515462,-0.192307692307697,0.16,0.44,0.29,0.14,0.57,0.13,0.09,0.10,0.40,0.00,0.00,0.00,0.33,19,0.19,1,0
11,13,105,44,756,474,35,23,31,0,0,5,0,29,9,0,0,1,42,-1.43061516452074,1.00323624595469,-0.630081300813007,0.372233400402415,-1.54639175257732,-1.73076923076924,0.35,0.29,0.31,0.00,0.00,0.05,0.00,0.29,0.09,0.00,0.00,0.01,0.42,8,0.08,0,0
21,9,102,34,725,466,32,32,69,21,38,10,0,0,0,0,0,31,42,0,-0.29126213592233,-1.23983739837398,-0.633802816901408,0.0515463917525762,-0.961538461538467,0.32,0.40,0.69,0.21,0.38,0.10,0.00,0.00,0.00,0.00,0.00,0.31,0.42,11,0.11,0,0
31,6,107,47,696,446,19,45,7,33,58,1,49,0,36,0,0,38,5,1.43061516452074,-1.2621359223301,-0.223577235772357,0.674044265593562,1.54639175257732,0.961538461538458,0.19,0.56,0.07,0.33,0.58,0.01,0.49,0.00,0.36,0.00,0.00,0.38,0.05,39,0.39,2,0
19,11,104,37,760,470,24,24,7,0,0,1,0,4,2,0,0,0,0,-0.286123032904149,0.355987055016181,-0.833333333333332,-0.331991951710261,-1.75257731958763,-1.34615384615385,0.24,0.30,0.07,0.00,0.00,0.01,0.00,0.04,0.02,0.00,0.00,0.00,0.00,7,0.07,0,0
13,11,116,47,716,446,43,43,13,22,6,18,45,0,11,4,4,0,7,-1.1444921316166,0.355987055016181,1.60569105691057,0.674044265593562,0.515463917525771,0.961538461538458,0.43,0.54,0.13,0.22,0.06,0.18,0.45,0.00,0.11,0.04,0.04,0.00,0.07,40,0.40,2,1
32,11,105,45,686,451,36,50,13,69,37,15,0,36,24,0,0,69,7,1.57367668097282,0.355987055016181,-0.630081300813007,0.472837022132797,2.06185567010309,0.480769230769229,0.36,0.63,0.13,0.69,0.37,0.15,0.00,0.36,0.24,0.00,0.00,0.69,0.07,48,0.48,2,1
18,15,110,43,706,447,45,44,0,0,0,35,27,0,8,0,0,0,0,-0.429184549356223,1.6504854368932,0.386178861788619,0.271629778672032,1.03092783505155,0.865384615384614,0.45,0.55,0.00,0.00,0.00,0.35,0.27,0.00,0.08,0.00,0.00,0.00,0.00,27,0.27,1,0
20,5,112,35,745,451,17,32,0,10,52,46,41,0,57,11,12,3,0,-0.143061516452074,-1.58576051779935,0.792682926829269,-0.533199195171026,-0.979381443298971,0.480769230769229,0.17,0.40,0.00,0.10,0.52,0.46,0.41,0.00,0.57,0.11,0.12,0.03,0.00,20,0.20,1,0
23,11,107,30,760,478,44,27,1,0,21,0,0,13,0,0,0,31,0,0.286123032904149,0.355987055016181,-0.223577235772357,-1.03621730382294,-1.75257731958763,-2.11538461538462,0.44,0.34,0.01,0.00,0.21,0.00,0.00,0.13,0.00,0.00,0.00,0.31,0.00,9,0.09,0,0
18,9,102,21,720,472,19,24,0,21,12,0,6,35,21,0,0,12,38,-0.429184549356223,-0.29126213592233,-1.23983739837398,-1.94164989939638,0.309278350515462,-1.53846153846154,0.19,0.30,0.00,0.21,0.12,0.00,0.06,0.35,0.21,0.00,0.00,0.12,0.38,9,0.09,0,0
23,7,102,43,732,459,30,32,13,14,0,0,13,5,9,0,0,0,0,0.286123032904149,-0.938511326860842,-1.23983739837398,0.271629778672032,-0.309278350515466,-0.288461538461541,0.30,0.40,0.13,0.14,0.00,0.00,0.13,0.05,0.09,0.00,0.00,0.00,0.00,13,0.13,0,0
