Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Punting_Power,Hang_Time,Directional_Punting,Kick_Holding,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Punting_PowerZ,Hang_TimeZ,Directional_PuntingZ,Kick_HoldingZ,PeakCur,PeakCurZ,Ability,Draftable
22,6,92,0,780,507,45,39,51,19,19,29,-0.483870967741936,-1.13259668508287,-2.10227272727273,NaN,-0.325443786982247,0.111731843575417,0.45,0.49,0.51,0.19,0.19,0.29,12,0.12,0,0
19,8,114,0,744,497,57,51,60,18,18,53,-0.887096774193548,-0.580110497237569,1.02272727272727,NaN,0.739644970414201,0.670391061452515,0.57,0.64,0.60,0.18,0.18,0.53,36,0.36,2,0
28,14,98,0,712,507,63,51,0,30,7,4,0.32258064516129,1.07734806629834,-1.25,NaN,1.68639053254438,0.111731843575417,0.63,0.64,0.00,0.30,0.07,0.04,20,0.20,1,0
24,6,107,0,750,507,67,41,0,5,7,17,-0.21505376344086,-1.13259668508287,0.0284090909090913,NaN,0.562130177514794,0.111731843575417,0.67,0.51,0.00,0.05,0.07,0.17,27,0.27,1,0
18,15,97,0,746,512,38,43,4,68,25,35,-1.02150537634409,1.35359116022099,-1.39204545454545,NaN,0.680473372781066,-0.16759776536313,0.38,0.54,0.04,0.68,0.25,0.35,31,0.31,2,0
30,14,106,0,776,535,32,32,0,57,46,69,0.591397849462365,1.07734806629834,-0.113636363636363,NaN,-0.207100591715975,-1.45251396648045,0.32,0.40,0.00,0.57,0.46,0.69,17,0.17,1,0
33,9,115,0,753,529,69,43,2,65,67,21,0.994623655913978,-0.303867403314917,1.16477272727273,NaN,0.473372781065089,-1.11731843575419,0.69,0.54,0.02,0.65,0.67,0.21,20,0.20,1,0
36,8,105,0,806,491,39,54,69,19,69,66,1.39784946236559,-0.580110497237569,-0.255681818181818,NaN,-1.09467455621302,1.00558659217877,0.39,0.68,0.69,0.19,0.69,0.66,35,0.35,2,0
20,9,109,0,809,506,58,41,0,6,4,61,-0.752688172043011,-0.303867403314917,0.3125,NaN,-1.18343195266272,0.16759776536313,0.58,0.51,0.00,0.06,0.04,0.61,20,0.20,1,0
38,13,115,0,750,479,33,62,64,46,10,1,1.66666666666667,0.801104972375691,1.16477272727273,NaN,0.562130177514794,1.67597765363128,0.33,0.78,0.64,0.46,0.10,0.01,56,0.56,3,1
37,16,103,0,790,493,57,64,45,41,69,69,1.53225806451613,1.62983425414365,-0.539772727272727,NaN,-0.621301775147929,0.893854748603353,0.57,0.80,0.45,0.41,0.69,0.69,53,0.53,3,1
18,5,102,0,786,528,44,22,6,0,0,42,-1.02150537634409,-1.40883977900552,-0.681818181818181,NaN,-0.502958579881657,-1.06145251396648,0.44,0.28,0.06,0.00,0.00,0.42,4,0.04,0,0
37,12,98,0,737,534,43,34,0,19,60,26,1.53225806451613,0.524861878453039,-1.25,NaN,0.946745562130178,-1.39664804469274,0.43,0.43,0.00,0.19,0.60,0.26,11,0.11,0,0
27,7,116,0,802,507,58,45,36,0,32,7,0.188172043010752,-0.856353591160221,1.30681818181818,NaN,-0.976331360946743,0.111731843575417,0.58,0.56,0.36,0.00,0.32,0.07,20,0.20,1,0
12,12,96,0,755,487,45,51,36,32,0,68,-1.82795698924731,0.524861878453039,-1.53409090909091,NaN,0.414201183431954,1.22905027932961,0.45,0.64,0.36,0.32,0.00,0.68,43,0.43,2,1
31,7,110,0,783,525,61,35,7,7,29,0,0.725806451612903,-0.856353591160221,0.454545454545455,NaN,-0.414201183431952,-0.893854748603353,0.61,0.44,0.07,0.07,0.29,0.00,14,0.14,0,0
22,10,91,0,748,523,52,43,46,49,0,17,-0.483870967741936,-0.0276243093922651,-2.24431818181818,NaN,0.621301775147929,-0.782122905027936,0.52,0.54,0.46,0.49,0.00,0.17,25,0.25,1,0
22,11,96,0,780,483,35,47,3,25,6,51,-0.483870967741936,0.248618784530387,-1.53409090909091,NaN,-0.325443786982247,1.45251396648045,0.35,0.59,0.03,0.25,0.06,0.51,47,0.47,2,1
24,5,104,0,832,523,55,28,3,0,0,26,-0.21505376344086,-1.40883977900552,-0.397727272727272,NaN,-1.86390532544379,-0.782122905027936,0.55,0.35,0.03,0.00,0.00,0.26,9,0.09,0,0
25,8,109,0,755,521,49,35,1,32,15,37,-0.0806451612903228,-0.580110497237569,0.3125,NaN,0.414201183431954,-0.670391061452515,0.49,0.44,0.01,0.32,0.15,0.37,14,0.14,0,0
19,10,110,0,731,517,58,39,0,5,0,0,-0.887096774193548,-0.0276243093922651,0.454545454545455,NaN,1.12426035502959,-0.446927374301676,0.58,0.49,0.00,0.05,0.00,0.00,17,0.17,1,0
28,12,111,0,783,497,52,56,35,68,68,68,0.32258064516129,0.524861878453039,0.59659090909091,NaN,-0.414201183431952,0.670391061452515,0.52,0.70,0.35,0.68,0.68,0.68,42,0.42,2,1
22,11,93,0,780,517,66,45,14,50,0,0,-0.483870967741936,0.248618784530387,-1.96022727272727,NaN,-0.325443786982247,-0.446927374301676,0.66,0.56,0.14,0.50,0.00,0.00,20,0.20,1,0
26,14,114,0,715,484,42,64,60,68,26,15,0.0537634408602149,1.07734806629834,1.02272727272727,NaN,1.59763313609467,1.39664804469274,0.42,0.80,0.60,0.68,0.26,0.15,64,0.64,3,1
22,12,104,0,780,499,41,47,23,42,0,39,-0.483870967741936,0.524861878453039,-0.397727272727272,NaN,-0.325443786982247,0.558659217877093,0.41,0.59,0.23,0.42,0.00,0.39,32,0.32,2,0
29,6,117,0,773,540,30,20,0,4,20,22,0.456989247311828,-1.13259668508287,1.44886363636364,NaN,-0.118343195266272,-1.731843575419,0.30,0.25,0.00,0.04,0.20,0.22,4,0.04,0,0
20,10,107,0,767,520,45,34,0,0,8,17,-0.752688172043011,-0.0276243093922651,0.0284090909090913,NaN,0.0591715976331375,-0.614525139664806,0.45,0.43,0.00,0.00,0.08,0.17,8,0.08,0,0
34,5,115,0,786,537,66,30,0,0,57,0,1.12903225806452,-1.40883977900552,1.16477272727273,NaN,-0.502958579881657,-1.56424581005587,0.66,0.38,0.00,0.00,0.57,0.00,3,0.03,0,0
37,14,101,0,715,535,52,41,0,53,68,0,1.53225806451613,1.07734806629834,-0.823863636363636,NaN,1.59763313609467,-1.45251396648045,0.52,0.51,0.00,0.53,0.68,0.00,22,0.22,1,0
22,8,114,0,741,520,55,37,13,18,6,0,-0.483870967741936,-0.580110497237569,1.02272727272727,NaN,0.828402366863906,-0.614525139664806,0.55,0.46,0.13,0.18,0.06,0.00,11,0.11,0,0
26,10,111,0,829,500,75,54,36,0,28,20,0.0537634408602149,-0.0276243093922651,0.59659090909091,NaN,-1.77514792899408,0.502793296089385,0.75,0.68,0.36,0.00,0.28,0.20,23,0.23,1,0
22,7,109,0,780,504,53,43,15,24,8,23,-0.483870967741936,-0.856353591160221,0.3125,NaN,-0.325443786982247,0.279329608938547,0.53,0.54,0.15,0.24,0.08,0.23,31,0.31,2,0
34,12,110,0,780,509,72,54,15,33,31,61,1.12903225806452,0.524861878453039,0.454545454545455,NaN,-0.325443786982247,0,0.72,0.68,0.15,0.33,0.31,0.61,32,0.32,2,0
37,16,115,0,715,496,71,66,34,42,10,61,1.53225806451613,1.62983425414365,1.16477272727273,NaN,1.59763313609467,0.726256983240223,0.71,0.83,0.34,0.42,0.10,0.61,47,0.47,2,1
29,12,114,0,785,494,63,56,36,15,0,64,0.456989247311828,0.524861878453039,1.02272727272727,NaN,-0.473372781065087,0.837988826815639,0.63,0.70,0.36,0.15,0.00,0.64,32,0.32,2,0
20,10,110,0,793,507,60,43,10,0,0,25,-0.752688172043011,-0.0276243093922651,0.454545454545455,NaN,-0.710059171597631,0.111731843575417,0.60,0.54,0.10,0.00,0.00,0.25,17,0.17,1,0
27,10,101,0,785,532,39,32,7,19,52,6,0.188172043010752,-0.0276243093922651,-0.823863636363636,NaN,-0.473372781065087,-1.28491620111732,0.39,0.40,0.07,0.19,0.52,0.06,14,0.14,0,0
22,11,106,0,773,507,41,47,53,33,11,19,-0.483870967741936,0.248618784530387,-0.113636363636363,NaN,-0.118343195266272,0.111731843575417,0.41,0.59,0.53,0.33,0.11,0.19,56,0.56,3,1
28,10,119,0,740,491,32,54,66,51,14,57,0.32258064516129,-0.0276243093922651,1.73295454545455,NaN,0.857988165680473,1.00558659217877,0.32,0.68,0.66,0.51,0.14,0.57,29,0.29,1,0
28,17,95,0,792,493,40,56,52,57,7,16,0.32258064516129,1.9060773480663,-1.67613636363636,NaN,-0.680473372781064,0.893854748603353,0.40,0.70,0.52,0.57,0.07,0.16,54,0.54,3,1
33,7,107,0,722,535,43,28,0,4,35,41,0.994623655913978,-0.856353591160221,0.0284090909090913,NaN,1.3905325443787,-1.45251396648045,0.43,0.35,0.00,0.04,0.35,0.41,7,0.07,0,0
30,6,95,0,780,518,36,34,27,16,60,7,0.591397849462365,-1.13259668508287,-1.67613636363636,NaN,-0.325443786982247,-0.502793296089385,0.36,0.43,0.27,0.16,0.60,0.07,24,0.24,1,0
22,12,105,0,767,507,70,56,22,63,66,0,-0.483870967741936,0.524861878453039,-0.255681818181818,NaN,0.0591715976331375,0.111731843575417,0.70,0.70,0.22,0.63,0.66,0.00,45,0.45,2,1
24,16,111,0,826,506,58,52,17,44,35,52,-0.21505376344086,1.62983425414365,0.59659090909091,NaN,-1.68639053254438,0.16759776536313,0.58,0.65,0.17,0.44,0.35,0.52,40,0.40,2,1
23,9,118,0,833,507,49,41,4,7,0,50,-0.349462365591398,-0.303867403314917,1.59090909090909,NaN,-1.89349112426035,0.111731843575417,0.49,0.51,0.04,0.07,0.00,0.50,17,0.17,1,0
10,5,97,0,777,519,53,26,0,0,0,33,-2.09677419354839,-1.40883977900552,-1.39204545454545,NaN,-0.236686390532542,-0.558659217877098,0.53,0.33,0.00,0.00,0.00,0.33,8,0.08,0,0
35,12,111,0,828,504,51,52,17,43,40,51,1.26344086021505,0.524861878453039,0.59659090909091,NaN,-1.74556213017751,0.279329608938547,0.51,0.65,0.17,0.43,0.40,0.51,31,0.31,2,0
25,17,102,0,735,466,49,71,68,68,0,34,-0.0806451612903228,1.9060773480663,-0.681818181818181,NaN,1.00591715976332,2.40223463687151,0.49,0.89,0.68,0.68,0.00,0.34,68,0.68,3,1
34,10,116,0,745,524,46,41,27,13,5,30,1.12903225806452,-0.0276243093922651,1.30681818181818,NaN,0.710059171597634,-0.837988826815644,0.46,0.51,0.27,0.13,0.05,0.30,16,0.16,1,0
13,6,107,0,756,540,38,17,0,0,0,34,-1.69354838709677,-1.13259668508287,0.0284090909090913,NaN,0.384615384615387,-1.731843575419,0.38,0.21,0.00,0.00,0.00,0.34,4,0.04,0,0
10,14,103,0,747,507,67,49,15,56,0,32,-2.09677419354839,1.07734806629834,-0.539772727272727,NaN,0.650887573964499,0.111731843575417,0.67,0.61,0.15,0.56,0.00,0.32,27,0.27,1,0
25,7,99,0,773,505,72,43,8,9,10,10,-0.0806451612903228,-0.856353591160221,-1.10795454545454,NaN,-0.118343195266272,0.223463687150838,0.72,0.54,0.08,0.09,0.10,0.10,23,0.23,1,0
31,13,114,0,821,533,77,41,0,21,2,0,0.725806451612903,0.801104972375691,1.02272727272727,NaN,-1.53846153846154,-1.34078212290503,0.77,0.51,0.00,0.21,0.02,0.00,17,0.17,1,0
22,14,117,0,840,477,53,64,60,6,28,36,-0.483870967741936,1.07734806629834,1.44886363636364,NaN,-2.10059171597633,1.78770949720671,0.53,0.80,0.60,0.06,0.28,0.36,79,0.79,4,1
22,10,96,0,780,532,44,30,3,19,0,68,-0.483870967741936,-0.0276243093922651,-1.53409090909091,NaN,-0.325443786982247,-1.28491620111732,0.44,0.38,0.03,0.19,0.00,0.68,17,0.17,1,0
32,18,118,0,780,481,30,66,40,53,68,58,0.860215053763441,2.18232044198895,1.59090909090909,NaN,-0.325443786982247,1.56424581005587,0.30,0.83,0.40,0.53,0.68,0.58,85,0.85,5,1
27,5,106,0,840,526,39,24,1,0,14,27,0.188172043010752,-1.40883977900552,-0.113636363636363,NaN,-2.10059171597633,-0.949720670391061,0.39,0.30,0.01,0.00,0.14,0.27,10,0.10,0,0
19,7,104,0,840,523,44,28,10,0,13,9,-0.887096774193548,-0.856353591160221,-0.397727272727272,NaN,-2.10059171597633,-0.782122905027936,0.44,0.35,0.10,0.00,0.13,0.09,11,0.11,0,0
27,7,112,0,722,491,56,52,48,3,18,25,0.188172043010752,-0.856353591160221,0.738636363636364,NaN,1.3905325443787,1.00558659217877,0.56,0.65,0.48,0.03,0.18,0.25,31,0.31,2,0
17,10,104,0,779,535,59,30,0,6,12,69,-1.15591397849462,-0.0276243093922651,-0.397727272727272,NaN,-0.295857988165679,-1.45251396648045,0.59,0.38,0.00,0.06,0.12,0.69,13,0.13,0,0
31,5,108,0,780,530,72,37,17,0,54,43,0.725806451612903,-1.40883977900552,0.170454545454546,NaN,-0.325443786982247,-1.1731843575419,0.72,0.46,0.17,0.00,0.54,0.43,16,0.16,1,0
33,7,110,0,714,520,40,35,13,17,62,47,0.994623655913978,-0.856353591160221,0.454545454545455,NaN,1.62721893491124,-0.614525139664806,0.40,0.44,0.13,0.17,0.62,0.47,10,0.10,0,0
22,5,112,0,741,514,35,30,5,0,37,30,-0.483870967741936,-1.40883977900552,0.738636363636364,NaN,0.828402366863906,-0.279329608938547,0.35,0.38,0.05,0.00,0.37,0.30,6,0.06,0,0
26,6,115,0,805,505,39,43,53,0,55,69,0.0537634408602149,-1.13259668508287,1.16477272727273,NaN,-1.06508875739645,0.223463687150838,0.39,0.54,0.53,0.00,0.55,0.69,18,0.18,1,0
34,8,114,0,807,519,70,41,1,10,7,54,1.12903225806452,-0.580110497237569,1.02272727272727,NaN,-1.12426035502959,-0.558659217877098,0.70,0.51,0.01,0.10,0.07,0.54,20,0.20,1,0
21,5,94,0,774,505,29,34,49,0,11,69,-0.618279569892473,-1.40883977900552,-1.81818181818182,NaN,-0.14792899408284,0.223463687150838,0.29,0.43,0.49,0.00,0.11,0.69,18,0.18,1,0
29,16,104,0,736,483,73,73,66,69,31,0,0.456989247311828,1.62983425414365,-0.397727272727272,NaN,0.976331360946746,1.45251396648045,0.73,0.91,0.66,0.69,0.31,0.00,68,0.68,3,1
20,5,108,0,745,516,44,34,49,0,4,69,-0.752688172043011,-1.40883977900552,0.170454545454546,NaN,0.710059171597634,-0.391061452513968,0.44,0.43,0.49,0.00,0.04,0.69,14,0.14,0,0
22,8,106,0,728,500,50,45,27,2,17,34,-0.483870967741936,-0.580110497237569,-0.113636363636363,NaN,1.21301775147929,0.502793296089385,0.50,0.56,0.27,0.02,0.17,0.34,25,0.25,1,0
31,7,99,0,760,504,60,47,37,13,26,66,0.725806451612903,-0.856353591160221,-1.10795454545454,NaN,0.266272189349115,0.279329608938547,0.60,0.59,0.37,0.13,0.26,0.66,31,0.31,2,0
19,10,96,0,773,533,48,30,5,40,17,11,-0.887096774193548,-0.0276243093922651,-1.53409090909091,NaN,-0.118343195266272,-1.34078212290503,0.48,0.38,0.05,0.40,0.17,0.11,17,0.17,1,0
28,10,90,0,800,487,63,56,37,4,0,15,0.32258064516129,-0.0276243093922651,-2.38636363636364,NaN,-0.917159763313608,1.22905027932961,0.63,0.70,0.37,0.04,0.00,0.15,33,0.33,2,0
19,10,104,0,772,514,63,41,7,24,0,3,-0.887096774193548,-0.0276243093922651,-0.397727272727272,NaN,-0.0887573964497023,-0.279329608938547,0.63,0.51,0.07,0.24,0.00,0.03,19,0.19,1,0
13,12,105,0,735,540,61,30,0,44,0,50,-1.69354838709677,0.524861878453039,-0.255681818181818,NaN,1.00591715976332,-1.731843575419,0.61,0.38,0.00,0.44,0.00,0.50,12,0.12,0,0
28,15,96,0,759,532,44,37,0,53,31,1,0.32258064516129,1.35359116022099,-1.53409090909091,NaN,0.295857988165682,-1.28491620111732,0.44,0.46,0.00,0.53,0.31,0.01,14,0.14,0,0
47,14,115,0,764,475,77,77,48,37,69,69,2.87634408602151,1.07734806629834,1.16477272727273,NaN,0.147928994082842,1.89944134078212,0.77,0.96,0.48,0.37,0.69,0.69,69,0.69,3,1
30,12,106,0,748,520,51,41,9,2,3,69,0.591397849462365,0.524861878453039,-0.113636363636363,NaN,0.621301775147929,-0.614525139664806,0.51,0.51,0.09,0.02,0.03,0.69,22,0.22,1,0
22,6,108,0,774,527,44,28,6,1,41,19,-0.483870967741936,-1.13259668508287,0.170454545454546,NaN,-0.14792899408284,-1.00558659217877,0.44,0.35,0.06,0.01,0.41,0.19,14,0.14,0,0
17,7,104,0,821,516,48,32,4,0,20,44,-1.15591397849462,-0.856353591160221,-0.397727272727272,NaN,-1.53846153846154,-0.391061452513968,0.48,0.40,0.04,0.00,0.20,0.44,18,0.18,1,0
18,10,117,0,774,521,51,39,14,39,12,49,-1.02150537634409,-0.0276243093922651,1.44886363636364,NaN,-0.14792899408284,-0.670391061452515,0.51,0.49,0.14,0.39,0.12,0.49,15,0.15,0,0
40,22,118,0,712,507,58,58,9,29,28,48,1.93548387096774,3.28729281767956,1.59090909090909,NaN,1.68639053254438,0.111731843575417,0.58,0.73,0.09,0.29,0.28,0.48,30,0.30,1,0
19,5,93,0,753,497,54,43,26,0,24,52,-0.887096774193548,-1.40883977900552,-1.96022727272727,NaN,0.473372781065089,0.670391061452515,0.54,0.54,0.26,0.00,0.24,0.52,26,0.26,1,0
26,15,117,0,732,499,63,56,9,32,25,13,0.0537634408602149,1.35359116022099,1.44886363636364,NaN,1.09467455621302,0.558659217877093,0.63,0.70,0.09,0.32,0.25,0.13,35,0.35,2,0
27,15,95,0,808,485,57,66,60,63,50,27,0.188172043010752,1.35359116022099,-1.67613636363636,NaN,-1.15384615384615,1.34078212290503,0.57,0.83,0.60,0.63,0.50,0.27,59,0.59,3,1
34,5,96,0,791,523,50,30,0,0,49,34,1.12903225806452,-1.40883977900552,-1.53409090909091,NaN,-0.650887573964496,-0.782122905027936,0.50,0.38,0.00,0.00,0.49,0.34,13,0.13,0,0
39,11,112,0,730,481,28,56,40,21,35,34,1.8010752688172,0.248618784530387,0.738636363636364,NaN,1.15384615384616,1.56424581005587,0.28,0.70,0.40,0.21,0.35,0.34,33,0.33,2,0
25,9,112,0,767,518,53,43,21,25,48,20,-0.0806451612903228,-0.303867403314917,0.738636363636364,NaN,0.0591715976331375,-0.502793296089385,0.53,0.54,0.21,0.25,0.48,0.20,16,0.16,1,0
30,14,96,0,780,537,39,34,0,68,47,68,0.591397849462365,1.07734806629834,-1.53409090909091,NaN,-0.325443786982247,-1.56424581005587,0.39,0.43,0.00,0.68,0.47,0.68,12,0.12,0,0
28,12,113,0,799,516,59,45,7,44,4,32,0.32258064516129,0.524861878453039,0.880681818181819,NaN,-0.887573964497041,-0.391061452513968,0.59,0.56,0.07,0.44,0.04,0.32,25,0.25,1,0
18,10,96,0,761,509,65,47,30,26,0,68,-1.02150537634409,-0.0276243093922651,-1.53409090909091,NaN,0.236686390532545,0,0.65,0.59,0.30,0.26,0.00,0.68,13,0.13,0,0
19,7,112,0,729,523,66,41,12,41,29,0,-0.887096774193548,-0.856353591160221,0.738636363636364,NaN,1.18343195266272,-0.782122905027936,0.66,0.51,0.12,0.41,0.29,0.00,14,0.14,0,0
27,7,102,0,735,507,65,52,60,0,68,41,0.188172043010752,-0.856353591160221,-0.681818181818181,NaN,1.00591715976332,0.111731843575417,0.65,0.65,0.60,0.00,0.68,0.41,38,0.38,2,0
22,5,113,0,746,488,73,52,45,0,0,68,-0.483870967741936,-1.40883977900552,0.880681818181819,NaN,0.680473372781066,1.1731843575419,0.73,0.65,0.45,0.00,0.00,0.68,35,0.35,2,0
35,6,100,0,721,497,37,47,53,0,62,0,1.26344086021505,-1.13259668508287,-0.965909090909091,NaN,1.42011834319527,0.670391061452515,0.37,0.59,0.53,0.00,0.62,0.00,25,0.25,1,0
18,5,106,0,769,539,63,22,0,0,0,41,-1.02150537634409,-1.40883977900552,-0.113636363636363,NaN,0,-1.67597765363128,0.63,0.28,0.00,0.00,0.00,0.41,3,0.03,0,0
33,14,119,0,734,507,38,47,4,18,18,68,0.994623655913978,1.07734806629834,1.73295454545455,NaN,1.03550295857988,0.111731843575417,0.38,0.59,0.04,0.18,0.18,0.68,25,0.25,1,0
19,6,95,0,780,540,64,24,0,0,41,29,-0.887096774193548,-1.13259668508287,-1.67613636363636,NaN,-0.325443786982247,-1.731843575419,0.64,0.30,0.00,0.00,0.41,0.29,6,0.06,0,0
35,8,110,0,746,540,59,32,0,8,29,32,1.26344086021505,-0.580110497237569,0.454545454545455,NaN,0.680473372781066,-1.731843575419,0.59,0.40,0.00,0.08,0.29,0.32,9,0.09,0,0
34,18,102,0,740,531,58,43,0,26,10,68,1.12903225806452,2.18232044198895,-0.681818181818181,NaN,0.857988165680473,-1.22905027932961,0.58,0.54,0.00,0.26,0.10,0.68,17,0.17,1,0
24,5,110,0,809,511,63,39,20,0,24,42,-0.21505376344086,-1.40883977900552,0.454545454545455,NaN,-1.18343195266272,-0.111731843575422,0.63,0.49,0.20,0.00,0.24,0.42,18,0.18,1,0
23,16,108,0,767,492,48,60,30,68,59,68,-0.349462365591398,1.62983425414365,0.170454545454546,NaN,0.0591715976331375,0.949720670391061,0.48,0.75,0.30,0.68,0.59,0.68,62,0.62,3,1
26,8,109,0,752,507,44,41,14,12,11,46,0.0537634408602149,-0.580110497237569,0.3125,NaN,0.502958579881659,0.111731843575417,0.44,0.51,0.14,0.12,0.11,0.46,19,0.19,1,0
27,12,115,0,774,538,40,32,0,30,37,22,0.188172043010752,0.524861878453039,1.16477272727273,NaN,-0.14792899408284,-1.62011173184358,0.40,0.40,0.00,0.30,0.37,0.22,14,0.14,0,0
37,19,105,0,715,534,50,47,0,68,68,67,1.53225806451613,2.4585635359116,-0.255681818181818,NaN,1.59763313609467,-1.39664804469274,0.50,0.59,0.00,0.68,0.68,0.67,29,0.29,1,0
40,13,106,0,767,481,64,71,65,59,63,63,1.93548387096774,0.801104972375691,-0.113636363636363,NaN,0.0591715976331375,1.56424581005587,0.64,0.89,0.65,0.59,0.63,0.63,72,0.72,4,1
28,12,97,0,808,488,39,51,43,25,49,0,0.32258064516129,0.524861878453039,-1.39204545454545,NaN,-1.15384615384615,1.1731843575419,0.39,0.64,0.43,0.25,0.49,0.00,78,0.78,4,1
23,10,103,0,774,502,49,54,53,50,0,14,-0.349462365591398,-0.0276243093922651,-0.539772727272727,NaN,-0.14792899408284,0.391061452513968,0.49,0.68,0.53,0.50,0.00,0.14,45,0.45,2,1
29,12,108,0,744,516,52,47,16,22,29,68,0.456989247311828,0.524861878453039,0.170454545454546,NaN,0.739644970414201,-0.391061452513968,0.52,0.59,0.16,0.22,0.29,0.68,27,0.27,1,0
23,10,111,0,797,525,72,39,3,19,7,37,-0.349462365591398,-0.0276243093922651,0.59659090909091,NaN,-0.828402366863903,-0.893854748603353,0.72,0.49,0.03,0.19,0.07,0.37,23,0.23,1,0
21,11,109,0,837,486,46,58,67,37,33,11,-0.618279569892473,0.248618784530387,0.3125,NaN,-2.01183431952662,1.28491620111732,0.46,0.73,0.67,0.37,0.33,0.11,51,0.51,3,1
26,15,111,0,794,498,25,47,19,52,18,0,0.0537634408602149,1.35359116022099,0.59659090909091,NaN,-0.739644970414201,0.614525139664801,0.25,0.59,0.19,0.52,0.18,0.00,34,0.34,2,0
22,11,115,0,749,495,38,47,31,16,14,20,-0.483870967741936,0.248618784530387,1.16477272727273,NaN,0.591715976331361,0.782122905027931,0.38,0.59,0.31,0.16,0.14,0.20,35,0.35,2,0
25,12,106,0,802,497,41,54,62,42,22,65,-0.0806451612903228,0.524861878453039,-0.113636363636363,NaN,-0.976331360946743,0.670391061452515,0.41,0.68,0.62,0.42,0.22,0.65,41,0.41,2,1
28,12,113,0,740,516,53,43,4,13,9,0,0.32258064516129,0.524861878453039,0.880681818181819,NaN,0.857988165680473,-0.391061452513968,0.53,0.54,0.04,0.13,0.09,0.00,21,0.21,1,0
15,10,108,0,732,522,55,35,3,18,19,68,-1.4247311827957,-0.0276243093922651,0.170454545454546,NaN,1.09467455621302,-0.726256983240223,0.55,0.44,0.03,0.18,0.19,0.68,24,0.24,1,0
15,5,112,0,756,532,51,22,0,0,0,68,-1.4247311827957,-1.40883977900552,0.738636363636364,NaN,0.384615384615387,-1.28491620111732,0.51,0.28,0.00,0.00,0.00,0.68,5,0.05,0,0
22,10,116,0,758,501,47,47,24,18,33,0,-0.483870967741936,-0.0276243093922651,1.30681818181818,NaN,0.325443786982249,0.446927374301676,0.47,0.59,0.24,0.18,0.33,0.00,31,0.31,2,0
33,8,105,0,741,514,49,41,5,25,18,15,0.994623655913978,-0.580110497237569,-0.255681818181818,NaN,0.828402366863906,-0.279329608938547,0.49,0.51,0.05,0.25,0.18,0.15,17,0.17,1,0
20,17,102,0,754,489,60,60,23,35,0,21,-0.752688172043011,1.9060773480663,-0.681818181818181,NaN,0.443786982248522,1.11731843575419,0.60,0.75,0.23,0.35,0.00,0.21,34,0.34,2,0
15,10,108,0,750,539,43,26,0,44,0,31,-1.4247311827957,-0.0276243093922651,0.170454545454546,NaN,0.562130177514794,-1.67597765363128,0.43,0.33,0.00,0.44,0.00,0.31,7,0.07,0,0
