Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Defense,Pass_Rush_Technique,Pass_Rush_Strength,Play_Diagnosis,Punishing_Hitter,Endurance,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_DefenseZ,Pass_Rush_TechniqueZ,Pass_Rush_StrengthZ,Play_DiagnosisZ,Punishing_HitterZ,EnduranceZ,PeakCur,PeakCurZ,Ability,Draftable
24,19,107,0,793,496,33,24,1,0,0,14,12,0,0.0586510263929617,-1.70483460559796,-0.108991825613079,NaN,-0.833333333333333,-0.428571428571426,0.33,0.30,0.01,0.00,0.00,0.14,0.12,0.00,8,0.08,0,0
25,29,115,0,772,485,37,42,9,24,31,0,68,43,0.205278592375366,0.83969465648855,0.980926430517712,NaN,-0.133333333333333,0.357142857142862,0.37,0.53,0.09,0.24,0.31,0.00,0.68,0.43,22,0.22,1,0
31,22,113,0,721,514,32,40,67,0,0,40,22,28,1.08504398826979,-0.94147582697201,0.708446866485014,NaN,1.56666666666667,-1.71428571428571,0.32,0.50,0.67,0.00,0.00,0.40,0.22,0.28,15,0.15,0,0
24,24,98,0,806,496,31,25,0,45,10,64,0,0,0.0586510263929617,-0.432569974554707,-1.33514986376022,NaN,-1.26666666666667,-0.428571428571426,0.31,0.31,0.00,0.45,0.10,0.64,0.00,0.00,6,0.06,0,0
25,26,114,0,783,479,39,41,5,47,14,0,11,19,0.205278592375366,0.0763358778625956,0.844686648501363,NaN,-0.500000000000001,0.785714285714288,0.39,0.51,0.05,0.47,0.14,0.00,0.11,0.19,15,0.15,0,0
25,21,109,0,734,487,10,38,68,32,0,42,1,30,0.205278592375366,-1.19592875318066,0.163487738419619,NaN,1.13333333333333,0.214285714285716,0.10,0.48,0.68,0.32,0.00,0.42,0.01,0.30,6,0.06,0,0
22,23,111,0,760,485,23,35,22,0,16,56,0,19,-0.234604105571848,-0.687022900763359,0.435967302452316,NaN,0.266666666666667,0.357142857142862,0.23,0.44,0.22,0.00,0.16,0.56,0.00,0.19,15,0.15,0,0
31,27,112,0,777,485,18,34,10,32,21,39,15,17,1.08504398826979,0.330788804071247,0.572207084468665,NaN,-0.3,0.357142857142862,0.18,0.43,0.10,0.32,0.21,0.39,0.15,0.17,12,0.12,0,0
21,20,114,0,787,515,31,22,9,0,0,3,0,22,-0.381231671554252,-1.45038167938931,0.844686648501363,NaN,-0.633333333333335,-1.78571428571429,0.31,0.28,0.09,0.00,0.00,0.03,0.00,0.22,8,0.08,0,0
28,30,102,0,774,486,29,39,22,2,31,5,8,0,0.64516129032258,1.0941475826972,-0.790190735694823,NaN,-0.200000000000002,0.285714285714286,0.29,0.49,0.22,0.02,0.31,0.05,0.08,0.00,13,0.13,0,0
22,27,113,0,777,485,53,44,5,26,35,0,0,67,-0.234604105571848,0.330788804071247,0.708446866485014,NaN,-0.3,0.357142857142862,0.53,0.55,0.05,0.26,0.35,0.00,0.00,0.67,24,0.24,1,0
23,25,96,0,819,485,53,31,0,8,17,37,23,0,-0.087976539589443,-0.178117048346056,-1.60762942779292,NaN,-1.7,0.357142857142862,0.53,0.39,0.00,0.08,0.17,0.37,0.23,0.00,12,0.12,0,0
21,20,95,0,769,494,38,31,28,50,0,47,41,0,-0.381231671554252,-1.45038167938931,-1.74386920980926,NaN,-0.0333333333333356,-0.285714285714286,0.38,0.39,0.28,0.50,0.00,0.47,0.41,0.00,10,0.10,0,0
21,29,108,0,733,485,16,44,46,43,35,40,45,14,-0.381231671554252,0.83969465648855,0.0272479564032701,NaN,1.16666666666667,0.357142857142862,0.16,0.55,0.46,0.43,0.35,0.40,0.45,0.14,45,0.45,2,1
21,21,107,0,742,483,13,34,36,11,0,27,19,7,-0.381231671554252,-1.19592875318066,-0.108991825613079,NaN,0.866666666666666,0.500000000000002,0.13,0.43,0.36,0.11,0.00,0.27,0.19,0.07,6,0.06,0,0
21,27,102,0,787,485,33,34,0,19,56,0,0,0,-0.381231671554252,0.330788804071247,-0.790190735694823,NaN,-0.633333333333335,0.357142857142862,0.33,0.43,0.00,0.19,0.56,0.00,0.00,0.00,21,0.21,1,0
21,27,115,0,736,479,17,44,23,26,30,30,20,36,-0.381231671554252,0.330788804071247,0.980926430517712,NaN,1.06666666666666,0.785714285714288,0.17,0.55,0.23,0.26,0.30,0.30,0.20,0.36,54,0.54,3,1
24,27,99,0,813,515,20,19,6,0,24,48,50,7,0.0586510263929617,0.330788804071247,-1.19891008174387,NaN,-1.5,-1.78571428571429,0.20,0.24,0.06,0.00,0.24,0.48,0.50,0.07,10,0.10,0,0
30,27,116,0,801,467,33,42,0,66,13,7,29,30,0.93841642228739,0.330788804071247,1.11716621253406,NaN,-1.1,1.64285714285715,0.33,0.53,0.00,0.66,0.13,0.07,0.29,0.30,16,0.16,1,0
10,25,108,0,820,485,29,24,0,28,0,0,54,0,-1.9941348973607,-0.178117048346056,0.0272479564032701,NaN,-1.73333333333333,0.357142857142862,0.29,0.30,0.00,0.28,0.00,0.00,0.54,0.00,7,0.07,0,0
21,27,95,0,745,495,31,41,51,36,30,0,16,0,-0.381231671554252,0.330788804071247,-1.74386920980926,NaN,0.766666666666665,-0.357142857142856,0.31,0.51,0.51,0.36,0.30,0.00,0.16,0.00,18,0.18,1,0
27,27,112,0,760,506,26,32,5,0,4,0,33,23,0.498533724340176,0.330788804071247,0.572207084468665,NaN,0.266666666666667,-1.14285714285714,0.26,0.40,0.05,0.00,0.04,0.00,0.33,0.23,10,0.10,0,0
16,29,118,0,811,475,37,40,0,29,49,13,0,56,-1.11436950146628,0.83969465648855,1.38964577656676,NaN,-1.43333333333333,1.07142857142857,0.37,0.50,0.00,0.29,0.49,0.13,0.00,0.56,19,0.19,1,0
9,27,115,0,808,485,16,29,7,29,27,0,16,43,-2.14076246334311,0.330788804071247,0.980926430517712,NaN,-1.33333333333333,0.357142857142862,0.16,0.36,0.07,0.29,0.27,0.00,0.16,0.43,16,0.16,1,0
31,25,122,0,766,485,59,51,30,45,14,29,0,54,1.08504398826979,-0.178117048346056,1.93460490463215,NaN,0.0666666666666653,0.357142857142862,0.59,0.64,0.30,0.45,0.14,0.29,0.00,0.54,22,0.22,1,0
12,22,106,0,738,476,29,43,64,47,3,21,19,31,-1.70087976539589,-0.94147582697201,-0.245231607629427,NaN,0.999999999999999,1,0.29,0.54,0.64,0.47,0.03,0.21,0.19,0.31,21,0.21,1,0
32,28,118,0,760,496,31,41,27,24,17,15,35,23,1.2316715542522,0.585241730279898,1.38964577656676,NaN,0.266666666666667,-0.428571428571426,0.31,0.51,0.27,0.24,0.17,0.15,0.35,0.23,15,0.15,0,0
19,29,104,0,760,492,46,43,19,26,35,0,14,2,-0.674486803519062,0.83969465648855,-0.517711171662125,NaN,0.266666666666667,-0.14285714285714,0.46,0.54,0.19,0.26,0.35,0.00,0.14,0.02,16,0.16,1,0
34,29,101,0,753,497,56,44,29,0,34,22,32,6,1.52492668621701,0.83969465648855,-0.926430517711171,NaN,0.499999999999998,-0.499999999999996,0.56,0.55,0.29,0.00,0.34,0.22,0.32,0.06,30,0.30,1,0
33,23,115,0,782,485,41,38,13,15,23,19,3,39,1.3782991202346,-0.687022900763359,0.980926430517712,NaN,-0.466666666666669,0.357142857142862,0.41,0.48,0.13,0.15,0.23,0.19,0.03,0.39,16,0.16,1,0
32,30,102,0,814,494,3,23,0,20,34,23,35,0,1.2316715542522,1.0941475826972,-0.790190735694823,NaN,-1.53333333333334,-0.285714285714286,0.03,0.29,0.00,0.20,0.34,0.23,0.35,0.00,10,0.10,0,0
22,20,110,0,751,510,30,29,27,0,4,5,0,24,-0.234604105571848,-1.45038167938931,0.299727520435968,NaN,0.566666666666666,-1.42857142857142,0.30,0.36,0.27,0.00,0.04,0.05,0.00,0.24,9,0.09,0,0
31,30,109,0,747,466,30,57,50,69,30,68,29,27,1.08504398826979,1.0941475826972,0.163487738419619,NaN,0.7,1.71428571428572,0.30,0.71,0.50,0.69,0.30,0.68,0.29,0.27,54,0.54,3,1
18,19,102,0,760,485,22,33,40,57,13,57,0,20,-0.821114369501466,-1.70483460559796,-0.790190735694823,NaN,0.266666666666667,0.357142857142862,0.22,0.41,0.40,0.57,0.13,0.57,0.00,0.20,17,0.17,1,0
14,27,97,0,787,512,34,24,0,0,35,0,0,0,-1.40762463343109,0.330788804071247,-1.47138964577657,NaN,-0.633333333333335,-1.57142857142857,0.34,0.30,0.00,0.00,0.35,0.00,0.00,0.00,12,0.12,0,0
31,24,117,0,750,484,26,42,27,34,32,17,0,45,1.08504398826979,-0.432569974554707,1.25340599455041,NaN,0.599999999999999,0.428571428571432,0.26,0.53,0.27,0.34,0.32,0.17,0.00,0.45,46,0.46,2,1
35,38,126,0,695,455,21,74,69,69,69,69,69,69,1.67155425219941,3.12977099236641,2.47956403269755,NaN,2.43333333333333,2.5,0.21,0.93,0.69,0.69,0.69,0.69,0.69,0.69,84,0.84,4,1
29,21,108,0,814,498,36,23,0,2,7,4,0,8,0.791788856304985,-1.19592875318066,0.0272479564032701,NaN,-1.53333333333334,-0.571428571428572,0.36,0.29,0.00,0.02,0.07,0.04,0.00,0.08,8,0.08,0,0
32,29,113,0,720,515,35,47,60,0,32,15,29,40,1.2316715542522,0.83969465648855,0.708446866485014,NaN,1.6,-1.78571428571429,0.35,0.59,0.60,0.00,0.32,0.15,0.29,0.40,37,0.37,2,0
30,32,118,0,726,476,34,56,33,18,56,13,27,48,0.93841642228739,1.6030534351145,1.38964577656676,NaN,1.4,1,0.34,0.70,0.33,0.18,0.56,0.13,0.27,0.48,40,0.40,2,1
25,21,107,0,753,469,17,41,25,68,0,4,0,41,0.205278592375366,-1.19592875318066,-0.108991825613079,NaN,0.499999999999998,1.5,0.17,0.51,0.25,0.68,0.00,0.04,0.00,0.41,8,0.08,0,0
37,28,110,0,808,491,30,35,0,31,34,60,4,47,1.96480938416422,0.585241730279898,0.299727520435968,NaN,-1.33333333333333,-0.0714285714285699,0.30,0.44,0.00,0.31,0.34,0.60,0.04,0.47,14,0.14,0,0
18,23,115,0,819,476,56,38,0,58,0,20,19,65,-0.821114369501466,-0.687022900763359,0.980926430517712,NaN,-1.7,1,0.56,0.48,0.00,0.58,0.00,0.20,0.19,0.65,13,0.13,0,0
26,28,107,0,756,515,27,34,46,0,37,23,2,23,0.351906158357771,0.585241730279898,-0.108991825613079,NaN,0.4,-1.78571428571429,0.27,0.43,0.46,0.00,0.37,0.23,0.02,0.23,19,0.19,1,0
26,21,94,0,797,513,31,20,0,0,3,32,20,0,0.351906158357771,-1.19592875318066,-1.88010899182561,NaN,-0.966666666666667,-1.64285714285714,0.31,0.25,0.00,0.00,0.03,0.32,0.20,0.00,6,0.06,0,0
32,33,116,0,761,473,46,58,43,63,44,37,5,41,1.2316715542522,1.85750636132316,1.11716621253406,NaN,0.233333333333331,1.21428571428571,0.46,0.73,0.43,0.63,0.44,0.37,0.05,0.41,28,0.28,1,0
26,27,102,0,787,484,46,39,2,35,12,36,55,13,0.351906158357771,0.330788804071247,-0.790190735694823,NaN,-0.633333333333335,0.428571428571432,0.46,0.49,0.02,0.35,0.12,0.36,0.55,0.13,19,0.19,1,0
34,27,118,0,799,506,34,32,6,9,14,42,14,46,1.52492668621701,0.330788804071247,1.38964577656676,NaN,-1.03333333333333,-1.14285714285714,0.34,0.40,0.06,0.09,0.14,0.42,0.14,0.46,13,0.13,0,0
19,26,103,0,727,485,55,51,61,12,22,23,0,0,-0.674486803519062,0.0763358778625956,-0.653950953678474,NaN,1.36666666666667,0.357142857142862,0.55,0.64,0.61,0.12,0.22,0.23,0.00,0.00,25,0.25,1,0
18,20,111,0,742,486,35,40,41,21,4,28,0,43,-0.821114369501466,-1.45038167938931,0.435967302452316,NaN,0.866666666666666,0.285714285714286,0.35,0.50,0.41,0.21,0.04,0.28,0.00,0.43,12,0.12,0,0
35,28,101,0,744,481,27,46,41,42,26,45,45,0,1.67155425219941,0.585241730279898,-0.926430517711171,NaN,0.799999999999998,0.642857142857148,0.27,0.58,0.41,0.42,0.26,0.45,0.45,0.00,36,0.36,2,0
18,20,106,0,797,499,31,22,4,9,0,0,21,0,-0.821114369501466,-1.45038167938931,-0.245231607629427,NaN,-0.966666666666667,-0.642857142857142,0.31,0.28,0.04,0.09,0.00,0.00,0.21,0.00,5,0.05,0,0
22,20,107,0,741,473,44,49,56,69,18,25,3,24,-0.234604105571848,-1.45038167938931,-0.108991825613079,NaN,0.899999999999999,1.21428571428571,0.44,0.61,0.56,0.69,0.18,0.25,0.03,0.24,62,0.62,3,1
17,29,118,0,742,491,21,43,49,18,8,42,56,37,-0.967741935483871,0.83969465648855,1.38964577656676,NaN,0.866666666666666,-0.0714285714285699,0.21,0.54,0.49,0.18,0.08,0.42,0.56,0.37,21,0.21,1,0
15,23,118,0,743,485,43,41,24,3,0,0,0,21,-1.26099706744868,-0.687022900763359,1.38964577656676,NaN,0.833333333333333,0.357142857142862,0.43,0.51,0.24,0.03,0.00,0.00,0.00,0.21,11,0.11,0,0
32,22,97,0,777,473,36,38,4,35,0,32,28,0,1.2316715542522,-0.94147582697201,-1.47138964577657,NaN,-0.3,1.21428571428571,0.36,0.48,0.04,0.35,0.00,0.32,0.28,0.00,9,0.09,0,0
20,21,119,0,771,485,27,31,4,0,0,46,3,34,-0.527859237536657,-1.19592875318066,1.52588555858311,NaN,-0.100000000000001,0.357142857142862,0.27,0.39,0.04,0.00,0.00,0.46,0.03,0.34,8,0.08,0,0
22,19,106,0,760,485,21,31,34,21,0,0,19,5,-0.234604105571848,-1.70483460559796,-0.245231607629427,NaN,0.266666666666667,0.357142857142862,0.21,0.39,0.34,0.21,0.00,0.00,0.19,0.05,6,0.06,0,0
21,28,97,0,750,485,40,43,25,28,15,44,60,0,-0.381231671554252,0.585241730279898,-1.47138964577657,NaN,0.599999999999999,0.357142857142862,0.40,0.54,0.25,0.28,0.15,0.44,0.60,0.00,30,0.30,1,0
20,30,110,0,729,481,21,48,39,26,18,36,28,46,-0.527859237536657,1.0941475826972,0.299727520435968,NaN,1.3,0.642857142857148,0.21,0.60,0.39,0.26,0.18,0.36,0.28,0.46,21,0.21,1,0
15,23,122,0,820,495,36,25,0,0,8,3,8,63,-1.26099706744868,-0.687022900763359,1.93460490463215,NaN,-1.73333333333333,-0.357142857142856,0.36,0.31,0.00,0.00,0.08,0.03,0.08,0.63,13,0.13,0,0
29,25,108,0,816,512,53,29,0,0,15,15,32,26,0.791788856304985,-0.178117048346056,0.0272479564032701,NaN,-1.6,-1.57142857142857,0.53,0.36,0.00,0.00,0.15,0.15,0.32,0.26,8,0.08,0,0
30,27,97,0,806,479,41,35,0,40,13,44,29,0,0.93841642228739,0.330788804071247,-1.47138964577657,NaN,-1.26666666666667,0.785714285714288,0.41,0.44,0.00,0.40,0.13,0.44,0.29,0.00,12,0.12,0,0
19,30,99,0,730,515,27,39,55,0,45,0,10,0,-0.674486803519062,1.0941475826972,-1.19891008174387,NaN,1.26666666666667,-1.78571428571429,0.27,0.49,0.55,0.00,0.45,0.00,0.10,0.00,18,0.18,1,0
28,19,104,0,760,485,29,31,13,19,0,6,22,0,0.64516129032258,-1.70483460559796,-0.517711171662125,NaN,0.266666666666667,0.357142857142862,0.29,0.39,0.13,0.19,0.00,0.06,0.22,0.00,8,0.08,0,0
21,28,101,0,820,480,49,32,0,14,37,0,30,0,-0.381231671554252,0.585241730279898,-0.926430517711171,NaN,-1.73333333333333,0.714285714285718,0.49,0.40,0.00,0.14,0.37,0.00,0.30,0.00,19,0.19,1,0
21,29,118,0,712,474,35,59,69,51,26,31,57,39,-0.381231671554252,0.83969465648855,1.38964577656676,NaN,1.86666666666667,1.14285714285714,0.35,0.74,0.69,0.51,0.26,0.31,0.57,0.39,71,0.71,4,1
21,19,100,0,733,485,58,44,43,31,0,9,5,30,-0.381231671554252,-1.70483460559796,-1.06267029972752,NaN,1.16666666666667,0.357142857142862,0.58,0.55,0.43,0.31,0.00,0.09,0.05,0.30,30,0.30,1,0
15,28,113,0,760,506,47,41,25,0,36,0,4,23,-1.26099706744868,0.585241730279898,0.708446866485014,NaN,0.266666666666667,-1.14285714285714,0.47,0.51,0.25,0.00,0.36,0.00,0.04,0.23,18,0.18,1,0
28,22,101,0,762,485,34,32,0,1,0,10,0,0,0.64516129032258,-0.94147582697201,-0.926430517711171,NaN,0.199999999999999,0.357142857142862,0.34,0.40,0.00,0.01,0.00,0.10,0.00,0.00,5,0.05,0,0
21,22,108,0,760,484,27,38,25,42,24,18,0,17,-0.381231671554252,-0.94147582697201,0.0272479564032701,NaN,0.266666666666667,0.428571428571432,0.27,0.48,0.25,0.42,0.24,0.18,0.00,0.17,15,0.15,0,0
21,22,99,0,731,485,54,46,42,25,0,40,0,0,-0.381231671554252,-0.94147582697201,-1.19891008174387,NaN,1.23333333333333,0.357142857142862,0.54,0.58,0.42,0.25,0.00,0.40,0.00,0.00,37,0.37,2,0
19,21,99,0,750,480,46,41,28,54,11,10,0,0,-0.674486803519062,-1.19592875318066,-1.19891008174387,NaN,0.599999999999999,0.714285714285718,0.46,0.51,0.28,0.54,0.11,0.10,0.00,0.00,16,0.16,1,0
32,25,109,0,732,487,34,42,19,5,0,27,18,2,1.2316715542522,-0.178117048346056,0.163487738419619,NaN,1.2,0.214285714285716,0.34,0.53,0.19,0.05,0.00,0.27,0.18,0.02,11,0.11,0,0
23,27,112,0,784,481,22,35,0,25,37,0,7,11,-0.087976539589443,0.330788804071247,0.572207084468665,NaN,-0.533333333333334,0.642857142857148,0.22,0.44,0.00,0.25,0.37,0.00,0.07,0.11,18,0.18,1,0
14,28,104,0,787,503,39,30,7,0,25,8,36,15,-1.40762463343109,0.585241730279898,-0.517711171662125,NaN,-0.633333333333335,-0.928571428571428,0.39,0.38,0.07,0.00,0.25,0.08,0.36,0.15,13,0.13,0,0
25,31,103,0,776,503,47,38,0,0,33,33,27,0,0.205278592375366,1.34860050890585,-0.653950953678474,NaN,-0.266666666666667,-0.928571428571428,0.47,0.48,0.00,0.00,0.33,0.33,0.27,0.00,15,0.15,0,0
19,25,115,0,802,476,42,39,2,38,20,52,12,56,-0.674486803519062,-0.178117048346056,0.980926430517712,NaN,-1.13333333333333,1,0.42,0.49,0.02,0.38,0.20,0.52,0.12,0.56,16,0.16,1,0
21,26,100,0,759,505,33,32,43,0,26,0,0,0,-0.381231671554252,0.0763358778625956,-1.06267029972752,NaN,0.3,-1.07142857142857,0.33,0.40,0.43,0.00,0.26,0.00,0.00,0.00,13,0.13,0,0
21,31,115,0,753,479,26,49,29,39,57,25,15,51,-0.381231671554252,1.34860050890585,0.980926430517712,NaN,0.499999999999998,0.785714285714288,0.26,0.61,0.29,0.39,0.57,0.25,0.15,0.51,42,0.42,2,1
24,27,103,0,760,485,54,43,18,14,37,20,21,0,0.0586510263929617,0.330788804071247,-0.653950953678474,NaN,0.266666666666667,0.357142857142862,0.54,0.54,0.18,0.14,0.37,0.20,0.21,0.00,35,0.35,2,0
32,21,98,0,819,495,41,23,0,18,0,41,12,12,1.2316715542522,-1.19592875318066,-1.33514986376022,NaN,-1.7,-0.357142857142856,0.41,0.29,0.00,0.18,0.00,0.41,0.12,0.12,7,0.07,0,0
31,27,101,0,804,485,22,28,0,6,4,18,45,9,1.08504398826979,0.330788804071247,-0.926430517711171,NaN,-1.2,0.357142857142862,0.22,0.35,0.00,0.06,0.04,0.18,0.45,0.09,8,0.08,0,0
31,37,124,0,696,457,47,79,68,68,68,45,64,68,1.08504398826979,2.87531806615776,2.20708446866485,NaN,2.4,2.35714285714286,0.47,0.99,0.68,0.68,0.68,0.45,0.64,0.68,84,0.84,4,1
27,24,116,0,734,515,17,35,49,0,10,57,25,48,0.498533724340176,-0.432569974554707,1.11716621253406,NaN,1.13333333333333,-1.78571428571429,0.17,0.44,0.49,0.00,0.10,0.57,0.25,0.48,11,0.11,0,0
21,27,112,0,760,504,36,41,31,11,50,33,1,20,-0.381231671554252,0.330788804071247,0.572207084468665,NaN,0.266666666666667,-0.999999999999998,0.36,0.51,0.31,0.11,0.50,0.33,0.01,0.20,23,0.23,1,0
23,25,106,0,742,489,20,40,53,26,18,26,0,10,-0.087976539589443,-0.178117048346056,-0.245231607629427,NaN,0.866666666666666,0.0714285714285762,0.20,0.50,0.53,0.26,0.18,0.26,0.00,0.10,17,0.17,1,0
17,25,111,0,778,485,22,33,17,20,14,18,25,30,-0.967741935483871,-0.178117048346056,0.435967302452316,NaN,-0.333333333333335,0.357142857142862,0.22,0.41,0.17,0.20,0.14,0.18,0.25,0.30,12,0.12,0,0
12,29,111,0,769,512,44,34,14,0,20,0,68,50,-1.70087976539589,0.83969465648855,0.435967302452316,NaN,-0.0333333333333356,-1.57142857142857,0.44,0.43,0.14,0.00,0.20,0.00,0.68,0.50,15,0.15,0,0
15,24,102,0,751,490,47,40,17,8,11,6,12,8,-1.26099706744868,-0.432569974554707,-0.790190735694823,NaN,0.566666666666666,0,0.47,0.50,0.17,0.08,0.11,0.06,0.12,0.08,16,0.16,1,0
32,26,97,0,819,507,38,23,0,0,17,42,5,0,1.2316715542522,0.0763358778625956,-1.47138964577657,NaN,-1.7,-1.21428571428571,0.38,0.29,0.00,0.00,0.17,0.42,0.05,0.00,9,0.09,0,0
26,27,109,0,774,502,46,37,2,12,32,43,8,7,0.351906158357771,0.330788804071247,0.163487738419619,NaN,-0.200000000000002,-0.857142857142851,0.46,0.46,0.02,0.12,0.32,0.43,0.08,0.07,18,0.18,1,0
