Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Blocking,Pass_Blocking,Blocking_Strength,Power_Inside,Third_Down_Runs,Hole_Recognition,Blitz_Pickup,Avoid_Drops,Route_Running,Third_Down_Receiving,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_BlockingZ,Pass_BlockingZ,Blocking_StrengthZ,Power_InsideZ,Third_Down_RunsZ,Hole_RecognitionZ,Blitz_PickupZ,Avoid_DropsZ,Route_RunningZ,Third_Down_ReceivingZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
29,19,93,16,769,490,31,28,0,31,43,13,0,43,0,31,25,38,50,11,1.23478260869565,-0.205128205128205,-2.14990138067061,-0.985352862849534,-0.552763819095479,-1.15384615384616,0.31,0.35,0.00,0.31,0.43,0.13,0.00,0.43,0.00,0.31,0.25,0.38,0.50,0.11,13,0.13,0,0
23,15,105,22,740,470,28,37,20,25,21,0,50,29,28,10,33,22,66,32,0.191304347826087,-1.23076923076923,0.216962524654831,-0.186418109187749,0.904522613065325,1.4102564102564,0.28,0.46,0.20,0.25,0.21,0.00,0.50,0.29,0.28,0.10,0.33,0.22,0.66,0.32,16,0.16,1,0
20,27,113,23,757,478,46,55,77,63,75,77,36,28,19,33,41,77,49,72,-0.330434782608695,1.84615384615385,1.79487179487179,-0.0532623169107854,0.050251256281406,0.384615384615376,0.46,0.69,0.77,0.63,0.75,0.77,0.36,0.28,0.19,0.33,0.41,0.77,0.49,0.72,67,0.67,3,1
20,20,99,30,733,478,22,36,13,30,46,23,37,1,48,23,38,11,30,30,-0.330434782608695,0.0512820512820511,-0.966469428007891,0.878828229027963,1.25628140703518,0.384615384615376,0.22,0.45,0.13,0.30,0.46,0.23,0.37,0.01,0.48,0.23,0.38,0.11,0.30,0.30,11,0.11,0,0
18,22,109,32,736,485,42,48,23,33,50,39,55,30,18,46,54,48,62,54,-0.678260869565217,0.564102564102564,1.00591715976331,1.14513981358189,1.10552763819095,-0.512820512820513,0.42,0.60,0.23,0.33,0.50,0.39,0.55,0.30,0.18,0.46,0.54,0.48,0.62,0.54,40,0.40,2,1
18,21,110,24,755,494,58,47,64,37,55,34,50,0,32,33,0,0,0,4,-0.678260869565217,0.307692307692308,1.20315581854043,0.0798934753661786,0.150753768844222,-1.66666666666668,0.58,0.59,0.64,0.37,0.55,0.34,0.50,0.00,0.32,0.33,0.00,0.00,0.00,0.04,37,0.37,2,0
25,22,103,14,770,485,24,33,40,22,55,40,16,17,40,13,0,15,33,5,0.539130434782609,0.564102564102564,-0.177514792899409,-1.25166444740346,-0.603015075376885,-0.512820512820513,0.24,0.41,0.40,0.22,0.55,0.40,0.16,0.17,0.40,0.13,0.00,0.15,0.33,0.05,15,0.15,0,0
12,14,105,28,759,478,43,36,55,5,43,0,15,0,37,47,30,55,0,26,-1.72173913043478,-1.48717948717949,0.216962524654831,0.612516644474035,-0.050251256281406,0.384615384615376,0.43,0.45,0.55,0.05,0.43,0.00,0.15,0.00,0.37,0.47,0.30,0.55,0.00,0.26,18,0.18,1,0
25,22,99,25,767,480,41,37,2,0,43,40,12,0,37,0,9,37,65,13,0.539130434782609,0.564102564102564,-0.966469428007891,0.213049267643143,-0.452261306532663,0.128205128205125,0.41,0.46,0.02,0.00,0.43,0.40,0.12,0.00,0.37,0.00,0.09,0.37,0.65,0.13,14,0.14,0,0
18,18,98,32,760,479,16,27,0,16,0,8,5,18,17,22,44,0,0,0,-0.678260869565217,-0.461538461538462,-1.16370808678501,1.14513981358189,-0.100502512562812,0.256410256410251,0.16,0.34,0.00,0.16,0.00,0.08,0.05,0.18,0.17,0.22,0.44,0.00,0.00,0.00,8,0.08,0,0
26,22,108,33,760,480,37,50,49,0,33,32,42,53,37,0,73,49,36,73,0.71304347826087,0.564102564102564,0.808678500986192,1.27829560585886,-0.100502512562812,0.128205128205125,0.37,0.63,0.49,0.00,0.33,0.32,0.42,0.53,0.37,0.00,0.73,0.49,0.36,0.73,26,0.26,1,0
29,20,96,25,785,470,52,39,1,40,8,23,21,44,26,34,29,37,31,0,1.23478260869565,0.0512820512820511,-1.55818540433925,0.213049267643143,-1.35678391959799,1.4102564102564,0.52,0.49,0.01,0.40,0.08,0.23,0.21,0.44,0.26,0.34,0.29,0.37,0.31,0.00,19,0.19,1,0
18,18,99,18,774,480,24,27,18,53,29,17,2,33,31,3,0,37,38,0,-0.678260869565217,-0.461538461538462,-0.966469428007891,-0.719041278295606,-0.804020100502513,0.128205128205125,0.24,0.34,0.18,0.53,0.29,0.17,0.02,0.33,0.31,0.03,0.00,0.37,0.38,0.00,16,0.16,1,0
20,20,96,12,742,479,51,31,0,22,4,20,9,6,0,34,4,28,1,36,-0.330434782608695,0.0512820512820511,-1.55818540433925,-1.51797603195739,0.804020100502513,0.256410256410251,0.51,0.39,0.00,0.22,0.04,0.20,0.09,0.06,0.00,0.34,0.04,0.28,0.01,0.36,12,0.12,0,0
18,20,112,32,727,484,56,53,38,8,15,18,69,0,44,45,66,0,39,69,-0.678260869565217,0.0512820512820511,1.59763313609467,1.14513981358189,1.55778894472362,-0.384615384615388,0.56,0.66,0.38,0.08,0.15,0.18,0.69,0.00,0.44,0.45,0.66,0.00,0.39,0.69,30,0.30,1,0
10,23,109,17,789,483,52,38,65,24,42,38,0,0,14,5,0,6,38,48,-2.0695652173913,0.82051282051282,1.00591715976331,-0.85219707057257,-1.55778894472362,-0.256410256410262,0.52,0.48,0.65,0.24,0.42,0.38,0.00,0.00,0.14,0.05,0.00,0.06,0.38,0.48,20,0.20,1,0
19,23,109,29,753,488,42,45,15,69,0,39,53,10,54,12,16,51,29,33,-0.504347826086956,0.82051282051282,1.00591715976331,0.745672436750999,0.251256281407034,-0.897435897435901,0.42,0.56,0.15,0.69,0.00,0.39,0.53,0.10,0.54,0.12,0.16,0.51,0.29,0.33,25,0.25,1,0
18,25,109,15,748,462,32,39,14,1,48,34,22,0,24,27,0,4,54,22,-0.678260869565217,1.33333333333333,1.00591715976331,-1.1185086551265,0.502512562814069,2.43589743589743,0.32,0.49,0.14,0.01,0.48,0.34,0.22,0.00,0.24,0.27,0.00,0.04,0.54,0.22,17,0.17,1,0
10,26,108,24,777,478,19,34,54,32,0,63,7,34,9,2,26,14,26,7,-2.0695652173913,1.58974358974359,0.808678500986192,0.0798934753661786,-0.954773869346731,0.384615384615376,0.19,0.43,0.54,0.32,0.00,0.63,0.07,0.34,0.09,0.02,0.26,0.14,0.26,0.07,18,0.18,1,0
17,17,113,19,750,472,36,44,69,51,0,0,66,34,0,29,67,5,44,31,-0.852173913043478,-0.717948717948718,1.79487179487179,-0.585885486018642,0.402010050251257,1.15384615384615,0.36,0.55,0.69,0.51,0.00,0.00,0.66,0.34,0.00,0.29,0.67,0.05,0.44,0.31,22,0.22,1,0
14,20,105,30,752,482,21,37,69,0,27,15,11,0,48,26,44,63,11,22,-1.37391304347826,0.0512820512820511,0.216962524654831,0.878828229027963,0.301507537688445,-0.128205128205137,0.21,0.46,0.69,0.00,0.27,0.15,0.11,0.00,0.48,0.26,0.44,0.63,0.11,0.22,13,0.13,0,0
11,19,100,9,760,492,57,27,0,45,32,15,0,0,0,0,0,0,0,23,-1.89565217391304,-0.205128205128205,-0.76923076923077,-1.91744340878828,-0.100502512562812,-1.41025641025641,0.57,0.34,0.00,0.45,0.32,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,10,0.10,0,0
15,14,106,25,747,478,50,39,19,0,31,0,59,44,12,41,14,20,0,6,-1.2,-1.48717948717949,0.414201183431952,0.213049267643143,0.552763819095479,0.384615384615376,0.50,0.49,0.19,0.00,0.31,0.00,0.59,0.44,0.12,0.41,0.14,0.20,0.00,0.06,25,0.25,1,0
16,14,98,23,755,482,57,31,0,1,3,0,3,21,16,3,14,2,0,48,-1.02608695652174,-1.48717948717949,-1.16370808678501,-0.0532623169107854,0.150753768844222,-0.128205128205137,0.57,0.39,0.00,0.01,0.03,0.00,0.03,0.21,0.16,0.03,0.14,0.02,0.00,0.48,14,0.14,0,0
11,20,103,15,769,477,41,31,21,29,22,28,46,0,0,0,8,41,45,14,-1.89565217391304,0.0512820512820511,-0.177514792899409,-1.1185086551265,-0.552763819095479,0.512820512820513,0.41,0.39,0.21,0.29,0.22,0.28,0.46,0.00,0.00,0.00,0.08,0.41,0.45,0.14,18,0.18,1,0
29,25,97,14,760,476,21,28,0,0,22,50,0,13,5,0,0,53,30,19,1.23478260869565,1.33333333333333,-1.36094674556213,-1.25166444740346,-0.100502512562812,0.641025641025639,0.21,0.35,0.00,0.00,0.22,0.50,0.00,0.13,0.05,0.00,0.00,0.53,0.30,0.19,16,0.16,1,0
16,21,110,12,747,476,31,36,13,0,11,35,39,0,0,15,0,4,6,10,-1.02608695652174,0.307692307692308,1.20315581854043,-1.51797603195739,0.552763819095479,0.641025641025639,0.31,0.45,0.13,0.00,0.11,0.35,0.39,0.00,0.00,0.15,0.00,0.04,0.06,0.10,14,0.14,0,0
27,22,104,19,756,486,44,39,0,7,11,33,17,9,39,17,0,0,3,12,0.886956521739131,0.564102564102564,0.0197238658777109,-0.585885486018642,0.100502512562816,-0.64102564102565,0.44,0.49,0.00,0.07,0.11,0.33,0.17,0.09,0.39,0.17,0.00,0.00,0.03,0.12,15,0.15,0,0
26,22,110,10,736,483,16,38,15,47,34,27,65,46,0,51,0,57,62,48,0.71304347826087,0.564102564102564,1.20315581854043,-1.78428761651132,1.10552763819095,-0.256410256410262,0.16,0.48,0.15,0.47,0.34,0.27,0.65,0.46,0.00,0.51,0.00,0.57,0.62,0.48,20,0.20,1,0
14,23,95,17,766,488,36,24,0,0,46,47,0,9,0,15,0,39,0,6,-1.37391304347826,0.82051282051282,-1.75542406311637,-0.85219707057257,-0.402010050251257,-0.897435897435901,0.36,0.30,0.00,0.00,0.46,0.47,0.00,0.09,0.00,0.15,0.00,0.39,0.00,0.06,15,0.15,0,0
25,19,108,29,748,485,44,44,0,19,0,24,64,0,0,2,69,55,35,69,0.539130434782609,-0.205128205128205,0.808678500986192,0.745672436750999,0.502512562814069,-0.512820512820513,0.44,0.55,0.00,0.19,0.00,0.24,0.64,0.00,0.00,0.02,0.69,0.55,0.35,0.69,16,0.16,1,0
20,14,108,18,748,492,47,38,29,0,13,0,5,0,19,42,17,7,5,60,-0.330434782608695,-1.48717948717949,0.808678500986192,-0.719041278295606,0.502512562814069,-1.41025641025641,0.47,0.48,0.29,0.00,0.13,0.00,0.05,0.00,0.19,0.42,0.17,0.07,0.05,0.60,16,0.16,1,0
35,18,97,31,778,478,39,39,0,27,17,12,23,28,37,38,32,64,21,6,2.27826086956522,-0.461538461538462,-1.36094674556213,1.01198402130493,-1.00502512562814,0.384615384615376,0.39,0.49,0.00,0.27,0.17,0.12,0.23,0.28,0.37,0.38,0.32,0.64,0.21,0.06,17,0.17,1,0
21,20,91,27,780,485,21,27,0,13,12,31,0,2,47,16,3,0,0,28,-0.156521739130435,0.0512820512820511,-2.54437869822485,0.479360852197071,-1.10552763819095,-0.512820512820513,0.21,0.34,0.00,0.13,0.12,0.31,0.00,0.02,0.47,0.16,0.03,0.00,0.00,0.28,12,0.12,0,0
24,17,104,17,760,492,35,32,26,8,0,12,2,4,0,0,0,67,0,0,0.365217391304348,-0.717948717948718,0.0197238658777109,-0.85219707057257,-0.100502512562812,-1.41025641025641,0.35,0.40,0.26,0.08,0.00,0.12,0.02,0.04,0.00,0.00,0.00,0.67,0.00,0.00,11,0.11,0,0
21,17,105,26,798,489,29,37,57,0,41,9,69,7,69,0,44,51,69,0,-0.156521739130435,-0.717948717948718,0.216962524654831,0.346205059920107,-2.01005025125628,-1.02564102564103,0.29,0.46,0.57,0.00,0.41,0.09,0.69,0.07,0.69,0.00,0.44,0.51,0.69,0.00,18,0.18,1,0
14,22,100,19,744,475,36,32,0,39,0,26,59,0,28,52,17,61,14,0,-1.37391304347826,0.564102564102564,-0.76923076923077,-0.585885486018642,0.703517587939697,0.769230769230764,0.36,0.40,0.00,0.39,0.00,0.26,0.59,0.00,0.28,0.52,0.17,0.61,0.14,0.00,13,0.13,0,0
12,14,102,25,760,486,47,31,18,8,0,0,0,23,28,48,9,33,10,0,-1.72173913043478,-1.48717948717949,-0.37475345167653,0.213049267643143,-0.100502512562812,-0.64102564102565,0.47,0.39,0.18,0.08,0.00,0.00,0.00,0.23,0.28,0.48,0.09,0.33,0.10,0.00,12,0.12,0,0
18,15,112,23,735,478,46,40,0,11,13,0,2,6,19,22,0,0,1,0,-0.678260869565217,-1.23076923076923,1.59763313609467,-0.0532623169107854,1.15577889447236,0.384615384615376,0.46,0.50,0.00,0.11,0.13,0.00,0.02,0.06,0.19,0.22,0.00,0.00,0.01,0.00,14,0.14,0,0
27,21,110,34,733,463,45,53,45,6,32,19,40,0,44,32,36,5,17,48,0.886956521739131,0.307692307692308,1.20315581854043,1.41145139813582,1.25628140703518,2.3076923076923,0.45,0.66,0.45,0.06,0.32,0.19,0.40,0.00,0.44,0.32,0.36,0.05,0.17,0.48,35,0.35,2,0
19,20,107,12,756,489,29,36,68,57,36,16,69,35,0,65,0,0,49,19,-0.504347826086956,0.0512820512820511,0.611439842209072,-1.51797603195739,0.100502512562816,-1.02564102564103,0.29,0.45,0.68,0.57,0.36,0.16,0.69,0.35,0.00,0.65,0.00,0.00,0.49,0.19,18,0.18,1,0
20,14,110,31,759,484,20,36,11,0,10,0,27,40,37,14,22,32,23,0,-0.330434782608695,-1.48717948717949,1.20315581854043,1.01198402130493,-0.050251256281406,-0.384615384615388,0.20,0.45,0.11,0.00,0.10,0.00,0.27,0.40,0.37,0.14,0.22,0.32,0.23,0.00,13,0.13,0,0
20,16,107,25,757,495,42,39,61,19,26,10,26,6,53,41,12,18,0,0,-0.330434782608695,-0.974358974358975,0.611439842209072,0.213049267643143,0.050251256281406,-1.7948717948718,0.42,0.49,0.61,0.19,0.26,0.10,0.26,0.06,0.53,0.41,0.12,0.18,0.00,0.00,17,0.17,1,0
23,20,104,31,760,472,48,52,69,50,69,36,27,69,37,23,69,69,59,69,0.191304347826087,0.0512820512820511,0.0197238658777109,1.01198402130493,-0.100502512562812,1.15384615384615,0.48,0.65,0.69,0.50,0.69,0.36,0.27,0.69,0.37,0.23,0.69,0.69,0.59,0.69,65,0.65,3,1
19,27,102,23,762,478,42,39,0,58,39,50,54,25,9,52,8,51,7,36,-0.504347826086956,1.84615384615385,-0.37475345167653,-0.0532623169107854,-0.201005025125628,0.384615384615376,0.42,0.49,0.00,0.58,0.39,0.50,0.54,0.25,0.09,0.52,0.08,0.51,0.07,0.36,19,0.19,1,0
30,22,107,23,748,481,54,50,41,0,32,31,38,63,0,8,69,28,5,0,1.40869565217391,0.564102564102564,0.611439842209072,-0.0532623169107854,0.502512562814069,0,0.54,0.63,0.41,0.00,0.32,0.31,0.38,0.63,0.00,0.08,0.69,0.28,0.05,0.00,31,0.31,2,0
20,19,108,29,747,487,24,37,1,0,0,11,23,0,2,30,2,0,31,0,-0.330434782608695,-0.205128205128205,0.808678500986192,0.745672436750999,0.552763819095479,-0.769230769230776,0.24,0.46,0.01,0.00,0.00,0.11,0.23,0.00,0.02,0.30,0.02,0.00,0.31,0.00,10,0.10,0,0
11,16,102,23,757,488,13,22,0,0,0,5,42,0,9,23,39,21,2,23,-1.89565217391304,-0.974358974358975,-0.37475345167653,-0.0532623169107854,0.050251256281406,-0.897435897435901,0.13,0.28,0.00,0.00,0.00,0.05,0.42,0.00,0.09,0.23,0.39,0.21,0.02,0.23,8,0.08,0,0
20,20,101,8,754,493,30,29,0,32,51,28,61,59,0,45,8,3,19,69,-0.330434782608695,0.0512820512820511,-0.57199211045365,-2.05059920106525,0.201005025125628,-1.53846153846154,0.30,0.36,0.00,0.32,0.51,0.28,0.61,0.59,0.00,0.45,0.08,0.03,0.19,0.69,17,0.17,1,0
20,19,108,31,757,473,34,47,55,26,53,13,66,31,16,25,69,69,60,30,-0.330434782608695,-0.205128205128205,0.808678500986192,1.01198402130493,0.050251256281406,1.02564102564102,0.34,0.59,0.55,0.26,0.53,0.13,0.66,0.31,0.16,0.25,0.69,0.69,0.60,0.30,35,0.35,2,0
27,25,100,20,795,491,30,33,0,15,1,59,0,46,30,69,40,37,48,0,0.886956521739131,1.33333333333333,-0.76923076923077,-0.452729693741678,-1.85929648241206,-1.28205128205129,0.30,0.41,0.00,0.15,0.01,0.59,0.00,0.46,0.30,0.69,0.40,0.37,0.48,0.00,17,0.17,1,0
16,20,106,27,786,489,35,36,31,11,0,25,0,0,31,11,8,45,19,0,-1.02608695652174,0.0512820512820511,0.414201183431952,0.479360852197071,-1.4070351758794,-1.02564102564103,0.35,0.45,0.31,0.11,0.00,0.25,0.00,0.00,0.31,0.11,0.08,0.45,0.19,0.00,16,0.16,1,0
21,19,107,19,736,482,31,38,0,52,24,18,17,58,13,18,0,15,24,38,-0.156521739130435,-0.205128205128205,0.611439842209072,-0.585885486018642,1.10552763819095,-0.128205128205137,0.31,0.48,0.00,0.52,0.24,0.18,0.17,0.58,0.13,0.18,0.00,0.15,0.24,0.38,17,0.17,1,0
27,23,104,21,778,472,31,39,19,0,9,48,6,31,10,50,53,69,8,21,0.886956521739131,0.82051282051282,0.0197238658777109,-0.319573901464714,-1.00502512562814,1.15384615384615,0.31,0.49,0.19,0.00,0.09,0.48,0.06,0.31,0.10,0.50,0.53,0.69,0.08,0.21,18,0.18,1,0
27,26,103,38,710,469,49,52,14,9,12,45,34,9,34,30,47,14,24,69,0.886956521739131,1.58974358974359,-0.177514792899409,1.94407456724368,2.41206030150754,1.53846153846153,0.49,0.65,0.14,0.09,0.12,0.45,0.34,0.09,0.34,0.30,0.47,0.14,0.24,0.69,25,0.25,1,0
14,22,113,37,760,485,59,52,26,50,4,17,58,8,53,4,51,56,0,54,-1.37391304347826,0.564102564102564,1.79487179487179,1.81091877496671,-0.100502512562812,-0.512820512820513,0.59,0.65,0.26,0.50,0.04,0.17,0.58,0.08,0.53,0.04,0.51,0.56,0.00,0.54,31,0.31,2,0
24,23,100,27,760,483,44,39,0,61,22,33,27,12,47,11,45,23,0,20,0.365217391304348,0.82051282051282,-0.76923076923077,0.479360852197071,-0.100502512562812,-0.256410256410262,0.44,0.49,0.00,0.61,0.22,0.33,0.27,0.12,0.47,0.11,0.45,0.23,0.00,0.20,14,0.14,0,0
32,33,101,40,744,482,34,49,0,25,64,54,55,6,69,60,45,57,16,30,1.75652173913044,3.38461538461538,-0.57199211045365,2.2103861517976,0.703517587939697,-0.128205128205137,0.34,0.61,0.00,0.25,0.64,0.54,0.55,0.06,0.69,0.60,0.45,0.57,0.16,0.30,35,0.35,2,0
26,20,103,15,786,478,53,39,37,0,0,35,44,5,32,13,0,61,0,16,0.71304347826087,0.0512820512820511,-0.177514792899409,-1.1185086551265,-1.4070351758794,0.384615384615376,0.53,0.49,0.37,0.00,0.00,0.35,0.44,0.05,0.32,0.13,0.00,0.61,0.00,0.16,20,0.20,1,0
20,20,104,10,802,495,33,28,10,52,0,32,30,0,1,44,0,0,69,11,-0.330434782608695,0.0512820512820511,0.0197238658777109,-1.78428761651132,-2.21105527638191,-1.7948717948718,0.33,0.35,0.10,0.52,0.00,0.32,0.30,0.00,0.01,0.44,0.00,0.00,0.69,0.11,12,0.12,0,0
15,14,104,23,760,475,53,33,0,0,11,0,11,0,0,0,19,35,1,10,-1.2,-1.48717948717949,0.0197238658777109,-0.0532623169107854,-0.100502512562812,0.769230769230764,0.53,0.41,0.00,0.00,0.11,0.00,0.11,0.00,0.00,0.00,0.19,0.35,0.01,0.10,12,0.12,0,0
15,15,100,25,772,481,23,26,0,0,21,1,24,6,33,25,3,18,53,0,-1.2,-1.23076923076923,-0.76923076923077,0.213049267643143,-0.703517587939697,0,0.23,0.33,0.00,0.00,0.21,0.01,0.24,0.06,0.33,0.25,0.03,0.18,0.53,0.00,11,0.11,0,0
16,16,97,19,783,486,33,23,10,52,17,4,0,7,0,64,19,0,43,12,-1.02608695652174,-0.974358974358975,-1.36094674556213,-0.585885486018642,-1.25628140703518,-0.64102564102565,0.33,0.29,0.10,0.52,0.17,0.04,0.00,0.07,0.00,0.64,0.19,0.00,0.43,0.12,12,0.12,0,0
20,20,105,25,777,488,53,39,9,29,0,23,7,4,8,16,16,0,1,0,-0.330434782608695,0.0512820512820511,0.216962524654831,0.213049267643143,-0.954773869346731,-0.897435897435901,0.53,0.49,0.09,0.29,0.00,0.23,0.07,0.04,0.08,0.16,0.16,0.00,0.01,0.00,14,0.14,0,0
24,14,103,23,769,480,35,37,14,62,6,0,69,20,42,58,32,66,44,38,0.365217391304348,-1.48717948717949,-0.177514792899409,-0.0532623169107854,-0.552763819095479,0.128205128205125,0.35,0.46,0.14,0.62,0.06,0.00,0.69,0.20,0.42,0.58,0.32,0.66,0.44,0.38,15,0.15,0,0
