Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Blocking,Pass_Blocking,Blocking_Strength,Avoid_Drops,Get_Downfield,Route_Running,Third_Down_Receiving,Big_Play_Receiving,Courage,Adjust_to_Ball,Endurance,Special_Teams,Long_Snapping,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_BlockingZ,Pass_BlockingZ,Blocking_StrengthZ,Avoid_DropsZ,Get_DownfieldZ,Route_RunningZ,Third_Down_ReceivingZ,Big_Play_ReceivingZ,CourageZ,Adjust_to_BallZ,EnduranceZ,Special_TeamsZ,Long_SnappingZ,PeakCur,PeakCurZ,Ability,Draftable
16,18,110,40,775,478,24,36,58,39,0,21,32,0,10,18,38,35,30,0,0,-1.071953010279,-0.592417061611374,1.04633781763827,1.13851992409867,0.558659217877095,0.618556701030924,0.24,0.45,0.58,0.39,0.00,0.21,0.32,0.00,0.10,0.18,0.38,0.35,0.30,0.00,0.00,13,0.13,0,0
21,23,105,37,775,492,46,44,49,69,44,33,55,12,56,0,69,22,22,17,0,-0.337738619676946,0.592417061611374,0.298953662182362,0.853889943074004,0.558659217877095,-0.824742268041238,0.46,0.55,0.49,0.69,0.44,0.33,0.55,0.12,0.56,0.00,0.69,0.22,0.22,0.17,0.00,49,0.49,2,1
12,15,96,10,850,500,26,20,0,0,0,0,0,0,0,0,0,0,0,0,54,-1.65932452276065,-1.30331753554502,-1.04633781763827,-1.70777988614801,-1.53631284916201,-1.64948453608248,0.26,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,15,0.15,0,0
26,16,108,14,775,478,44,40,8,0,0,0,12,57,51,26,68,4,0,43,0,0.39647577092511,-1.06635071090047,0.747384155455904,-1.32827324478178,0.558659217877095,0.618556701030924,0.44,0.50,0.08,0.00,0.00,0.00,0.12,0.57,0.51,0.26,0.68,0.04,0.00,0.43,0.00,16,0.16,1,0
23,18,95,18,755,477,31,29,0,29,1,0,60,0,7,10,50,0,11,13,0,-0.0440528634361235,-0.592417061611374,-1.19581464872945,-0.94876660341556,1.11731843575419,0.721649484536085,0.31,0.36,0.00,0.29,0.01,0.00,0.60,0.00,0.07,0.10,0.50,0.00,0.11,0.13,0.00,13,0.13,0,0
26,23,108,23,824,479,38,41,29,38,24,0,1,10,50,28,1,24,39,36,0,0.39647577092511,0.592417061611374,0.747384155455904,-0.47438330170778,-0.810055865921788,0.515463917525771,0.38,0.51,0.29,0.38,0.24,0.00,0.01,0.10,0.50,0.28,0.01,0.24,0.39,0.36,0.00,19,0.19,1,0
21,16,95,9,844,500,49,21,0,0,0,0,0,0,0,0,0,0,0,0,41,-0.337738619676946,-1.06635071090047,-1.19581464872945,-1.80265654648956,-1.36871508379888,-1.64948453608248,0.49,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,11,0.11,0,0
14,15,96,7,850,497,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.36563876651982,-1.30331753554502,-1.04633781763827,-1.99240986717268,-1.53631284916201,-1.34020618556701,0.14,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0
30,22,108,27,826,487,53,43,62,27,20,22,0,42,38,11,0,49,22,26,0,0.983847283406755,0.355450236966825,0.747384155455904,-0.094876660341556,-0.865921787709496,-0.309278350515466,0.53,0.54,0.62,0.27,0.20,0.22,0.00,0.42,0.38,0.11,0.00,0.49,0.22,0.26,0.00,18,0.18,1,0
37,26,101,35,820,478,42,40,3,3,25,9,0,15,0,29,7,19,4,0,0,2.01174743024963,1.30331753554502,-0.298953662182362,0.664136622390892,-0.698324022346366,0.618556701030924,0.42,0.50,0.03,0.03,0.25,0.09,0.00,0.15,0.00,0.29,0.07,0.19,0.04,0.00,0.00,12,0.12,0,0
14,22,106,10,838,491,49,33,51,15,30,22,17,28,69,17,32,0,56,22,0,-1.36563876651982,0.355450236966825,0.448430493273543,-1.70777988614801,-1.20111731843576,-0.721649484536085,0.49,0.41,0.51,0.15,0.30,0.22,0.17,0.28,0.69,0.17,0.32,0.00,0.56,0.22,0.00,26,0.26,1,0
19,26,106,26,841,478,32,35,11,30,32,9,0,0,44,30,56,69,62,0,0,-0.631424375917768,1.30331753554502,0.448430493273543,-0.189753320683112,-1.28491620111732,0.618556701030924,0.32,0.44,0.11,0.30,0.32,0.09,0.00,0.00,0.44,0.30,0.56,0.69,0.62,0.00,0.00,14,0.14,0,0
11,22,97,35,793,492,36,25,0,23,25,16,0,0,0,0,0,10,0,0,0,-1.80616740088106,0.355450236966825,-0.896860986547085,0.664136622390892,0.0558659217877108,-0.824742268041238,0.36,0.31,0.00,0.23,0.25,0.16,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,10,0.10,0,0
23,18,99,35,805,487,52,33,0,14,11,4,0,22,2,14,14,26,50,0,0,-0.0440528634361235,-0.592417061611374,-0.597907324364723,0.664136622390892,-0.279329608938549,-0.309278350515466,0.52,0.41,0.00,0.14,0.11,0.04,0.00,0.22,0.02,0.14,0.14,0.26,0.50,0.00,0.00,16,0.16,1,0
11,15,90,10,849,500,45,26,0,0,0,0,0,0,0,0,0,0,0,0,16,-1.80616740088106,-1.30331753554502,-1.94319880418535,-1.70777988614801,-1.50837988826816,-1.64948453608248,0.45,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,5,0.05,0,0
30,16,106,40,781,485,53,41,10,0,0,37,19,14,14,2,33,24,16,51,0,0.983847283406755,-1.06635071090047,0.448430493273543,1.13851992409867,0.391061452513968,-0.103092783505152,0.53,0.51,0.10,0.00,0.00,0.37,0.19,0.14,0.14,0.02,0.33,0.24,0.16,0.51,0.00,16,0.16,1,0
14,25,108,20,769,478,26,33,7,29,39,0,4,0,23,8,27,2,0,0,0,-1.36563876651982,1.06635071090047,0.747384155455904,-0.759013282732448,0.726256983240223,0.618556701030924,0.26,0.41,0.07,0.29,0.39,0.00,0.04,0.00,0.23,0.08,0.27,0.02,0.00,0.00,0.00,16,0.16,1,0
30,21,106,33,791,477,50,47,46,7,17,0,45,59,12,36,13,23,45,53,0,0.983847283406755,0.118483412322275,0.448430493273543,0.47438330170778,0.111731843575419,0.721649484536085,0.50,0.59,0.46,0.07,0.17,0.00,0.45,0.59,0.12,0.36,0.13,0.23,0.45,0.53,0.00,30,0.30,1,0
34,18,116,39,814,478,44,47,43,53,0,51,0,28,16,22,0,6,10,55,0,1.5712187958884,-0.592417061611374,1.94319880418535,1.04364326375712,-0.530726256983241,0.618556701030924,0.44,0.59,0.43,0.53,0.00,0.51,0.00,0.28,0.16,0.22,0.00,0.06,0.10,0.55,0.00,28,0.28,1,0
15,19,99,17,843,495,20,17,0,32,16,15,0,0,15,0,33,0,46,18,0,-1.21879588839941,-0.355450236966825,-0.597907324364723,-1.04364326375712,-1.34078212290503,-1.1340206185567,0.20,0.21,0.00,0.32,0.16,0.15,0.00,0.00,0.15,0.00,0.33,0.00,0.46,0.18,0.00,8,0.08,0,0
19,15,94,7,850,500,55,29,0,0,0,0,0,0,0,0,0,0,0,0,69,-0.631424375917768,-1.30331753554502,-1.34529147982063,-1.99240986717268,-1.53631284916201,-1.64948453608248,0.55,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,20,0.20,1,0
21,15,108,34,828,496,30,29,25,39,0,21,0,1,8,2,0,30,0,0,0,-0.337738619676946,-1.30331753554502,0.747384155455904,0.569259962049336,-0.921787709497204,-1.23711340206186,0.30,0.36,0.25,0.39,0.00,0.21,0.00,0.01,0.08,0.02,0.00,0.30,0.00,0.00,0.00,11,0.11,0,0
21,23,104,35,775,489,34,36,13,7,47,22,7,22,13,16,0,17,0,0,0,-0.337738619676946,0.592417061611374,0.149476831091181,0.664136622390892,0.558659217877095,-0.515463917525771,0.34,0.45,0.13,0.07,0.47,0.22,0.07,0.22,0.13,0.16,0.00,0.17,0.00,0.00,0.00,17,0.17,1,0
17,15,94,8,850,500,43,25,0,0,0,0,0,0,0,0,0,0,0,0,69,-0.925110132158591,-1.30331753554502,-1.34529147982063,-1.89753320683112,-1.53631284916201,-1.64948453608248,0.43,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,21,0.21,1,0
20,20,99,41,770,478,26,33,0,18,7,21,40,7,35,21,45,37,40,0,0,-0.484581497797357,-0.118483412322275,-0.597907324364723,1.23339658444023,0.698324022346369,0.618556701030924,0.26,0.41,0.00,0.18,0.07,0.21,0.40,0.07,0.35,0.21,0.45,0.37,0.40,0.00,0.00,14,0.14,0,0
