Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Breakaway_Speed,Power_Inside,Third_Down_Runs,Hole_Recognition,Elusiveness,Speed_Outside,Blitz_Pickup,Avoid_Drops,Get_Downfield,Route_Running,Third_Down_Receiving,Punt_Returns,Kick_Returns,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Breakaway_SpeedZ,Power_InsideZ,Third_Down_RunsZ,Hole_RecognitionZ,ElusivenessZ,Speed_OutsideZ,Blitz_PickupZ,Avoid_DropsZ,Get_DownfieldZ,Route_RunningZ,Third_Down_ReceivingZ,Punt_ReturnsZ,Kick_ReturnsZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
18,9,118,18,735,461,53,45,60,5,27,0,46,14,66,56,46,25,76,0,0,34,10,-0.418604651162791,-1.48255813953488,0.525291828793775,0.0952380952380955,0,0.645161290322576,0.53,0.56,0.60,0.05,0.27,0.00,0.46,0.14,0.66,0.56,0.46,0.25,0.76,0.00,0.00,0.34,0.10,22,0.22,1,0
19,10,117,17,732,478,32,35,0,2,16,34,55,23,13,5,0,20,5,2,0,14,1,-0.263565891472868,-1.19186046511628,0.330739299610895,-0.0634920634920633,0.198675496688737,-1.18279569892473,0.32,0.44,0.00,0.02,0.16,0.34,0.55,0.23,0.13,0.05,0.00,0.20,0.05,0.02,0.00,0.14,0.01,16,0.16,1,0
32,13,114,15,735,444,53,48,38,0,1,26,7,53,0,11,1,7,3,0,0,0,4,1.75193798449612,-0.319767441860465,-0.252918287937743,-0.380952380952381,0,2.47311827956989,0.53,0.60,0.38,0.00,0.01,0.26,0.07,0.53,0.00,0.11,0.01,0.07,0.03,0.00,0.00,0.00,0.04,27,0.27,1,0
19,10,104,20,735,465,43,37,53,10,1,42,77,16,59,0,0,40,31,0,0,9,0,-0.263565891472868,-1.19186046511628,-2.19844357976654,0.412698412698413,0,0.215053763440856,0.43,0.46,0.53,0.10,0.01,0.42,0.77,0.16,0.59,0.00,0.00,0.40,0.31,0.00,0.00,0.09,0.00,38,0.38,2,0
21,9,115,18,749,464,34,34,37,0,2,25,17,12,31,28,21,18,1,18,39,26,34,0.0465116279069769,-1.48255813953488,-0.0583657587548633,0.0952380952380955,-0.927152317880799,0.322580645161293,0.34,0.43,0.37,0.00,0.02,0.25,0.17,0.12,0.31,0.28,0.21,0.18,0.01,0.18,0.39,0.26,0.34,22,0.22,1,0
18,11,110,8,763,485,36,25,0,13,0,0,31,12,12,14,5,6,0,0,0,11,4,-0.418604651162791,-0.901162790697674,-1.03112840466926,-1.49206349206349,-1.85430463576159,-1.93548387096774,0.36,0.31,0.00,0.13,0.00,0.00,0.31,0.12,0.12,0.14,0.05,0.06,0.00,0.00,0.00,0.11,0.04,10,0.10,0,0
16,17,109,19,735,465,72,41,22,45,0,8,35,10,17,11,6,17,0,0,0,10,15,-0.728682170542636,0.843023255813954,-1.22568093385214,0.253968253968254,0,0.215053763440856,0.72,0.51,0.22,0.45,0.00,0.08,0.35,0.10,0.17,0.11,0.06,0.17,0.00,0.00,0.00,0.10,0.15,22,0.22,1,0
18,14,118,15,754,465,60,41,22,17,14,0,0,14,5,38,0,18,4,0,0,32,7,-0.418604651162791,-0.0290697674418604,0.525291828793775,-0.380952380952381,-1.25827814569537,0.215053763440856,0.60,0.51,0.22,0.17,0.14,0.00,0.00,0.14,0.05,0.38,0.00,0.18,0.04,0.00,0.00,0.32,0.07,19,0.19,1,0
17,19,116,27,731,462,40,41,33,60,39,0,19,3,50,11,0,53,39,0,0,2,1,-0.573643410852713,1.42441860465116,0.136186770428016,1.52380952380952,0.264900662251656,0.537634408602149,0.40,0.51,0.33,0.60,0.39,0.00,0.19,0.03,0.50,0.11,0.00,0.53,0.39,0.00,0.00,0.02,0.01,15,0.15,0,0
21,16,108,19,741,470,50,40,17,35,0,15,64,9,0,24,0,51,40,0,0,9,21,0.0465116279069769,0.552325581395349,-1.42023346303502,0.253968253968254,-0.397350993377487,-0.322580645161293,0.50,0.50,0.17,0.35,0.00,0.15,0.64,0.09,0.00,0.24,0.00,0.51,0.40,0.00,0.00,0.09,0.21,19,0.19,1,0
20,9,113,15,728,474,37,33,6,0,14,0,63,0,0,27,15,29,13,0,0,4,37,-0.108527131782946,-1.48255813953488,-0.447470817120622,-0.380952380952381,0.463576158940393,-0.752688172043014,0.37,0.41,0.06,0.00,0.14,0.00,0.63,0.00,0.00,0.27,0.15,0.29,0.13,0.00,0.00,0.04,0.37,12,0.12,0,0
14,18,114,18,718,466,45,38,15,42,28,0,65,14,16,4,26,36,54,0,0,0,35,-1.03875968992248,1.13372093023256,-0.252918287937743,0.0952380952380955,1.12582781456954,0.107526881720428,0.45,0.48,0.15,0.42,0.28,0.00,0.65,0.14,0.16,0.04,0.26,0.36,0.54,0.00,0.00,0.00,0.35,17,0.17,1,0
18,12,115,8,735,480,33,35,20,22,58,56,51,0,0,40,0,14,6,0,0,13,3,-0.418604651162791,-0.61046511627907,-0.0583657587548633,-1.49206349206349,0,-1.39784946236559,0.33,0.44,0.20,0.22,0.58,0.56,0.51,0.00,0.00,0.40,0.00,0.14,0.06,0.00,0.00,0.13,0.03,28,0.28,1,0
14,14,111,14,736,481,42,30,13,14,15,8,44,0,12,30,19,12,8,0,0,10,5,-1.03875968992248,-0.0290697674418604,-0.836575875486381,-0.539682539682539,-0.0662251655629184,-1.50537634408602,0.42,0.38,0.13,0.14,0.15,0.08,0.44,0.00,0.12,0.30,0.19,0.12,0.08,0.00,0.00,0.10,0.05,12,0.12,0,0
20,12,111,18,735,469,36,36,17,10,0,24,62,16,31,18,4,21,23,0,14,43,16,-0.108527131782946,-0.61046511627907,-0.836575875486381,0.0952380952380955,0,-0.215053763440865,0.36,0.45,0.17,0.10,0.00,0.24,0.62,0.16,0.31,0.18,0.04,0.21,0.23,0.00,0.14,0.43,0.16,21,0.21,1,0
14,15,114,16,744,476,35,30,8,26,24,4,13,20,21,19,18,6,38,0,0,0,7,-1.03875968992248,0.261627906976744,-0.252918287937743,-0.222222222222222,-0.59602649006623,-0.967741935483869,0.35,0.38,0.08,0.26,0.24,0.04,0.13,0.20,0.21,0.19,0.18,0.06,0.38,0.00,0.00,0.00,0.07,12,0.12,0,0
31,10,120,21,714,469,62,58,0,0,55,72,77,49,52,3,28,20,44,0,0,32,17,1.5968992248062,-1.19186046511628,0.914396887159534,0.571428571428572,1.39072847682119,-0.215053763440865,0.62,0.73,0.00,0.00,0.55,0.72,0.77,0.49,0.52,0.03,0.28,0.20,0.44,0.00,0.00,0.32,0.17,37,0.37,2,0
10,11,110,19,731,467,50,31,18,8,20,14,0,32,49,13,17,0,18,0,0,1,3,-1.65891472868217,-0.901162790697674,-1.03112840466926,0.253968253968254,0.264900662251656,0,0.50,0.39,0.18,0.08,0.20,0.14,0.00,0.32,0.49,0.13,0.17,0.00,0.18,0.00,0.00,0.01,0.03,17,0.17,1,0
31,10,117,28,714,449,66,63,67,5,52,60,67,34,55,71,43,70,42,0,0,56,65,1.5968992248062,-1.19186046511628,0.330739299610895,1.68253968253968,1.39072847682119,1.93548387096774,0.66,0.79,0.67,0.05,0.52,0.60,0.67,0.34,0.55,0.71,0.43,0.70,0.42,0.00,0.00,0.56,0.65,47,0.47,2,1
23,18,123,28,717,465,44,51,22,31,23,35,11,18,43,28,27,67,0,0,0,29,30,0.356589147286822,1.13372093023256,1.49805447470817,1.68253968253968,1.19205298013245,0.215053763440856,0.44,0.64,0.22,0.31,0.23,0.35,0.11,0.18,0.43,0.28,0.27,0.67,0.00,0.00,0.00,0.29,0.30,35,0.35,2,0
20,15,107,7,735,469,56,36,15,25,0,7,62,23,11,0,18,0,7,0,0,2,4,-0.108527131782946,0.261627906976744,-1.6147859922179,-1.65079365079365,0,-0.215053763440865,0.56,0.45,0.15,0.25,0.00,0.07,0.62,0.23,0.11,0.00,0.18,0.00,0.07,0.00,0.00,0.02,0.04,19,0.19,1,0
21,19,130,26,712,437,27,55,62,41,41,19,27,65,27,53,44,37,46,0,0,67,77,0.0465116279069769,1.42441860465116,2.85992217898833,1.36507936507937,1.52317880794702,3.2258064516129,0.27,0.69,0.62,0.41,0.41,0.19,0.27,0.65,0.27,0.53,0.44,0.37,0.46,0.00,0.00,0.67,0.77,59,0.59,3,1
35,17,111,28,714,460,37,50,16,23,30,33,43,34,28,0,0,31,20,18,0,0,19,2.21705426356589,0.843023255813954,-0.836575875486381,1.68253968253968,1.39072847682119,0.752688172043014,0.37,0.63,0.16,0.23,0.30,0.33,0.43,0.34,0.28,0.00,0.00,0.31,0.20,0.18,0.00,0.00,0.19,26,0.26,1,0
18,12,106,22,735,465,42,36,23,19,8,32,11,35,5,41,16,22,54,0,0,0,34,-0.418604651162791,-0.61046511627907,-1.80933852140078,0.73015873015873,0,0.215053763440856,0.42,0.45,0.23,0.19,0.08,0.32,0.11,0.35,0.05,0.41,0.16,0.22,0.54,0.00,0.00,0.00,0.34,23,0.23,1,0
14,11,119,6,722,463,49,37,31,4,23,11,64,32,0,24,38,0,43,0,0,23,11,-1.03875968992248,-0.901162790697674,0.719844357976654,-1.80952380952381,0.86092715231788,0.430107526881721,0.49,0.46,0.31,0.04,0.23,0.11,0.64,0.32,0.00,0.24,0.38,0.00,0.43,0.00,0.00,0.23,0.11,23,0.23,1,0
18,10,102,13,735,465,41,33,51,6,1,0,72,27,38,4,16,0,0,0,0,2,7,-0.418604651162791,-1.19186046511628,-2.5875486381323,-0.698412698412698,0,0.215053763440856,0.41,0.41,0.51,0.06,0.01,0.00,0.72,0.27,0.38,0.04,0.16,0.00,0.00,0.00,0.00,0.02,0.07,14,0.14,0,0
18,11,108,12,768,478,60,31,12,6,0,6,4,0,0,0,3,11,8,0,0,0,4,-0.418604651162791,-0.901162790697674,-1.42023346303502,-0.857142857142857,-2.18543046357616,-1.18279569892473,0.60,0.39,0.12,0.06,0.00,0.06,0.04,0.00,0.00,0.00,0.03,0.11,0.08,0.00,0.00,0.00,0.04,12,0.12,0,0
18,9,107,17,734,485,52,34,0,0,0,38,63,0,14,10,16,24,0,0,0,1,0,-0.418604651162791,-1.48255813953488,-1.6147859922179,-0.0634920634920633,0.0662251655629125,-1.93548387096774,0.52,0.43,0.00,0.00,0.00,0.38,0.63,0.00,0.14,0.10,0.16,0.24,0.00,0.00,0.00,0.01,0.00,19,0.19,1,0
25,16,117,11,735,457,37,44,55,38,33,18,25,0,1,12,18,16,25,0,0,40,0,0.666666666666667,0.552325581395349,0.330739299610895,-1.01587301587302,0,1.0752688172043,0.37,0.55,0.55,0.38,0.33,0.18,0.25,0.00,0.01,0.12,0.18,0.16,0.25,0.00,0.00,0.40,0.00,31,0.31,2,0
22,15,110,20,748,465,62,41,20,22,0,23,6,37,1,10,30,12,5,0,0,16,30,0.201550387596899,0.261627906976744,-1.03112840466926,0.412698412698413,-0.860927152317886,0.215053763440856,0.62,0.51,0.20,0.22,0.00,0.23,0.06,0.37,0.01,0.10,0.30,0.12,0.05,0.00,0.00,0.16,0.30,25,0.25,1,0
16,12,124,14,727,479,51,43,0,7,42,17,41,13,20,33,42,32,28,0,51,64,27,-0.728682170542636,-0.61046511627907,1.69260700389105,-0.539682539682539,0.529801324503312,-1.29032258064516,0.51,0.54,0.00,0.07,0.42,0.17,0.41,0.13,0.20,0.33,0.42,0.32,0.28,0.00,0.51,0.64,0.27,20,0.20,1,0
18,12,119,13,730,465,62,47,25,10,59,50,29,13,21,43,4,11,33,0,0,0,49,-0.418604651162791,-0.61046511627907,0.719844357976654,-0.698412698412698,0.331125827814568,0.215053763440856,0.62,0.59,0.25,0.10,0.59,0.50,0.29,0.13,0.21,0.43,0.04,0.11,0.33,0.00,0.00,0.00,0.49,40,0.40,2,1
25,18,119,19,745,484,40,40,0,48,15,30,19,0,6,46,7,44,3,0,11,13,0,0.666666666666667,1.13372093023256,0.719844357976654,0.253968253968254,-0.662251655629143,-1.82795698924731,0.40,0.50,0.00,0.48,0.15,0.30,0.19,0.00,0.06,0.46,0.07,0.44,0.03,0.00,0.11,0.13,0.00,20,0.20,1,0
18,16,116,23,749,478,34,34,11,41,3,13,2,0,22,4,25,50,0,0,0,9,26,-0.418604651162791,0.552325581395349,0.136186770428016,0.888888888888889,-0.927152317880799,-1.18279569892473,0.34,0.43,0.11,0.41,0.03,0.13,0.02,0.00,0.22,0.04,0.25,0.50,0.00,0.00,0.00,0.09,0.26,15,0.15,0,0
16,17,112,7,749,472,39,30,19,36,10,1,0,7,2,12,0,0,0,0,0,8,15,-0.728682170542636,0.843023255813954,-0.642023346303501,-1.65079365079365,-0.927152317880799,-0.537634408602149,0.39,0.38,0.19,0.36,0.10,0.01,0.00,0.07,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.08,0.15,12,0.12,0,0
18,12,118,6,752,478,34,31,21,23,29,0,7,1,3,36,13,0,20,0,0,12,32,-0.418604651162791,-0.61046511627907,0.525291828793775,-1.80952380952381,-1.12582781456954,-1.18279569892473,0.34,0.39,0.21,0.23,0.29,0.00,0.07,0.01,0.03,0.36,0.13,0.00,0.20,0.00,0.00,0.12,0.32,13,0.13,0,0
31,19,127,26,728,443,46,63,75,51,40,77,18,77,45,74,49,29,67,0,57,50,69,1.5968992248062,1.42441860465116,2.27626459143969,1.36507936507937,0.463576158940393,2.58064516129032,0.46,0.79,0.75,0.51,0.40,0.77,0.18,0.77,0.45,0.74,0.49,0.29,0.67,0.00,0.57,0.50,0.69,70,0.70,4,1
15,9,119,5,719,462,66,44,37,0,30,22,77,8,2,31,31,0,0,0,0,41,64,-0.883720930232558,-1.48255813953488,0.719844357976654,-1.96825396825397,1.05960264900662,0.537634408602149,0.66,0.55,0.37,0.00,0.30,0.22,0.77,0.08,0.02,0.31,0.31,0.00,0.00,0.00,0.00,0.41,0.64,32,0.32,2,0
33,19,122,24,727,455,51,62,42,61,34,77,23,77,39,24,44,24,40,0,0,76,35,1.90697674418605,1.42441860465116,1.30350194552529,1.04761904761905,0.529801324503312,1.29032258064516,0.51,0.78,0.42,0.61,0.34,0.77,0.23,0.77,0.39,0.24,0.44,0.24,0.40,0.00,0.00,0.76,0.35,64,0.64,3,1
18,20,118,17,722,453,53,47,54,37,28,8,52,0,14,5,5,18,0,0,0,20,8,-0.418604651162791,1.71511627906977,0.525291828793775,-0.0634920634920633,0.86092715231788,1.50537634408602,0.53,0.59,0.54,0.37,0.28,0.08,0.52,0.00,0.14,0.05,0.05,0.18,0.00,0.00,0.00,0.20,0.08,21,0.21,1,0
18,10,117,20,767,485,52,34,0,19,0,14,22,0,26,9,17,6,39,0,0,51,0,-0.418604651162791,-1.19186046511628,0.330739299610895,0.412698412698413,-2.11920529801325,-1.93548387096774,0.52,0.43,0.00,0.19,0.00,0.14,0.22,0.00,0.26,0.09,0.17,0.06,0.39,0.00,0.00,0.51,0.00,23,0.23,1,0
10,17,120,21,737,470,46,38,20,52,50,18,18,0,25,21,0,26,22,0,0,58,34,-1.65891472868217,0.843023255813954,0.914396887159534,0.571428571428572,-0.132450331125831,-0.322580645161293,0.46,0.48,0.20,0.52,0.50,0.18,0.18,0.00,0.25,0.21,0.00,0.26,0.22,0.00,0.00,0.58,0.34,28,0.28,1,0
18,16,108,14,719,478,33,34,7,37,45,0,57,0,16,46,47,13,21,0,0,0,7,-0.418604651162791,0.552325581395349,-1.42023346303502,-0.539682539682539,1.05960264900662,-1.18279569892473,0.33,0.43,0.07,0.37,0.45,0.00,0.57,0.00,0.16,0.46,0.47,0.13,0.21,0.00,0.00,0.00,0.07,13,0.13,0,0
13,17,106,12,764,465,58,32,35,47,0,13,0,12,0,0,11,21,22,7,0,0,37,-1.1937984496124,0.843023255813954,-1.80933852140078,-0.857142857142857,-1.9205298013245,0.215053763440856,0.58,0.40,0.35,0.47,0.00,0.13,0.00,0.12,0.00,0.00,0.11,0.21,0.22,0.07,0.00,0.00,0.37,20,0.20,1,0
14,10,109,13,758,479,59,31,0,8,53,18,0,22,13,11,5,24,0,0,0,61,56,-1.03875968992248,-1.19186046511628,-1.22568093385214,-0.698412698412698,-1.52317880794702,-1.29032258064516,0.59,0.39,0.00,0.08,0.53,0.18,0.00,0.22,0.13,0.11,0.05,0.24,0.00,0.00,0.00,0.61,0.56,20,0.20,1,0
32,11,121,34,743,474,32,51,0,0,44,69,68,19,69,69,0,64,8,0,0,69,21,1.75193798449612,-0.901162790697674,1.10894941634241,2.63492063492064,-0.529801324503312,-0.752688172043014,0.32,0.64,0.00,0.00,0.44,0.69,0.68,0.19,0.69,0.69,0.00,0.64,0.08,0.00,0.00,0.69,0.21,51,0.51,3,1
20,9,119,13,730,465,34,36,19,0,11,9,4,34,2,10,0,2,0,0,0,27,8,-0.108527131782946,-1.48255813953488,0.719844357976654,-0.698412698412698,0.331125827814568,0.215053763440856,0.34,0.45,0.19,0.00,0.11,0.09,0.04,0.34,0.02,0.10,0.00,0.02,0.00,0.00,0.00,0.27,0.08,22,0.22,1,0
18,17,105,19,750,470,38,35,18,32,0,39,48,3,43,0,45,7,0,0,0,0,0,-0.418604651162791,0.843023255813954,-2.00389105058366,0.253968253968254,-0.993377483443711,-0.322580645161293,0.38,0.44,0.18,0.32,0.00,0.39,0.48,0.03,0.43,0.00,0.45,0.07,0.00,0.00,0.00,0.00,0.00,17,0.17,1,0
18,12,120,18,764,479,57,39,14,18,51,10,0,0,27,19,6,52,3,0,0,10,33,-0.418604651162791,-0.61046511627907,0.914396887159534,0.0952380952380955,-1.9205298013245,-1.29032258064516,0.57,0.49,0.14,0.18,0.51,0.10,0.00,0.00,0.27,0.19,0.06,0.52,0.03,0.00,0.00,0.10,0.33,24,0.24,1,0
13,12,108,18,735,465,59,38,38,20,0,0,69,16,68,28,36,23,69,0,0,68,31,-1.1937984496124,-0.61046511627907,-1.42023346303502,0.0952380952380955,0,0.215053763440856,0.59,0.48,0.38,0.20,0.00,0.00,0.69,0.16,0.68,0.28,0.36,0.23,0.69,0.00,0.00,0.68,0.31,24,0.24,1,0
19,15,111,15,767,465,35,35,17,39,0,43,34,60,9,51,0,26,4,0,0,4,0,-0.263565891472868,0.261627906976744,-0.836575875486381,-0.380952380952381,-2.11920529801325,0.215053763440856,0.35,0.44,0.17,0.39,0.00,0.43,0.34,0.60,0.09,0.51,0.00,0.26,0.04,0.00,0.00,0.04,0.00,21,0.21,1,0
10,11,114,10,744,465,60,33,11,3,30,0,27,33,26,60,59,0,69,0,0,20,15,-1.65891472868217,-0.901162790697674,-0.252918287937743,-1.17460317460317,-0.59602649006623,0.215053763440856,0.60,0.41,0.11,0.03,0.30,0.00,0.27,0.33,0.26,0.60,0.59,0.00,0.69,0.00,0.00,0.20,0.15,13,0.13,0,0
15,15,119,20,729,465,64,49,24,34,66,44,69,20,58,3,69,27,39,0,0,33,69,-0.883720930232558,0.261627906976744,0.719844357976654,0.412698412698413,0.397350993377481,0.215053763440856,0.64,0.61,0.24,0.34,0.66,0.44,0.69,0.20,0.58,0.03,0.69,0.27,0.39,0.00,0.00,0.33,0.69,44,0.44,2,1
27,10,114,8,735,474,37,35,20,2,14,4,36,0,0,0,0,0,8,0,0,20,11,0.976744186046512,-1.19186046511628,-0.252918287937743,-1.49206349206349,0,-0.752688172043014,0.37,0.44,0.20,0.02,0.14,0.04,0.36,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.20,0.11,20,0.20,1,0
21,13,109,20,758,483,56,34,0,13,0,0,0,8,19,29,0,5,4,0,0,0,31,0.0465116279069769,-0.319767441860465,-1.22568093385214,0.412698412698413,-1.52317880794702,-1.72043010752688,0.56,0.43,0.00,0.13,0.00,0.00,0.00,0.08,0.19,0.29,0.00,0.05,0.04,0.00,0.00,0.00,0.31,14,0.14,0,0
13,11,112,17,750,470,45,31,20,0,2,31,0,11,10,24,46,48,0,0,0,44,39,-1.1937984496124,-0.901162790697674,-0.642023346303501,-0.0634920634920633,-0.993377483443711,-0.322580645161293,0.45,0.39,0.20,0.00,0.02,0.31,0.00,0.11,0.10,0.24,0.46,0.48,0.00,0.00,0.00,0.44,0.39,14,0.14,0,0
8,10,116,18,728,474,32,23,0,3,5,0,27,9,18,2,0,39,0,0,0,0,20,-1.96899224806202,-1.19186046511628,0.136186770428016,0.0952380952380955,0.463576158940393,-0.752688172043014,0.32,0.29,0.00,0.03,0.05,0.00,0.27,0.09,0.18,0.02,0.00,0.39,0.00,0.00,0.00,0.00,0.20,13,0.13,0,0
19,9,116,21,730,472,49,39,0,0,8,38,26,37,38,2,18,36,23,0,0,0,2,-0.263565891472868,-1.48255813953488,0.136186770428016,0.571428571428572,0.331125827814568,-0.537634408602149,0.49,0.49,0.00,0.00,0.08,0.38,0.26,0.37,0.38,0.02,0.18,0.36,0.23,0.00,0.00,0.00,0.02,21,0.21,1,0
29,17,109,11,754,460,47,43,20,38,3,3,40,53,5,41,0,61,62,0,0,49,69,1.28682170542636,0.843023255813954,-1.22568093385214,-1.01587301587302,-1.25827814569537,0.752688172043014,0.47,0.54,0.20,0.38,0.03,0.03,0.40,0.53,0.05,0.41,0.00,0.61,0.62,0.00,0.00,0.49,0.69,20,0.20,1,0
13,13,121,21,728,461,27,34,36,10,30,0,30,11,25,28,2,45,1,0,0,18,27,-1.1937984496124,-0.319767441860465,1.10894941634241,0.571428571428572,0.463576158940393,0.645161290322576,0.27,0.43,0.36,0.10,0.30,0.00,0.30,0.11,0.25,0.28,0.02,0.45,0.01,0.00,0.00,0.18,0.27,17,0.17,1,0
35,13,125,17,725,452,48,54,32,6,1,11,32,2,20,0,0,0,30,0,0,33,4,2.21705426356589,-0.319767441860465,1.88715953307393,-0.0634920634920633,0.662251655629137,1.61290322580646,0.48,0.68,0.32,0.06,0.01,0.11,0.32,0.02,0.20,0.00,0.00,0.00,0.30,0.00,0.00,0.33,0.04,34,0.34,2,0
25,13,114,13,739,452,59,48,40,6,5,32,40,38,20,0,1,32,31,0,0,48,0,0.666666666666667,-0.319767441860465,-0.252918287937743,-0.698412698412698,-0.264900662251656,1.61290322580646,0.59,0.60,0.40,0.06,0.05,0.32,0.40,0.38,0.20,0.00,0.01,0.32,0.31,0.00,0.00,0.48,0.00,39,0.39,2,0
16,15,115,7,735,465,61,43,46,15,68,36,37,5,9,18,0,3,69,0,0,51,2,-0.728682170542636,0.261627906976744,-0.0583657587548633,-1.65079365079365,0,0.215053763440856,0.61,0.54,0.46,0.15,0.68,0.36,0.37,0.05,0.09,0.18,0.00,0.03,0.69,0.00,0.00,0.51,0.02,22,0.22,1,0
23,13,120,11,722,458,33,44,40,17,21,6,69,31,0,31,3,24,60,60,0,45,10,0.356589147286822,-0.319767441860465,0.914396887159534,-1.01587301587302,0.86092715231788,0.967741935483869,0.33,0.55,0.40,0.17,0.21,0.06,0.69,0.31,0.00,0.31,0.03,0.24,0.60,0.60,0.00,0.45,0.10,27,0.27,1,0
29,17,114,16,729,466,55,50,15,29,4,6,69,12,0,50,51,26,0,0,0,54,55,1.28682170542636,0.843023255813954,-0.252918287937743,-0.222222222222222,0.397350993377481,0.107526881720428,0.55,0.63,0.15,0.29,0.04,0.06,0.69,0.12,0.00,0.50,0.51,0.26,0.00,0.00,0.00,0.54,0.55,30,0.30,1,0
