Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Defense,Man_to_Man_Defense,Zone_Defense,Bump_and_Run_Defense,Play_Diagnosis,Punishing_Hitter,Intercepting,Punt_Returns,Kick_Returns,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_DefenseZ,Man_to_Man_DefenseZ,Zone_DefenseZ,Bump_and_Run_DefenseZ,Play_DiagnosisZ,Punishing_HitterZ,InterceptingZ,Punt_ReturnsZ,Kick_ReturnsZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
10,12,103,33,733,466,69,37,16,0,16,32,2,10,23,0,0,0,23,-1.76811594202899,0.4296875,-0.965517241379311,-0.212314225053079,-0.348258706467663,-1.39240506329114,0.69,0.46,0.16,0.00,0.16,0.32,0.02,0.10,0.23,0.00,0.00,0.00,0.23,17,0.17,1,0
19,12,106,27,737,472,34,31,43,26,0,57,26,26,40,0,29,0,65,-0.463768115942029,0.4296875,-0.275862068965518,-0.849256900212314,-0.547263681592041,-2.15189873417721,0.34,0.39,0.43,0.26,0.00,0.57,0.26,0.26,0.40,0.00,0.29,0.00,0.65,15,0.15,0,0
15,12,104,30,720,451,39,37,20,12,7,35,6,0,4,0,0,0,0,-1.04347826086956,0.4296875,-0.735632183908047,-0.530785562632696,0.298507462686565,0.506329113924051,0.39,0.46,0.20,0.12,0.07,0.35,0.06,0.00,0.04,0.00,0.00,0.00,0.00,17,0.17,1,0
19,15,117,43,705,442,28,55,56,52,18,19,63,67,39,56,0,55,23,-0.463768115942029,1.6015625,2.25287356321839,0.849256900212314,1.04477611940298,1.64556962025316,0.28,0.69,0.56,0.52,0.18,0.19,0.63,0.67,0.39,0.56,0.00,0.55,0.23,67,0.67,3,1
33,12,103,35,706,468,41,38,65,0,7,4,45,39,62,0,0,16,60,1.56521739130435,0.4296875,-0.965517241379311,0,0.995024875621891,-1.64556962025316,0.41,0.48,0.65,0.00,0.07,0.04,0.45,0.39,0.62,0.00,0.00,0.16,0.60,13,0.13,0,0
27,12,124,28,720,447,55,47,18,42,22,13,41,45,0,44,58,40,40,0.695652173913044,0.4296875,3.86206896551724,-0.743099787685775,0.298507462686565,1.0126582278481,0.55,0.59,0.18,0.42,0.22,0.13,0.41,0.45,0.00,0.44,0.58,0.40,0.40,39,0.39,2,0
28,9,113,24,732,460,57,35,4,6,15,0,15,14,0,0,39,26,12,0.840579710144928,-0.7421875,1.33333333333333,-1.16772823779193,-0.29850746268657,-0.632911392405061,0.57,0.44,0.04,0.06,0.15,0.00,0.15,0.14,0.00,0.00,0.39,0.26,0.12,11,0.11,0,0
29,12,103,18,748,455,52,36,29,25,0,6,27,42,3,0,0,39,0,0.985507246376812,0.4296875,-0.965517241379311,-1.80467091295117,-1.09452736318408,0,0.52,0.45,0.29,0.25,0.00,0.06,0.27,0.42,0.03,0.00,0.00,0.39,0.00,18,0.18,1,0
18,14,118,30,700,455,42,45,51,23,0,47,27,34,36,0,53,16,55,-0.608695652173913,1.2109375,2.48275862068965,-0.530785562632696,1.29353233830846,0,0.42,0.56,0.51,0.23,0.00,0.47,0.27,0.34,0.36,0.00,0.53,0.16,0.55,31,0.31,2,0
24,7,103,33,737,457,60,36,30,31,0,0,22,26,24,0,0,49,0,0.260869565217391,-1.5234375,-0.965517241379311,-0.212314225053079,-0.547263681592041,-0.253164556962031,0.60,0.45,0.30,0.31,0.00,0.00,0.22,0.26,0.24,0.00,0.00,0.49,0.00,14,0.14,0,0
11,9,104,40,727,451,49,36,7,19,0,0,0,31,67,0,0,24,1,-1.6231884057971,-0.7421875,-0.735632183908047,0.530785562632696,-0.0497512437810935,0.506329113924051,0.49,0.45,0.07,0.19,0.00,0.00,0.00,0.31,0.67,0.00,0.00,0.24,0.01,14,0.14,0,0
26,9,107,37,720,471,37,31,30,1,0,3,35,35,65,0,0,52,0,0.55072463768116,-0.7421875,-0.0459770114942535,0.212314225053079,0.298507462686565,-2.0253164556962,0.37,0.39,0.30,0.01,0.00,0.03,0.35,0.35,0.65,0.00,0.00,0.52,0.00,13,0.13,0,0
35,15,111,40,674,446,40,60,68,68,0,68,67,68,41,0,39,58,64,1.85507246376812,1.6015625,0.873563218390804,0.530785562632696,2.58706467661691,1.13924050632911,0.40,0.75,0.68,0.68,0.00,0.68,0.67,0.68,0.41,0.00,0.39,0.58,0.64,51,0.51,3,1
11,12,108,21,758,461,52,32,0,32,46,22,8,50,0,0,0,0,66,-1.6231884057971,0.4296875,0.183908045977011,-1.48619957537155,-1.59203980099503,-0.759493670886082,0.52,0.40,0.00,0.32,0.46,0.22,0.08,0.50,0.00,0.00,0.00,0.00,0.66,9,0.09,0,0
17,14,108,29,736,470,50,35,19,0,1,31,41,56,17,0,0,16,21,-0.753623188405797,1.2109375,0.183908045977011,-0.636942675159236,-0.497512437810948,-1.89873417721519,0.50,0.44,0.19,0.00,0.01,0.31,0.41,0.56,0.17,0.00,0.00,0.16,0.21,16,0.16,1,0
13,11,110,42,706,448,42,42,35,27,5,5,0,0,26,44,0,50,55,-1.33333333333333,0.0390624999999999,0.64367816091954,0.743099787685775,0.995024875621891,0.886075949367081,0.42,0.53,0.35,0.27,0.05,0.05,0.00,0.00,0.26,0.44,0.00,0.50,0.55,22,0.22,1,0
29,11,107,36,751,447,20,37,0,68,0,61,54,0,31,0,0,68,28,0.985507246376812,0.0390624999999999,-0.0459770114942535,0.106157112526539,-1.24378109452736,1.0126582278481,0.20,0.46,0.00,0.68,0.00,0.61,0.54,0.00,0.31,0.00,0.00,0.68,0.28,15,0.15,0,0
19,12,104,39,740,450,40,38,3,17,0,9,0,20,1,0,0,0,6,-0.463768115942029,0.4296875,-0.735632183908047,0.424628450106157,-0.696517412935326,0.632911392405061,0.40,0.48,0.03,0.17,0.00,0.09,0.00,0.20,0.01,0.00,0.00,0.00,0.06,18,0.18,1,0
21,15,102,31,750,461,33,35,3,0,10,62,0,59,30,0,0,53,0,-0.173913043478261,1.6015625,-1.19540229885058,-0.424628450106157,-1.19402985074627,-0.759493670886082,0.33,0.44,0.03,0.00,0.10,0.62,0.00,0.59,0.30,0.00,0.00,0.53,0.00,19,0.19,1,0
33,12,102,50,707,449,33,47,28,11,43,14,42,16,58,0,0,0,0,1.56521739130435,0.4296875,-1.19540229885058,1.59235668789809,0.945273631840793,0.759493670886071,0.33,0.59,0.28,0.11,0.43,0.14,0.42,0.16,0.58,0.00,0.00,0.00,0.00,37,0.37,2,0
19,12,106,14,730,452,44,37,1,36,0,18,56,36,0,0,0,16,10,-0.463768115942029,0.4296875,-0.275862068965518,-2.22929936305732,-0.199004975124378,0.379746835443041,0.44,0.46,0.01,0.36,0.00,0.18,0.56,0.36,0.00,0.00,0.00,0.16,0.10,18,0.18,1,0
17,11,102,26,705,462,41,35,50,18,0,0,1,13,24,0,0,0,5,-0.753623188405797,0.0390624999999999,-1.19540229885058,-0.955414012738854,1.04477611940298,-0.886075949367092,0.41,0.44,0.50,0.18,0.00,0.00,0.01,0.13,0.24,0.00,0.00,0.00,0.05,11,0.11,0,0
23,8,106,23,726,465,37,26,9,9,0,0,11,3,26,27,0,13,0,0.115942028985507,-1.1328125,-0.275862068965518,-1.27388535031847,0,-1.26582278481013,0.37,0.33,0.09,0.09,0.00,0.00,0.11,0.03,0.26,0.27,0.00,0.13,0.00,7,0.07,0,0
14,12,106,30,759,452,63,37,0,21,0,11,5,34,53,0,0,63,49,-1.18840579710145,0.4296875,-0.275862068965518,-0.530785562632696,-1.64179104477612,0.379746835443041,0.63,0.46,0.00,0.21,0.00,0.11,0.05,0.34,0.53,0.00,0.00,0.63,0.49,16,0.16,1,0
28,12,105,24,701,463,42,38,54,6,10,31,16,0,0,0,0,25,33,0.840579710144928,0.4296875,-0.505747126436782,-1.16772823779193,1.24378109452736,-1.0126582278481,0.42,0.48,0.54,0.06,0.10,0.31,0.16,0.00,0.00,0.00,0.00,0.25,0.33,14,0.14,0,0
21,12,103,40,719,452,58,48,32,43,67,24,37,27,26,0,0,46,68,-0.173913043478261,0.4296875,-0.965517241379311,0.530785562632696,0.348258706467659,0.379746835443041,0.58,0.60,0.32,0.43,0.67,0.24,0.37,0.27,0.26,0.00,0.00,0.46,0.68,28,0.28,1,0
21,15,107,44,725,451,55,54,31,25,66,68,0,55,10,0,0,17,55,-0.173913043478261,1.6015625,-0.0459770114942535,0.955414012738854,0.0497512437810935,0.506329113924051,0.55,0.68,0.31,0.25,0.66,0.68,0.00,0.55,0.10,0.00,0.00,0.17,0.55,38,0.38,2,0
19,12,108,34,747,464,62,36,3,0,12,0,0,0,0,0,0,32,16,-0.463768115942029,0.4296875,0.183908045977011,-0.106157112526539,-1.04477611940298,-1.13924050632911,0.62,0.45,0.03,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.16,11,0.11,0,0
34,12,118,36,712,449,60,53,52,40,30,57,48,18,24,0,49,57,23,1.71014492753623,0.4296875,2.48275862068965,0.106157112526539,0.696517412935322,0.759493670886071,0.60,0.66,0.52,0.40,0.30,0.57,0.48,0.18,0.24,0.00,0.49,0.57,0.23,32,0.32,2,0
13,6,102,35,748,459,29,23,0,4,26,0,20,0,29,0,0,0,10,-1.33333333333333,-1.9140625,-1.19540229885058,0,-1.09452736318408,-0.506329113924051,0.29,0.29,0.00,0.04,0.26,0.00,0.20,0.00,0.29,0.00,0.00,0.00,0.10,5,0.05,0,0
20,11,109,38,712,452,32,41,33,37,7,39,60,21,29,0,0,0,34,-0.318840579710145,0.0390624999999999,0.413793103448275,0.318471337579618,0.696517412935322,0.379746835443041,0.32,0.51,0.33,0.37,0.07,0.39,0.60,0.21,0.29,0.00,0.00,0.00,0.34,17,0.17,1,0
31,12,107,37,698,446,54,54,59,60,18,23,67,51,50,0,0,5,45,1.27536231884058,0.4296875,-0.0459770114942535,0.212314225053079,1.39303482587064,1.13924050632911,0.54,0.68,0.59,0.60,0.18,0.23,0.67,0.51,0.50,0.00,0.00,0.05,0.45,33,0.33,2,0
26,15,103,26,700,454,43,46,56,27,27,43,43,43,3,0,0,0,30,0.55072463768116,1.6015625,-0.965517241379311,-0.955414012738854,1.29353233830846,0.12658227848101,0.43,0.58,0.56,0.27,0.27,0.43,0.43,0.43,0.03,0.00,0.00,0.00,0.30,24,0.24,1,0
15,12,103,32,703,470,59,37,38,1,0,5,22,38,23,0,0,0,7,-1.04347826086956,0.4296875,-0.965517241379311,-0.318471337579618,1.14427860696517,-1.89873417721519,0.59,0.46,0.38,0.01,0.00,0.05,0.22,0.38,0.23,0.00,0.00,0.00,0.07,18,0.18,1,0
19,12,104,29,731,461,34,31,3,3,19,11,16,0,0,0,0,0,16,-0.463768115942029,0.4296875,-0.735632183908047,-0.636942675159236,-0.248756218905472,-0.759493670886082,0.34,0.39,0.03,0.03,0.19,0.11,0.16,0.00,0.00,0.00,0.00,0.00,0.16,14,0.14,0,0
29,14,110,49,711,457,60,48,21,0,14,10,0,15,37,0,0,7,0,0.985507246376812,1.2109375,0.64367816091954,1.48619957537155,0.746268656716415,-0.253164556962031,0.60,0.60,0.21,0.00,0.14,0.10,0.00,0.15,0.37,0.00,0.00,0.07,0.00,27,0.27,1,0
19,6,107,40,700,450,64,42,44,12,18,0,0,0,29,0,0,0,0,-0.463768115942029,-1.9140625,-0.0459770114942535,0.530785562632696,1.29353233830846,0.632911392405061,0.64,0.53,0.44,0.12,0.18,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,34,0.34,2,0
27,9,104,37,718,452,29,35,4,0,37,14,13,0,0,0,0,22,25,0.695652173913044,-0.7421875,-0.735632183908047,0.212314225053079,0.398009950248757,0.379746835443041,0.29,0.44,0.04,0.00,0.37,0.14,0.13,0.00,0.00,0.00,0.00,0.22,0.25,12,0.12,0,0
28,13,106,37,727,447,51,48,12,49,17,68,0,24,29,0,0,0,0,0.840579710144928,0.8203125,-0.275862068965518,0.212314225053079,-0.0497512437810935,1.0126582278481,0.51,0.60,0.12,0.49,0.17,0.68,0.00,0.24,0.29,0.00,0.00,0.00,0.00,25,0.25,1,0
16,10,109,37,720,452,48,37,5,21,4,0,0,18,6,0,0,0,23,-0.898550724637681,-0.3515625,0.413793103448275,0.212314225053079,0.298507462686565,0.379746835443041,0.48,0.46,0.05,0.21,0.04,0.00,0.00,0.18,0.06,0.00,0.00,0.00,0.23,10,0.10,0,0
26,9,108,38,725,459,53,40,30,19,61,0,46,10,68,0,0,68,14,0.55072463768116,-0.7421875,0.183908045977011,0.318471337579618,0.0497512437810935,-0.506329113924051,0.53,0.50,0.30,0.19,0.61,0.00,0.46,0.10,0.68,0.00,0.00,0.68,0.14,11,0.11,0,0
24,11,108,48,704,443,67,52,0,0,22,5,0,7,16,0,0,18,24,0.260869565217391,0.0390624999999999,0.183908045977011,1.38004246284501,1.09452736318408,1.51898734177215,0.67,0.65,0.00,0.00,0.22,0.05,0.00,0.07,0.16,0.00,0.00,0.18,0.24,31,0.31,2,0
27,12,106,40,713,452,43,43,47,10,7,0,5,25,23,0,0,37,0,0.695652173913044,0.4296875,-0.275862068965518,0.530785562632696,0.646766169154228,0.379746835443041,0.43,0.54,0.47,0.10,0.07,0.00,0.05,0.25,0.23,0.00,0.00,0.37,0.00,35,0.35,2,0
19,6,106,26,760,450,40,33,0,64,59,47,68,0,0,0,0,0,53,-0.463768115942029,-1.9140625,-0.275862068965518,-0.955414012738854,-1.69154228855721,0.632911392405061,0.40,0.41,0.00,0.64,0.59,0.47,0.68,0.00,0.00,0.00,0.00,0.00,0.53,13,0.13,0,0
19,6,108,40,722,452,31,32,23,0,33,0,5,0,0,0,0,12,1,-0.463768115942029,-1.9140625,0.183908045977011,0.530785562632696,0.199004975124378,0.379746835443041,0.31,0.40,0.23,0.00,0.33,0.00,0.05,0.00,0.00,0.00,0.00,0.12,0.01,9,0.09,0,0
21,10,102,15,735,472,20,18,2,0,0,30,44,0,0,0,0,19,13,-0.173913043478261,-0.3515625,-1.19540229885058,-2.12314225053079,-0.44776119402985,-2.15189873417721,0.20,0.23,0.02,0.00,0.00,0.30,0.44,0.00,0.00,0.00,0.00,0.19,0.13,8,0.08,0,0
19,9,106,37,745,457,48,34,0,0,49,0,11,24,0,0,0,4,0,-0.463768115942029,-0.7421875,-0.275862068965518,0.212314225053079,-0.945273631840798,-0.253164556962031,0.48,0.43,0.00,0.00,0.49,0.00,0.11,0.24,0.00,0.00,0.00,0.04,0.00,9,0.09,0,0
19,12,107,44,728,450,57,44,5,18,7,7,0,33,1,0,0,16,24,-0.463768115942029,0.4296875,-0.0459770114942535,0.955414012738854,-0.0995024875621914,0.632911392405061,0.57,0.55,0.05,0.18,0.07,0.07,0.00,0.33,0.01,0.00,0.00,0.16,0.24,43,0.43,2,1
19,11,118,37,724,464,26,33,48,0,6,35,25,0,17,13,42,62,5,-0.463768115942029,0.0390624999999999,2.48275862068965,0.212314225053079,0.0995024875621869,-1.13924050632911,0.26,0.41,0.48,0.00,0.06,0.35,0.25,0.00,0.17,0.13,0.42,0.62,0.05,9,0.09,0,0
25,8,108,36,719,472,29,25,24,0,0,0,0,28,60,0,0,42,0,0.405797101449275,-1.1328125,0.183908045977011,0.106157112526539,0.348258706467659,-2.15189873417721,0.29,0.31,0.24,0.00,0.00,0.00,0.00,0.28,0.60,0.00,0.00,0.42,0.00,7,0.07,0,0
33,14,105,39,706,455,68,55,53,33,13,44,37,0,33,0,0,0,18,1.56521739130435,1.2109375,-0.505747126436782,0.424628450106157,0.995024875621891,0,0.68,0.69,0.53,0.33,0.13,0.44,0.37,0.00,0.33,0.00,0.00,0.00,0.18,35,0.35,2,0
30,7,105,33,720,461,35,32,36,17,3,0,20,5,19,0,0,0,0,1.1304347826087,-1.5234375,-0.505747126436782,-0.212314225053079,0.298507462686565,-0.759493670886082,0.35,0.40,0.36,0.17,0.03,0.00,0.20,0.05,0.19,0.00,0.00,0.00,0.00,7,0.07,0,0
11,12,102,35,711,450,39,41,27,22,20,37,12,8,6,0,0,67,43,-1.6231884057971,0.4296875,-1.19540229885058,0,0.746268656716415,0.632911392405061,0.39,0.51,0.27,0.22,0.20,0.37,0.12,0.08,0.06,0.00,0.00,0.67,0.43,18,0.18,1,0
15,13,113,40,698,448,39,48,47,38,22,37,0,24,40,0,34,21,0,-1.04347826086956,0.8203125,1.33333333333333,0.530785562632696,1.39303482587064,0.886075949367081,0.39,0.60,0.47,0.38,0.22,0.37,0.00,0.24,0.40,0.00,0.34,0.21,0.00,43,0.43,2,1
24,11,108,19,710,464,48,38,41,23,0,31,34,19,0,0,0,34,45,0.260869565217391,0.0390624999999999,0.183908045977011,-1.69851380042463,0.796019900497513,-1.13924050632911,0.48,0.48,0.41,0.23,0.00,0.31,0.34,0.19,0.00,0.00,0.00,0.34,0.45,11,0.11,0,0
19,13,102,19,718,453,35,39,39,35,0,54,25,16,41,0,0,24,47,-0.463768115942029,0.8203125,-1.19540229885058,-1.69851380042463,0.398009950248757,0.25316455696202,0.35,0.49,0.39,0.35,0.00,0.54,0.25,0.16,0.41,0.00,0.00,0.24,0.47,18,0.18,1,0
25,10,104,43,733,447,37,42,24,40,48,5,16,40,19,0,0,59,16,0.405797101449275,-0.3515625,-0.735632183908047,0.849256900212314,-0.348258706467663,1.0126582278481,0.37,0.53,0.24,0.40,0.48,0.05,0.16,0.40,0.19,0.00,0.00,0.59,0.16,29,0.29,1,0
17,9,105,18,756,451,27,25,0,45,0,6,36,3,1,0,0,48,17,-0.753623188405797,-0.7421875,-0.505747126436782,-1.80467091295117,-1.49253731343283,0.506329113924051,0.27,0.31,0.00,0.45,0.00,0.06,0.36,0.03,0.01,0.00,0.00,0.48,0.17,7,0.07,0,0
24,7,107,25,730,470,30,20,4,0,7,0,11,25,11,0,0,15,7,0.260869565217391,-1.5234375,-0.0459770114942535,-1.06157112526539,-0.199004975124378,-1.89873417721519,0.30,0.25,0.04,0.00,0.07,0.00,0.11,0.25,0.11,0.00,0.00,0.15,0.07,6,0.06,0,0
26,11,105,27,720,453,53,42,31,31,15,25,42,12,3,0,0,18,56,0.55072463768116,0.0390624999999999,-0.505747126436782,-0.849256900212314,0.298507462686565,0.25316455696202,0.53,0.53,0.31,0.31,0.15,0.25,0.42,0.12,0.03,0.00,0.00,0.18,0.56,14,0.14,0,0
19,8,102,40,698,448,62,46,63,38,10,1,19,0,52,0,0,17,54,-0.463768115942029,-1.1328125,-1.19540229885058,0.530785562632696,1.39303482587064,0.886075949367081,0.62,0.58,0.63,0.38,0.10,0.01,0.19,0.00,0.52,0.00,0.00,0.17,0.54,40,0.40,2,1
17,9,107,33,720,452,49,37,8,33,0,15,36,0,19,0,0,17,0,-0.753623188405797,-0.7421875,-0.0459770114942535,-0.212314225053079,0.298507462686565,0.379746835443041,0.49,0.46,0.08,0.33,0.00,0.15,0.36,0.00,0.19,0.00,0.00,0.17,0.00,17,0.17,1,0
23,15,106,26,745,469,46,34,0,5,0,53,11,46,3,0,0,10,22,0.115942028985507,1.6015625,-0.275862068965518,-0.955414012738854,-0.945273631840798,-1.77215189873418,0.46,0.43,0.00,0.05,0.00,0.53,0.11,0.46,0.03,0.00,0.00,0.10,0.22,18,0.18,1,0
23,8,107,38,758,452,45,33,0,17,20,10,7,0,28,0,0,0,7,0.115942028985507,-1.1328125,-0.0459770114942535,0.318471337579618,-1.59203980099503,0.379746835443041,0.45,0.41,0.00,0.17,0.20,0.10,0.07,0.00,0.28,0.00,0.00,0.00,0.07,11,0.11,0,0
15,8,105,37,703,445,49,45,49,69,54,0,8,0,28,0,0,16,23,-1.04347826086956,-1.1328125,-0.505747126436782,0.212314225053079,1.14427860696517,1.26582278481012,0.49,0.56,0.49,0.69,0.54,0.00,0.08,0.00,0.28,0.00,0.00,0.16,0.23,35,0.35,2,0
13,7,107,33,717,451,47,35,21,41,0,0,0,4,41,0,0,0,12,-1.33333333333333,-1.5234375,-0.0459770114942535,-0.212314225053079,0.44776119402985,0.506329113924051,0.47,0.44,0.21,0.41,0.00,0.00,0.00,0.04,0.41,0.00,0.00,0.00,0.12,10,0.10,0,0
19,8,103,37,718,451,38,37,36,36,18,0,7,27,20,0,0,0,46,-0.463768115942029,-1.1328125,-0.965517241379311,0.212314225053079,0.398009950248757,0.506329113924051,0.38,0.46,0.36,0.36,0.18,0.00,0.07,0.27,0.20,0.00,0.00,0.00,0.46,13,0.13,0,0
32,12,109,41,754,447,37,40,0,40,14,9,45,46,22,0,0,39,30,1.42028985507246,0.4296875,0.413793103448275,0.636942675159236,-1.39303482587065,1.0126582278481,0.37,0.50,0.00,0.40,0.14,0.09,0.45,0.46,0.22,0.00,0.00,0.39,0.30,16,0.16,1,0
24,12,106,42,758,457,52,40,0,37,0,24,45,27,69,0,0,31,40,0.260869565217391,0.4296875,-0.275862068965518,0.743099787685775,-1.59203980099503,-0.253164556962031,0.52,0.50,0.00,0.37,0.00,0.24,0.45,0.27,0.69,0.00,0.00,0.31,0.40,19,0.19,1,0
33,12,105,45,710,449,29,46,41,38,43,21,21,26,52,0,0,9,6,1.56521739130435,0.4296875,-0.505747126436782,1.06157112526539,0.796019900497513,0.759493670886071,0.29,0.58,0.41,0.38,0.43,0.21,0.21,0.26,0.52,0.00,0.00,0.09,0.06,43,0.43,2,1
24,14,106,26,691,457,50,46,59,17,0,35,50,38,18,0,0,27,17,0.260869565217391,1.2109375,-0.275862068965518,-0.955414012738854,1.74129353233831,-0.253164556962031,0.50,0.58,0.59,0.17,0.00,0.35,0.50,0.38,0.18,0.00,0.00,0.27,0.17,21,0.21,1,0
30,12,106,18,760,452,42,35,0,23,38,27,69,44,0,0,0,54,0,1.1304347826087,0.4296875,-0.275862068965518,-1.80467091295117,-1.69154228855721,0.379746835443041,0.42,0.44,0.00,0.23,0.38,0.27,0.69,0.44,0.00,0.00,0.00,0.54,0.00,15,0.15,0,0
12,7,106,24,688,467,58,34,61,15,1,0,0,13,28,0,0,61,25,-1.47826086956522,-1.5234375,-0.275862068965518,-1.16772823779193,1.89054726368159,-1.51898734177215,0.58,0.43,0.61,0.15,0.01,0.00,0.00,0.13,0.28,0.00,0.00,0.61,0.25,11,0.11,0,0
19,9,106,37,735,452,64,39,12,25,6,0,10,39,15,0,0,32,0,-0.463768115942029,-0.7421875,-0.275862068965518,0.212314225053079,-0.44776119402985,0.379746835443041,0.64,0.49,0.12,0.25,0.06,0.00,0.10,0.39,0.15,0.00,0.00,0.32,0.00,18,0.18,1,0
