Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Kicking_Accuracy,Kicking_Power,Kickoff_Distance,Kickoff_Hang_Time,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Kicking_AccuracyZ,Kicking_PowerZ,Kickoff_DistanceZ,Kickoff_Hang_TimeZ,PeakCur,PeakCurZ,Ability,Draftable
17,10,111,0,779,504,46,42,14,53,69,13,-1.33868808567604,0.313588850174216,1.140625,NaN,-0.356083086053413,0.808823529411767,0.46,0.53,0.14,0.53,0.69,0.13,29,0.29,1,0
28,9,106,0,831,504,57,47,1,67,22,61,0.133868808567604,-0.0348432055749128,0.359375,NaN,-1.89910979228487,0.808823529411767,0.57,0.59,0.01,0.67,0.22,0.61,17,0.17,1,0
15,12,101,0,777,498,45,32,0,26,33,21,-1.60642570281124,1.01045296167247,-0.421875,NaN,-0.296735905044509,1.25,0.45,0.40,0.00,0.26,0.33,0.21,14,0.14,0,0
31,15,115,0,839,493,57,67,64,57,69,46,0.535475234270415,2.05574912891986,1.765625,NaN,-2.13649851632048,1.61764705882353,0.57,0.84,0.64,0.57,0.69,0.46,80,0.80,4,1
25,8,94,0,752,504,61,45,52,0,54,59,-0.267737617135208,-0.383275261324042,-1.515625,NaN,0.445103857566767,0.808823529411767,0.61,0.56,0.52,0.00,0.54,0.59,26,0.26,1,0
31,9,104,0,818,511,46,42,6,10,37,7,0.535475234270415,-0.0348432055749128,0.0468749999999996,NaN,-1.513353115727,0.294117647058824,0.46,0.53,0.06,0.10,0.37,0.07,18,0.18,1,0
16,9,93,0,735,506,64,32,0,0,62,46,-1.47255689424364,-0.0348432055749128,-1.671875,NaN,0.949554896142434,0.661764705882358,0.64,0.40,0.00,0.00,0.62,0.46,4,0.04,0,0
16,7,104,0,716,499,59,37,0,36,68,0,-1.47255689424364,-0.731707317073171,0.0468749999999996,NaN,1.513353115727,1.1764705882353,0.59,0.46,0.00,0.36,0.68,0.00,22,0.22,1,0
25,9,111,0,757,516,38,52,61,68,24,0,-0.267737617135208,-0.0348432055749128,1.140625,NaN,0.296735905044509,-0.0735294117647043,0.38,0.65,0.61,0.68,0.24,0.00,67,0.67,3,1
18,11,103,0,757,500,30,37,20,46,32,28,-1.20481927710843,0.662020905923345,-0.109375,NaN,0.296735905044509,1.10294117647059,0.30,0.46,0.20,0.46,0.32,0.28,16,0.16,1,0
24,5,103,0,750,508,61,43,15,21,34,0,-0.401606425702811,-1.42857142857143,-0.109375,NaN,0.504451038575667,0.514705882352943,0.61,0.54,0.15,0.21,0.34,0.00,22,0.22,1,0
32,5,97,0,797,517,46,42,57,24,17,0,0.669344042838019,-1.42857142857143,-1.046875,NaN,-0.890207715133531,-0.147058823529409,0.46,0.53,0.57,0.24,0.17,0.00,21,0.21,1,0
24,11,108,0,752,512,31,45,38,11,20,58,-0.401606425702811,0.662020905923345,0.671875,NaN,0.445103857566767,0.220588235294119,0.31,0.56,0.38,0.11,0.20,0.58,20,0.20,1,0
30,9,109,0,755,540,67,52,17,34,0,0,0.401606425702811,-0.0348432055749128,0.828125,NaN,0.356083086053413,-1.83823529411765,0.67,0.65,0.17,0.34,0.00,0.00,23,0.23,1,0
24,5,102,0,741,524,55,49,68,68,10,0,-0.401606425702811,-1.42857142857143,-0.265625,NaN,0.771513353115726,-0.661764705882352,0.55,0.61,0.68,0.68,0.10,0.00,73,0.73,4,1
21,10,110,0,767,502,29,45,36,26,54,36,-0.803212851405622,0.313588850174216,0.984375,NaN,0,0.955882352941182,0.29,0.56,0.36,0.26,0.54,0.36,25,0.25,1,0
32,9,100,0,733,512,69,47,4,0,3,6,0.669344042838019,-0.0348432055749128,-0.578125,NaN,1.00890207715133,0.220588235294119,0.69,0.59,0.04,0.00,0.03,0.06,18,0.18,1,0
33,9,100,0,789,506,59,45,10,4,20,68,0.803212851405622,-0.0348432055749128,-0.578125,NaN,-0.652818991097922,0.661764705882358,0.59,0.56,0.10,0.04,0.20,0.68,10,0.10,0,0
28,10,108,0,752,510,38,52,37,62,65,45,0.133868808567604,0.313588850174216,0.671875,NaN,0.445103857566767,0.367647058823535,0.38,0.65,0.37,0.62,0.65,0.45,68,0.68,3,1
24,9,96,0,755,535,57,42,52,14,23,49,-0.401606425702811,-0.0348432055749128,-1.203125,NaN,0.356083086053413,-1.47058823529411,0.57,0.53,0.52,0.14,0.23,0.49,25,0.25,1,0
15,6,94,0,737,522,70,28,3,0,19,30,-1.60642570281124,-1.0801393728223,-1.515625,NaN,0.890207715133531,-0.514705882352937,0.70,0.35,0.03,0.00,0.19,0.30,10,0.10,0,0
26,9,110,0,812,507,70,55,11,68,16,0,-0.133868808567604,-0.0348432055749128,0.984375,NaN,-1.33531157270029,0.588235294117648,0.70,0.69,0.11,0.68,0.16,0.00,46,0.46,2,1
16,10,106,0,820,510,62,35,0,18,12,17,-1.47255689424364,0.313588850174216,0.359375,NaN,-1.5727002967359,0.367647058823535,0.62,0.44,0.00,0.18,0.12,0.17,16,0.16,1,0
23,6,97,0,840,512,48,32,0,11,41,33,-0.535475234270415,-1.0801393728223,-1.046875,NaN,-2.16617210682493,0.220588235294119,0.48,0.40,0.00,0.11,0.41,0.33,12,0.12,0,0
37,7,102,0,812,539,66,49,41,0,0,28,1.33868808567604,-0.731707317073171,-0.265625,NaN,-1.33531157270029,-1.76470588235294,0.66,0.61,0.41,0.00,0.00,0.28,25,0.25,1,0
36,9,102,0,819,513,41,50,68,15,21,68,1.20481927710843,-0.0348432055749128,-0.265625,NaN,-1.54302670623145,0.147058823529415,0.41,0.63,0.68,0.15,0.21,0.68,25,0.25,1,0
26,8,99,0,763,540,55,37,13,12,0,20,-0.133868808567604,-0.383275261324042,-0.734375,NaN,0.118694362017804,-1.83823529411765,0.55,0.46,0.13,0.12,0.00,0.20,11,0.11,0,0
16,5,102,0,755,512,57,32,8,25,13,0,-1.47255689424364,-1.42857142857143,-0.265625,NaN,0.356083086053413,0.220588235294119,0.57,0.40,0.08,0.25,0.13,0.00,13,0.13,0,0
38,7,104,0,755,512,71,54,28,0,8,0,1.47255689424364,-0.731707317073171,0.0468749999999996,NaN,0.356083086053413,0.220588235294119,0.71,0.68,0.28,0.00,0.08,0.00,26,0.26,1,0
23,20,116,0,780,512,50,50,0,13,0,16,-0.535475234270415,3.79790940766551,1.921875,NaN,-0.385756676557863,0.220588235294119,0.50,0.63,0.00,0.13,0.00,0.16,22,0.22,1,0
33,12,111,0,780,494,38,55,24,42,66,43,0.803212851405622,1.01045296167247,1.140625,NaN,-0.385756676557863,1.54411764705882,0.38,0.69,0.24,0.42,0.66,0.43,31,0.31,2,0
23,7,96,0,797,512,59,35,0,0,28,1,-0.535475234270415,-0.731707317073171,-1.203125,NaN,-0.890207715133531,0.220588235294119,0.59,0.44,0.00,0.00,0.28,0.01,7,0.07,0,0
32,7,107,0,769,512,47,45,3,29,20,15,0.669344042838019,-0.731707317073171,0.515625,NaN,-0.0593471810089034,0.220588235294119,0.47,0.56,0.03,0.29,0.20,0.15,15,0.15,0,0
29,9,111,0,731,540,37,45,7,46,0,0,0.267737617135208,-0.0348432055749128,1.140625,NaN,1.06824925816024,-1.83823529411765,0.37,0.56,0.07,0.46,0.00,0.00,19,0.19,1,0
28,9,109,0,735,506,46,47,0,17,19,12,0.133868808567604,-0.0348432055749128,0.828125,NaN,0.949554896142434,0.661764705882358,0.46,0.59,0.00,0.17,0.19,0.12,20,0.20,1,0
33,10,102,0,740,540,31,40,13,28,0,31,0.803212851405622,0.313588850174216,-0.265625,NaN,0.801186943620177,-1.83823529411765,0.31,0.50,0.13,0.28,0.00,0.31,10,0.10,0,0
12,6,102,0,798,507,70,32,0,41,22,0,-2.00803212851406,-1.0801393728223,-0.265625,NaN,-0.919881305637984,0.588235294117648,0.70,0.40,0.00,0.41,0.22,0.00,10,0.10,0,0
21,9,110,0,836,521,66,47,24,30,46,17,-0.803212851405622,-0.0348432055749128,0.984375,NaN,-2.04747774480712,-0.441176470588232,0.66,0.59,0.24,0.30,0.46,0.17,26,0.26,1,0
16,4,99,0,803,512,66,32,18,29,8,0,-1.47255689424364,-1.77700348432056,-0.734375,NaN,-1.06824925816024,0.220588235294119,0.66,0.40,0.18,0.29,0.08,0.00,22,0.22,1,0
31,7,103,0,780,509,63,45,0,0,24,2,0.535475234270415,-0.731707317073171,-0.109375,NaN,-0.385756676557863,0.441176470588239,0.63,0.56,0.00,0.00,0.24,0.02,6,0.06,0,0
30,7,96,0,727,521,66,42,16,0,1,31,0.401606425702811,-0.731707317073171,-1.203125,NaN,1.18694362017804,-0.441176470588232,0.66,0.53,0.16,0.00,0.01,0.31,10,0.10,0,0
36,9,105,0,809,495,42,52,34,54,32,11,1.20481927710843,-0.0348432055749128,0.203125,NaN,-1.24629080118694,1.47058823529412,0.42,0.65,0.34,0.54,0.32,0.11,18,0.18,1,0
40,7,100,0,785,524,55,50,27,46,0,10,1.74029451137885,-0.731707317073171,-0.578125,NaN,-0.534124629080118,-0.661764705882352,0.55,0.63,0.27,0.46,0.00,0.10,21,0.21,1,0
23,11,110,0,785,538,62,50,39,27,0,41,-0.535475234270415,0.662020905923345,0.984375,NaN,-0.534124629080118,-1.69117647058823,0.62,0.63,0.39,0.27,0.00,0.41,33,0.33,2,0
23,6,95,0,763,519,47,32,0,0,5,35,-0.535475234270415,-1.0801393728223,-1.359375,NaN,0.118694362017804,-0.294117647058824,0.47,0.40,0.00,0.00,0.05,0.35,3,0.03,0,0
16,11,107,0,819,502,63,40,0,51,63,24,-1.47255689424364,0.662020905923345,0.515625,NaN,-1.54302670623145,0.955882352941182,0.63,0.50,0.00,0.51,0.63,0.24,18,0.18,1,0
24,7,97,0,817,507,58,38,12,17,25,0,-0.401606425702811,-0.731707317073171,-1.046875,NaN,-1.48367952522255,0.588235294117648,0.58,0.48,0.12,0.17,0.25,0.00,15,0.15,0,0
18,14,112,0,761,510,55,47,19,39,24,31,-1.20481927710843,1.70731707317073,1.296875,NaN,0.178041543026705,0.367647058823535,0.55,0.59,0.19,0.39,0.24,0.31,31,0.31,2,0
21,6,92,0,740,513,42,28,14,0,13,12,-0.803212851405622,-1.0801393728223,-1.828125,NaN,0.801186943620177,0.147058823529415,0.42,0.35,0.14,0.00,0.13,0.12,10,0.10,0,0
15,8,101,0,780,540,47,25,0,13,0,2,-1.60642570281124,-0.383275261324042,-0.421875,NaN,-0.385756676557863,-1.83823529411765,0.47,0.31,0.00,0.13,0.00,0.02,11,0.11,0,0
23,11,109,0,755,508,70,55,16,64,37,6,-0.535475234270415,0.662020905923345,0.828125,NaN,0.356083086053413,0.514705882352943,0.70,0.69,0.16,0.64,0.37,0.06,39,0.39,2,0
31,14,114,0,787,502,73,64,34,26,21,54,0.535475234270415,1.70731707317073,1.609375,NaN,-0.593471810089021,0.955882352941182,0.73,0.80,0.34,0.26,0.21,0.54,42,0.42,2,1
25,4,104,0,749,533,71,40,10,10,1,0,-0.267737617135208,-1.77700348432056,0.0468749999999996,NaN,0.534124629080118,-1.3235294117647,0.71,0.50,0.10,0.10,0.01,0.00,12,0.12,0,0
23,7,93,0,824,508,46,35,26,0,36,0,-0.535475234270415,-0.731707317073171,-1.671875,NaN,-1.69139465875371,0.514705882352943,0.46,0.44,0.26,0.00,0.36,0.00,15,0.15,0,0
23,7,94,0,737,511,48,37,22,7,34,4,-0.535475234270415,-0.731707317073171,-1.515625,NaN,0.890207715133531,0.294117647058824,0.48,0.46,0.22,0.07,0.34,0.04,19,0.19,1,0
27,9,100,0,738,522,56,42,28,0,0,3,0,-0.0348432055749128,-0.578125,NaN,0.86053412462908,-0.514705882352937,0.56,0.53,0.28,0.00,0.00,0.03,24,0.24,1,0
29,8,108,0,806,503,32,40,0,12,6,14,0.267737617135208,-0.383275261324042,0.671875,NaN,-1.15727002967359,0.882352941176471,0.32,0.50,0.00,0.12,0.06,0.14,9,0.09,0,0
35,7,110,0,780,512,57,52,33,14,26,0,1.07095046854083,-0.731707317073171,0.984375,NaN,-0.385756676557863,0.220588235294119,0.57,0.65,0.33,0.14,0.26,0.00,22,0.22,1,0
26,6,99,0,816,527,49,37,17,31,11,36,-0.133868808567604,-1.0801393728223,-0.734375,NaN,-1.4540059347181,-0.882352941176465,0.49,0.46,0.17,0.31,0.11,0.36,18,0.18,1,0
20,6,98,0,737,511,45,32,21,22,44,10,-0.937081659973226,-1.0801393728223,-0.890625,NaN,0.890207715133531,0.294117647058824,0.45,0.40,0.21,0.22,0.44,0.10,14,0.14,0,0
30,7,101,0,755,524,57,47,41,38,5,10,0.401606425702811,-0.731707317073171,-0.421875,NaN,0.356083086053413,-0.661764705882352,0.57,0.59,0.41,0.38,0.05,0.10,26,0.26,1,0
37,8,104,0,720,517,50,52,36,20,19,32,1.33868808567604,-0.383275261324042,0.0468749999999996,NaN,1.3946587537092,-0.147058823529409,0.50,0.65,0.36,0.20,0.19,0.32,25,0.25,1,0
19,9,99,0,735,503,45,32,0,1,27,52,-1.07095046854083,-0.0348432055749128,-0.734375,NaN,0.949554896142434,0.882352941176471,0.45,0.40,0.00,0.01,0.27,0.52,9,0.09,0,0
23,9,99,0,840,523,65,43,17,32,69,69,-0.535475234270415,-0.0348432055749128,-0.734375,NaN,-2.16617210682493,-0.588235294117648,0.65,0.54,0.17,0.32,0.69,0.69,17,0.17,1,0
28,11,105,0,714,540,39,43,1,57,0,69,0.133868808567604,0.662020905923345,0.203125,NaN,1.57270029673591,-1.83823529411765,0.39,0.54,0.01,0.57,0.00,0.69,14,0.14,0,0
35,8,101,0,732,531,73,57,64,30,5,30,1.07095046854083,-0.383275261324042,-0.421875,NaN,1.03857566765579,-1.17647058823529,0.73,0.71,0.64,0.30,0.05,0.30,47,0.47,2,1
22,6,104,0,766,514,64,43,26,28,19,26,-0.669344042838019,-1.0801393728223,0.0468749999999996,NaN,0.0296735905044504,0.0735294117647108,0.64,0.54,0.26,0.28,0.19,0.26,23,0.23,1,0
26,11,109,0,756,521,42,49,37,34,7,24,-0.133868808567604,0.662020905923345,0.828125,NaN,0.326409495548962,-0.441176470588232,0.42,0.61,0.37,0.34,0.07,0.24,21,0.21,1,0
14,9,107,0,827,512,48,32,0,38,9,2,-1.74029451137885,-0.0348432055749128,0.515625,NaN,-1.78041543026706,0.220588235294119,0.48,0.40,0.00,0.38,0.09,0.02,18,0.18,1,0
18,5,91,0,735,502,56,30,0,0,22,12,-1.20481927710843,-1.42857142857143,-1.984375,NaN,0.949554896142434,0.955882352941182,0.56,0.38,0.00,0.00,0.22,0.12,5,0.05,0,0
17,8,108,0,783,531,71,37,0,28,0,3,-1.33868808567604,-0.383275261324042,0.671875,NaN,-0.474777448071217,-1.17647058823529,0.71,0.46,0.00,0.28,0.00,0.03,12,0.12,0,0
21,9,110,0,729,526,60,52,52,51,20,0,-0.803212851405622,-0.0348432055749128,0.984375,NaN,1.12759643916914,-0.808823529411761,0.60,0.65,0.52,0.51,0.20,0.00,35,0.35,2,0
31,9,98,0,759,513,61,50,61,14,17,17,0.535475234270415,-0.0348432055749128,-0.890625,NaN,0.237388724035609,0.147058823529415,0.61,0.63,0.61,0.14,0.17,0.17,34,0.34,2,0
35,21,111,0,809,480,48,60,17,37,67,69,1.07095046854083,4.14634146341463,1.140625,NaN,-1.24629080118694,2.57352941176471,0.48,0.75,0.17,0.37,0.67,0.69,50,0.50,2,1
36,9,101,0,731,503,64,52,28,3,34,33,1.20481927710843,-0.0348432055749128,-0.421875,NaN,1.06824925816024,0.882352941176471,0.64,0.65,0.28,0.03,0.34,0.33,23,0.23,1,0
26,8,109,0,753,531,46,45,18,26,0,0,-0.133868808567604,-0.383275261324042,0.828125,NaN,0.415430267062314,-1.17647058823529,0.46,0.56,0.18,0.26,0.00,0.00,21,0.21,1,0
37,6,94,0,824,526,39,38,31,0,0,0,1.33868808567604,-1.0801393728223,-1.515625,NaN,-1.69139465875371,-0.808823529411761,0.39,0.48,0.31,0.00,0.00,0.00,16,0.16,1,0
18,9,103,0,780,507,48,35,0,50,23,8,-1.20481927710843,-0.0348432055749128,-0.109375,NaN,-0.385756676557863,0.588235294117648,0.48,0.44,0.00,0.50,0.23,0.08,13,0.13,0,0
26,10,98,0,812,498,65,42,0,0,64,62,-0.133868808567604,0.313588850174216,-0.890625,NaN,-1.33531157270029,1.25,0.65,0.53,0.00,0.00,0.64,0.62,12,0.12,0,0
23,9,109,0,726,507,52,49,9,48,32,0,-0.535475234270415,-0.0348432055749128,0.828125,NaN,1.21661721068249,0.588235294117648,0.52,0.61,0.09,0.48,0.32,0.00,26,0.26,1,0
22,6,94,0,840,497,66,38,25,0,48,29,-0.669344042838019,-1.0801393728223,-1.515625,NaN,-2.16617210682493,1.32352941176471,0.66,0.48,0.25,0.00,0.48,0.29,21,0.21,1,0
23,11,109,0,775,500,75,57,36,56,56,27,-0.535475234270415,0.662020905923345,0.828125,NaN,-0.237388724035609,1.10294117647059,0.75,0.71,0.36,0.56,0.56,0.27,39,0.39,2,0
18,7,101,0,715,510,42,30,0,8,28,13,-1.20481927710843,-0.731707317073171,-0.421875,NaN,1.54302670623145,0.367647058823535,0.42,0.38,0.00,0.08,0.28,0.13,6,0.06,0,0
17,5,98,0,744,540,69,32,29,5,0,8,-1.33868808567604,-1.42857142857143,-0.890625,NaN,0.682492581602372,-1.83823529411765,0.69,0.40,0.29,0.05,0.00,0.08,13,0.13,0,0
24,9,108,0,721,509,50,47,20,19,16,36,-0.401606425702811,-0.0348432055749128,0.671875,NaN,1.36498516320475,0.441176470588239,0.50,0.59,0.20,0.19,0.16,0.36,21,0.21,1,0
17,9,107,0,756,511,68,43,14,45,31,14,-1.33868808567604,-0.0348432055749128,0.515625,NaN,0.326409495548962,0.294117647058824,0.68,0.54,0.14,0.45,0.31,0.14,23,0.23,1,0
35,9,106,0,780,532,52,49,33,0,3,9,1.07095046854083,-0.0348432055749128,0.359375,NaN,-0.385756676557863,-1.25,0.52,0.61,0.33,0.00,0.03,0.09,26,0.26,1,0
26,9,104,0,805,495,35,42,26,19,39,39,-0.133868808567604,-0.0348432055749128,0.0468749999999996,NaN,-1.12759643916914,1.47058823529412,0.35,0.53,0.26,0.19,0.39,0.39,17,0.17,1,0
19,11,109,0,765,512,72,52,37,43,43,42,-1.07095046854083,0.662020905923345,0.828125,NaN,0.0593471810089008,0.220588235294119,0.72,0.65,0.37,0.43,0.43,0.42,40,0.40,2,1
17,6,98,0,797,497,63,32,0,0,60,36,-1.33868808567604,-1.0801393728223,-0.890625,NaN,-0.890207715133531,1.32352941176471,0.63,0.40,0.00,0.00,0.60,0.36,6,0.06,0,0
28,5,104,0,761,540,49,42,58,13,0,1,0.133868808567604,-1.42857142857143,0.0468749999999996,NaN,0.178041543026705,-1.83823529411765,0.49,0.53,0.58,0.13,0.00,0.01,24,0.24,1,0
23,8,110,0,713,497,55,47,0,20,34,0,-0.535475234270415,-0.383275261324042,0.984375,NaN,1.60237388724036,1.32352941176471,0.55,0.59,0.00,0.20,0.34,0.00,17,0.17,1,0
36,7,104,0,729,540,46,45,24,7,0,15,1.20481927710843,-0.731707317073171,0.0468749999999996,NaN,1.12759643916914,-1.83823529411765,0.46,0.56,0.24,0.07,0.00,0.15,19,0.19,1,0
43,13,110,0,758,486,53,62,22,29,27,31,2.14190093708166,1.3588850174216,0.984375,NaN,0.267062314540059,2.13235294117647,0.53,0.78,0.22,0.29,0.27,0.31,40,0.40,2,1
40,8,97,0,741,499,48,54,68,0,63,64,1.74029451137885,-0.383275261324042,-1.046875,NaN,0.771513353115726,1.1764705882353,0.48,0.68,0.68,0.00,0.63,0.64,38,0.38,2,0
29,8,107,0,730,499,43,45,14,14,48,6,0.267737617135208,-0.383275261324042,0.515625,NaN,1.09792284866469,1.1764705882353,0.43,0.56,0.14,0.14,0.48,0.06,17,0.17,1,0
37,12,96,0,738,489,39,45,8,0,18,38,1.33868808567604,1.01045296167247,-1.203125,NaN,0.86053412462908,1.91176470588236,0.39,0.56,0.08,0.00,0.18,0.38,12,0.12,0,0
21,12,115,0,780,502,52,52,24,50,55,28,-0.803212851405622,1.01045296167247,1.765625,NaN,-0.385756676557863,0.955882352941182,0.52,0.65,0.24,0.50,0.55,0.28,38,0.38,2,0
29,6,107,0,753,509,43,42,5,22,17,0,0.267737617135208,-1.0801393728223,0.515625,NaN,0.415430267062314,0.441176470588239,0.43,0.53,0.05,0.22,0.17,0.00,14,0.14,0,0
13,8,102,0,777,510,48,27,0,6,40,13,-1.87416331994645,-0.383275261324042,-0.265625,NaN,-0.296735905044509,0.367647058823535,0.48,0.34,0.00,0.06,0.40,0.13,16,0.16,1,0
29,10,108,0,840,529,60,54,49,57,21,62,0.267737617135208,0.313588850174216,0.671875,NaN,-2.16617210682493,-1.02941176470588,0.60,0.68,0.49,0.57,0.21,0.62,48,0.48,2,1
32,6,104,0,723,503,57,52,54,24,50,0,0.669344042838019,-1.0801393728223,0.0468749999999996,NaN,1.30563798219584,0.882352941176471,0.57,0.65,0.54,0.24,0.50,0.00,44,0.44,2,1
25,10,111,0,767,533,50,50,15,68,0,9,-0.267737617135208,0.313588850174216,1.140625,NaN,0,-1.3235294117647,0.50,0.63,0.15,0.68,0.00,0.09,24,0.24,1,0
34,10,110,0,736,512,38,55,40,47,23,0,0.937081659973226,0.313588850174216,0.984375,NaN,0.919881305637981,0.220588235294119,0.38,0.69,0.40,0.47,0.23,0.00,34,0.34,2,0
39,5,99,0,827,519,50,42,30,0,24,0,1.60642570281124,-1.42857142857143,-0.734375,NaN,-1.78041543026706,-0.294117647058824,0.50,0.53,0.30,0.00,0.24,0.00,8,0.08,0,0
25,6,106,0,765,502,67,50,46,1,39,0,-0.267737617135208,-1.0801393728223,0.359375,NaN,0.0593471810089008,0.955882352941182,0.67,0.63,0.46,0.01,0.39,0.00,29,0.29,1,0
36,14,111,0,780,526,47,55,42,23,1,55,1.20481927710843,1.70731707317073,1.140625,NaN,-0.385756676557863,-0.808823529411761,0.47,0.69,0.42,0.23,0.01,0.55,28,0.28,1,0
25,8,107,0,792,511,35,40,15,25,14,44,-0.267737617135208,-0.383275261324042,0.515625,NaN,-0.741839762611276,0.294117647058824,0.35,0.50,0.15,0.25,0.14,0.44,14,0.14,0,0
31,8,94,0,752,511,67,42,3,2,38,16,0.535475234270415,-0.383275261324042,-1.515625,NaN,0.445103857566767,0.294117647058824,0.67,0.53,0.03,0.02,0.38,0.16,16,0.16,1,0
28,9,106,0,758,512,47,47,26,25,11,37,0.133868808567604,-0.0348432055749128,0.359375,NaN,0.267062314540059,0.220588235294119,0.47,0.59,0.26,0.25,0.11,0.37,22,0.22,1,0
19,12,108,0,757,512,54,45,35,35,11,40,-1.07095046854083,1.01045296167247,0.671875,NaN,0.296735905044509,0.220588235294119,0.54,0.56,0.35,0.35,0.11,0.40,18,0.18,1,0
23,12,102,0,729,522,68,49,33,11,0,40,-0.535475234270415,1.01045296167247,-0.265625,NaN,1.12759643916914,-0.514705882352937,0.68,0.61,0.33,0.11,0.00,0.40,22,0.22,1,0
22,8,109,0,714,496,68,54,36,34,54,0,-0.669344042838019,-0.383275261324042,0.828125,NaN,1.57270029673591,1.39705882352941,0.68,0.68,0.36,0.34,0.54,0.00,37,0.37,2,0
28,13,106,0,728,500,55,50,0,34,57,63,0.133868808567604,1.3588850174216,0.359375,NaN,1.15727002967359,1.10294117647059,0.55,0.63,0.00,0.34,0.57,0.63,21,0.21,1,0
31,6,91,0,717,506,47,42,32,0,59,37,0.535475234270415,-1.0801393728223,-1.984375,NaN,1.48367952522255,0.661764705882358,0.47,0.53,0.32,0.00,0.59,0.37,12,0.12,0,0
36,10,105,0,773,525,49,52,51,15,1,52,1.20481927710843,0.313588850174216,0.203125,NaN,-0.178041543026708,-0.735294117647056,0.49,0.65,0.51,0.15,0.01,0.52,26,0.26,1,0
