Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Blocking,Pass_Blocking,Blocking_Strength,Endurance,Long_Snapping,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_BlockingZ,Pass_BlockingZ,Blocking_StrengthZ,EnduranceZ,Long_SnappingZ,PeakCur,PeakCurZ,Ability,Draftable
33,17,79,0,840,550,4,15,0,0,0,0,7,0.344478216818642,-1.16182572614108,-1.4050822122571,NaN,-1.27272727272728,-1.12781954887218,0.04,0.19,0.00,0.00,0.00,0.00,0.07,3,0.03,0,0
24,29,95,0,814,521,43,45,18,4,39,30,3,-0.567375886524823,1.32780082987552,0.986547085201793,NaN,-0.090909090909097,1.05263157894737,0.43,0.56,0.18,0.04,0.39,0.30,0.03,32,0.32,2,0
14,17,78,0,833,547,45,16,0,0,0,0,15,-1.58054711246201,-1.16182572614108,-1.55455904334828,NaN,-0.954545454545458,-0.902255639097745,0.45,0.20,0.00,0.00,0.00,0.00,0.15,3,0.03,0,0
48,25,95,0,805,516,31,47,45,32,17,21,0,1.86423505572442,0.497925311203319,0.986547085201793,NaN,0.318181818181811,1.42857142857142,0.31,0.59,0.45,0.32,0.17,0.21,0.00,37,0.37,2,0
32,19,92,0,802,543,22,25,12,23,0,27,2,0.243161094224924,-0.746887966804979,0.53811659192825,NaN,0.454545454545453,-0.601503759398497,0.22,0.31,0.12,0.23,0.00,0.27,0.02,5,0.05,0,0
24,20,81,0,840,531,33,25,21,0,8,28,5,-0.567375886524823,-0.53941908713693,-1.10612855007474,NaN,-1.27272727272728,0.300751879699248,0.33,0.31,0.21,0.00,0.08,0.28,0.05,9,0.09,0,0
36,25,91,0,800,546,47,35,1,21,23,13,7,0.648429584599797,0.497925311203319,0.388639760837069,NaN,0.545454545454542,-0.827067669172935,0.47,0.44,0.01,0.21,0.23,0.13,0.07,18,0.18,1,0
16,28,95,0,782,531,10,42,20,43,51,26,17,-1.37791286727457,1.12033195020747,0.986547085201793,NaN,1.36363636363636,0.300751879699248,0.10,0.53,0.20,0.43,0.51,0.26,0.17,46,0.46,2,1
24,17,89,0,793,544,18,23,5,27,0,18,5,-0.567375886524823,-1.16182572614108,0.0896860986547077,NaN,0.863636363636361,-0.676691729323314,0.18,0.29,0.05,0.27,0.00,0.18,0.05,4,0.04,0,0
24,18,96,0,826,536,28,26,19,1,0,33,0,-0.567375886524823,-0.954356846473029,1.13602391629297,NaN,-0.636363636363639,-0.0751879699248171,0.28,0.33,0.19,0.01,0.00,0.33,0.00,5,0.05,0,0
17,20,86,0,829,542,27,18,0,0,0,0,45,-1.27659574468085,-0.53941908713693,-0.358744394618835,NaN,-0.772727272727272,-0.526315789473686,0.27,0.23,0.00,0.00,0.00,0.00,0.45,12,0.12,0,0
24,25,94,0,806,535,30,36,12,17,31,10,0,-0.567375886524823,0.497925311203319,0.837070254110612,NaN,0.272727272727267,0,0.30,0.45,0.12,0.17,0.31,0.10,0.00,25,0.25,1,0
48,25,84,0,800,515,42,47,37,61,13,21,4,1.86423505572442,0.497925311203319,-0.657698056801197,NaN,0.545454545454542,1.50375939849624,0.42,0.59,0.37,0.61,0.13,0.21,0.04,31,0.31,2,0
18,21,98,0,800,540,19,29,5,28,3,34,0,-1.17527862208713,-0.33195020746888,1.43497757847534,NaN,0.545454545454542,-0.375939849624065,0.19,0.36,0.05,0.28,0.03,0.34,0.00,16,0.16,1,0
32,19,83,0,792,544,31,26,3,31,11,7,0,0.243161094224924,-0.746887966804979,-0.807174887892377,NaN,0.909090909090906,-0.676691729323314,0.31,0.33,0.03,0.31,0.11,0.07,0.00,13,0.13,0,0
44,25,85,0,784,550,45,37,0,66,23,4,18,1.45896656534954,0.497925311203319,-0.508221225710016,NaN,1.27272727272727,-1.12781954887218,0.45,0.46,0.00,0.66,0.23,0.04,0.18,15,0.15,0,0
31,17,92,0,795,528,13,30,23,8,0,0,5,0.141843971631206,-1.16182572614108,0.53811659192825,NaN,0.772727272727268,0.52631578947368,0.13,0.38,0.23,0.08,0.00,0.00,0.05,7,0.07,0,0
21,33,105,0,806,521,16,47,55,30,59,50,5,-0.871327254305978,2.15767634854772,2.4813153961136,NaN,0.272727272727267,1.05263157894737,0.16,0.59,0.55,0.30,0.59,0.50,0.05,51,0.51,3,1
19,28,86,0,817,534,16,35,41,10,28,46,0,-1.07396149949341,1.12033195020747,-0.358744394618835,NaN,-0.227272727272731,0.0751879699248104,0.16,0.44,0.41,0.10,0.28,0.46,0.00,15,0.15,0,0
33,17,84,0,837,550,33,15,0,0,0,0,69,0.344478216818642,-1.16182572614108,-0.657698056801197,NaN,-1.13636363636364,-1.12781954887218,0.33,0.19,0.00,0.00,0.00,0.00,0.69,20,0.20,1,0
48,34,91,0,790,504,16,58,69,53,60,2,13,1.86423505572442,2.36514522821577,0.388639760837069,NaN,0.999999999999995,2.33082706766917,0.16,0.73,0.69,0.53,0.60,0.02,0.13,61,0.61,3,1
16,28,88,0,800,548,20,25,0,3,44,11,0,-1.37791286727457,1.12033195020747,-0.0597907324364732,NaN,0.545454545454542,-0.977443609022562,0.20,0.31,0.00,0.03,0.44,0.11,0.00,16,0.16,1,0
35,26,99,0,783,531,19,44,14,33,26,51,2,0.547112462006079,0.705394190871369,1.58445440956652,NaN,1.31818181818181,0.300751879699248,0.19,0.55,0.14,0.33,0.26,0.51,0.02,15,0.15,0,0
19,30,88,0,803,534,16,32,8,7,38,3,0,-1.07396149949341,1.53526970954357,-0.0597907324364732,NaN,0.409090909090908,0.0751879699248104,0.16,0.40,0.08,0.07,0.38,0.03,0.00,14,0.14,0,0
41,20,84,0,829,547,22,16,0,0,0,0,62,1.15501519756839,-0.53941908713693,-0.657698056801197,NaN,-0.772727272727272,-0.902255639097745,0.22,0.20,0.00,0.00,0.00,0.00,0.62,14,0.14,0,0
38,30,95,0,791,506,11,53,69,17,51,45,19,0.851063829787234,1.53526970954357,0.986547085201793,NaN,0.95454545454545,2.18045112781955,0.11,0.66,0.69,0.17,0.51,0.45,0.19,60,0.60,3,1
33,17,84,0,840,550,30,22,0,0,0,0,17,0.344478216818642,-1.16182572614108,-0.657698056801197,NaN,-1.27272727272728,-1.12781954887218,0.30,0.28,0.00,0.00,0.00,0.00,0.17,4,0.04,0,0
20,35,100,0,782,530,42,59,37,47,69,66,0,-0.972644376899696,2.57261410788382,1.7339312406577,NaN,1.36363636363636,0.375939849624059,0.42,0.74,0.37,0.47,0.69,0.66,0.00,61,0.61,3,1
36,17,102,0,806,538,26,31,8,39,0,69,0,0.648429584599797,-1.16182572614108,2.03288490284006,NaN,0.272727272727267,-0.225563909774438,0.26,0.39,0.08,0.39,0.00,0.69,0.00,13,0.13,0,0
27,17,92,0,783,540,27,31,1,36,0,7,8,-0.263424518743668,-1.16182572614108,0.53811659192825,NaN,1.31818181818181,-0.375939849624065,0.27,0.39,0.01,0.36,0.00,0.07,0.08,10,0.10,0,0
46,38,96,0,754,531,1,53,51,69,57,21,11,1.66160081053698,3.19502074688797,1.13602391629297,NaN,2.63636363636363,0.300751879699248,0.01,0.66,0.51,0.69,0.57,0.21,0.11,57,0.57,3,1
23,25,86,0,767,531,40,46,7,59,6,0,0,-0.668693009118541,0.497925311203319,-0.358744394618835,NaN,2.04545454545454,0.300751879699248,0.40,0.58,0.07,0.59,0.06,0.00,0.00,24,0.24,1,0
41,38,107,0,782,492,35,73,68,52,69,69,22,1.15501519756839,3.19502074688797,2.78026905829596,NaN,1.36363636363636,3.23308270676691,0.35,0.91,0.68,0.52,0.69,0.69,0.22,81,0.81,4,1
28,17,81,0,839,550,28,11,0,0,0,0,0,-0.16210739614995,-1.16182572614108,-1.10612855007474,NaN,-1.22727272727273,-1.12781954887218,0.28,0.14,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0
24,18,84,0,816,531,1,25,16,31,4,23,7,-0.567375886524823,-0.954356846473029,-0.657698056801197,NaN,-0.181818181818186,0.300751879699248,0.01,0.31,0.16,0.31,0.04,0.23,0.07,3,0.03,0,0
16,17,79,0,836,548,25,11,0,0,0,0,60,-1.37791286727457,-1.16182572614108,-1.4050822122571,NaN,-1.09090909090909,-0.977443609022562,0.25,0.14,0.00,0.00,0.00,0.00,0.60,17,0.17,1,0
19,30,80,0,809,542,35,32,0,34,56,0,0,-1.07396149949341,1.53526970954357,-1.25560538116592,NaN,0.136363636363633,-0.526315789473686,0.35,0.40,0.00,0.34,0.56,0.00,0.00,17,0.17,1,0
40,25,82,0,834,520,1,30,51,0,24,0,0,1.05369807497467,0.497925311203319,-0.956651718983558,NaN,-1,1.12781954887218,0.01,0.38,0.51,0.00,0.24,0.00,0.00,8,0.08,0,0
36,26,87,0,787,515,35,52,45,43,33,18,8,0.648429584599797,0.705394190871369,-0.209267563527654,NaN,1.13636363636363,1.50375939849624,0.35,0.65,0.45,0.43,0.33,0.18,0.08,25,0.25,1,0
28,17,84,0,840,550,8,15,0,0,0,0,69,-0.16210739614995,-1.16182572614108,-0.657698056801197,NaN,-1.27272727272728,-1.12781954887218,0.08,0.19,0.00,0.00,0.00,0.00,0.69,18,0.18,1,0
24,17,81,0,840,550,45,26,0,0,0,0,21,-0.567375886524823,-1.16182572614108,-1.10612855007474,NaN,-1.27272727272728,-1.12781954887218,0.45,0.33,0.00,0.00,0.00,0.00,0.21,5,0.05,0,0
35,17,82,0,840,550,28,22,0,0,0,0,69,0.547112462006079,-1.16182572614108,-0.956651718983558,NaN,-1.27272727272728,-1.12781954887218,0.28,0.28,0.00,0.00,0.00,0.00,0.69,22,0.22,1,0
38,25,85,0,808,523,22,40,40,5,34,69,11,0.851063829787234,0.497925311203319,-0.508221225710016,NaN,0.181818181818178,0.902255639097738,0.22,0.50,0.40,0.05,0.34,0.69,0.11,27,0.27,1,0
28,29,89,0,840,536,18,29,32,0,43,13,13,-0.16210739614995,1.32780082987552,0.0896860986547077,NaN,-1.27272727272728,-0.0751879699248171,0.18,0.36,0.32,0.00,0.43,0.13,0.13,15,0.15,0,0
21,23,88,0,822,519,29,38,54,16,11,38,0,-0.871327254305978,0.0829875518672196,-0.0597907324364732,NaN,-0.454545454545461,1.20300751879699,0.29,0.48,0.54,0.16,0.11,0.38,0.00,14,0.14,0,0
27,29,92,0,785,531,29,50,28,69,69,53,0,-0.263424518743668,1.32780082987552,0.53811659192825,NaN,1.22727272727273,0.300751879699248,0.29,0.63,0.28,0.69,0.69,0.53,0.00,71,0.71,4,1
32,21,93,0,794,536,25,33,8,30,1,9,1,0.243161094224924,-0.33195020746888,0.687593423019431,NaN,0.818181818181813,-0.0751879699248171,0.25,0.41,0.08,0.30,0.01,0.09,0.01,12,0.12,0,0
40,17,80,0,838,549,38,15,0,0,0,0,46,1.05369807497467,-1.16182572614108,-1.25560538116592,NaN,-1.18181818181819,-1.05263157894737,0.38,0.19,0.00,0.00,0.00,0.00,0.46,12,0.12,0,0
27,22,87,0,816,535,26,29,8,7,16,7,10,-0.263424518743668,-0.12448132780083,-0.209267563527654,NaN,-0.181818181818186,0,0.26,0.36,0.08,0.07,0.16,0.07,0.10,10,0.10,0,0
29,17,89,0,790,550,27,23,0,13,0,28,12,-0.0607902735562312,-1.16182572614108,0.0896860986547077,NaN,0.999999999999995,-1.12781954887218,0.27,0.29,0.00,0.13,0.00,0.28,0.12,8,0.08,0,0
37,27,92,0,772,550,36,37,0,21,34,11,22,0.749746707193516,0.912863070539419,0.53811659192825,NaN,1.81818181818182,-1.12781954887218,0.36,0.46,0.00,0.21,0.34,0.11,0.22,35,0.35,2,0
28,21,84,0,822,527,32,30,21,4,1,0,0,-0.16210739614995,-0.33195020746888,-0.657698056801197,NaN,-0.454545454545461,0.601503759398497,0.32,0.38,0.21,0.04,0.01,0.00,0.00,9,0.09,0,0
13,17,83,0,840,550,19,18,0,0,0,0,50,-1.68186423505572,-1.16182572614108,-0.807174887892377,NaN,-1.27272727272728,-1.12781954887218,0.19,0.23,0.00,0.00,0.00,0.00,0.50,15,0.15,0,0
38,29,90,0,796,548,45,38,0,22,50,63,9,0.851063829787234,1.32780082987552,0.239162929745889,NaN,0.727272727272724,-0.977443609022562,0.45,0.48,0.00,0.22,0.50,0.63,0.09,21,0.21,1,0
26,28,98,0,783,501,36,61,69,48,32,69,1,-0.364741641337386,1.12033195020747,1.43497757847534,NaN,1.31818181818181,2.55639097744361,0.36,0.76,0.69,0.48,0.32,0.69,0.01,66,0.66,3,1
24,27,88,0,840,538,17,23,0,0,39,1,15,-0.567375886524823,0.912863070539419,-0.0597907324364732,NaN,-1.27272727272728,-0.225563909774438,0.17,0.29,0.00,0.00,0.39,0.01,0.15,11,0.11,0,0
16,30,85,0,792,534,8,38,64,33,50,13,5,-1.37791286727457,1.53526970954357,-0.508221225710016,NaN,0.909090909090906,0.0751879699248104,0.08,0.48,0.64,0.33,0.50,0.13,0.05,21,0.21,1,0
32,18,94,0,800,541,10,24,9,18,0,43,0,0.243161094224924,-0.954356846473029,0.837070254110612,NaN,0.545454545454542,-0.451127819548876,0.10,0.30,0.09,0.18,0.00,0.43,0.00,4,0.04,0,0
23,17,82,0,840,550,42,25,0,0,0,0,45,-0.668693009118541,-1.16182572614108,-0.956651718983558,NaN,-1.27272727272728,-1.12781954887218,0.42,0.31,0.00,0.00,0.00,0.00,0.45,13,0.13,0,0
39,17,80,0,840,550,31,23,0,0,0,0,0,0.952380952380952,-1.16182572614108,-1.25560538116592,NaN,-1.27272727272728,-1.12781954887218,0.31,0.29,0.00,0.00,0.00,0.00,0.00,1,0.01,0,0
38,17,87,0,800,539,32,28,2,1,0,0,0,0.851063829787234,-1.16182572614108,-0.209267563527654,NaN,0.545454545454542,-0.300751879699248,0.32,0.35,0.02,0.01,0.00,0.00,0.00,5,0.05,0,0
42,17,85,0,840,549,18,11,0,0,0,0,27,1.25633232016211,-1.16182572614108,-0.508221225710016,NaN,-1.27272727272728,-1.05263157894737,0.18,0.14,0.00,0.00,0.00,0.00,0.27,7,0.07,0,0
14,25,98,0,806,522,20,40,40,6,16,59,5,-1.58054711246201,0.497925311203319,1.43497757847534,NaN,0.272727272727267,0.977443609022556,0.20,0.50,0.40,0.06,0.16,0.59,0.05,23,0.23,1,0
47,25,91,0,834,526,33,39,68,2,24,69,10,1.7629179331307,0.497925311203319,0.388639760837069,NaN,-1,0.676691729323307,0.33,0.49,0.68,0.02,0.24,0.69,0.10,17,0.17,1,0
24,22,87,0,824,535,19,30,47,0,10,28,0,-0.567375886524823,-0.12448132780083,-0.209267563527654,NaN,-0.54545454545455,0,0.19,0.38,0.47,0.00,0.10,0.28,0.00,9,0.09,0,0
24,26,78,0,789,538,39,37,21,11,20,0,23,-0.567375886524823,0.705394190871369,-1.55455904334828,NaN,1.04545454545454,-0.225563909774438,0.39,0.46,0.21,0.11,0.20,0.00,0.23,14,0.14,0,0
24,25,80,0,840,542,13,18,0,0,23,0,0,-0.567375886524823,0.497925311203319,-1.25560538116592,NaN,-1.27272727272728,-0.526315789473686,0.13,0.23,0.00,0.00,0.23,0.00,0.00,8,0.08,0,0
48,21,94,0,837,508,28,42,68,0,5,69,6,1.86423505572442,-0.33195020746888,0.837070254110612,NaN,-1.13636363636364,2.03007518796992,0.28,0.53,0.68,0.00,0.05,0.69,0.06,19,0.19,1,0
44,26,93,0,810,547,9,23,0,0,26,14,0,1.45896656534954,0.705394190871369,0.687593423019431,NaN,0.090909090909089,-0.902255639097745,0.09,0.29,0.00,0.00,0.26,0.14,0.00,9,0.09,0,0
25,34,82,0,816,537,28,35,0,0,69,0,0,-0.466058763931105,2.36514522821577,-0.956651718983558,NaN,-0.181818181818186,-0.150375939849628,0.28,0.44,0.00,0.00,0.69,0.00,0.00,22,0.22,1,0
16,33,90,0,810,508,11,46,46,13,63,69,10,-1.37791286727457,2.15767634854772,0.239162929745889,NaN,0.090909090909089,2.03007518796992,0.11,0.58,0.46,0.13,0.63,0.69,0.10,39,0.39,2,0
26,17,79,0,840,550,17,17,0,0,0,0,8,-0.364741641337386,-1.16182572614108,-1.4050822122571,NaN,-1.27272727272728,-1.12781954887218,0.17,0.21,0.00,0.00,0.00,0.00,0.08,4,0.04,0,0
26,25,89,0,783,520,43,53,60,64,23,38,24,-0.364741641337386,0.497925311203319,0.0896860986547077,NaN,1.31818181818181,1.12781954887218,0.43,0.66,0.60,0.64,0.23,0.38,0.24,58,0.58,3,1
42,26,85,0,832,535,16,25,4,0,29,0,0,1.25633232016211,0.705394190871369,-0.508221225710016,NaN,-0.909090909090914,0,0.16,0.31,0.04,0.00,0.29,0.00,0.00,7,0.07,0,0
13,26,93,0,795,542,8,30,0,30,39,69,15,-1.68186423505572,0.705394190871369,0.687593423019431,NaN,0.772727272727268,-0.526315789473686,0.08,0.38,0.00,0.30,0.39,0.69,0.15,20,0.20,1,0
24,21,84,0,823,550,16,15,0,0,13,3,7,-0.567375886524823,-0.33195020746888,-0.657698056801197,NaN,-0.500000000000005,-1.12781954887218,0.16,0.19,0.00,0.00,0.13,0.03,0.07,5,0.05,0,0
24,25,89,0,813,547,35,30,7,26,50,12,18,-0.567375886524823,0.497925311203319,0.0896860986547077,NaN,-0.0454545454545526,-0.902255639097745,0.35,0.38,0.07,0.26,0.50,0.12,0.18,20,0.20,1,0
40,26,83,0,832,539,32,28,44,0,14,0,3,1.05369807497467,0.705394190871369,-0.807174887892377,NaN,-0.909090909090914,-0.300751879699248,0.32,0.35,0.44,0.00,0.14,0.00,0.03,8,0.08,0,0
44,28,88,0,822,531,49,40,20,0,34,2,0,1.45896656534954,1.12033195020747,-0.0597907324364732,NaN,-0.454545454545461,0.300751879699248,0.49,0.50,0.20,0.00,0.34,0.02,0.00,15,0.15,0,0
33,25,79,0,809,545,15,24,0,24,26,0,7,0.344478216818642,0.497925311203319,-1.4050822122571,NaN,0.136363636363633,-0.751879699248124,0.15,0.30,0.00,0.24,0.26,0.00,0.07,10,0.10,0,0
48,27,81,0,840,547,29,22,0,0,15,0,5,1.86423505572442,0.912863070539419,-1.10612855007474,NaN,-1.27272727272728,-0.902255639097745,0.29,0.28,0.00,0.00,0.15,0.00,0.05,6,0.06,0,0
21,17,83,0,800,531,26,30,25,20,0,0,0,-0.871327254305978,-1.16182572614108,-0.807174887892377,NaN,0.545454545454542,0.300751879699248,0.26,0.38,0.25,0.20,0.00,0.00,0.00,6,0.06,0,0
44,22,100,0,825,542,44,31,3,16,0,62,1,1.45896656534954,-0.12448132780083,1.7339312406577,NaN,-0.590909090909094,-0.526315789473686,0.44,0.39,0.03,0.16,0.00,0.62,0.01,11,0.11,0,0
34,22,92,0,837,531,1,26,53,0,18,69,15,0.445795339412361,-0.12448132780083,0.53811659192825,NaN,-1.13636363636364,0.300751879699248,0.01,0.33,0.53,0.00,0.18,0.69,0.15,10,0.10,0,0
21,27,97,0,790,533,50,49,51,11,25,64,5,-0.871327254305978,0.912863070539419,1.28550074738415,NaN,0.999999999999995,0.150375939849621,0.50,0.61,0.51,0.11,0.25,0.64,0.05,28,0.28,1,0
43,27,97,0,797,528,29,46,39,26,36,34,4,1.35764944275583,0.912863070539419,1.28550074738415,NaN,0.681818181818179,0.52631578947368,0.29,0.58,0.39,0.26,0.36,0.34,0.04,36,0.36,2,0
23,19,84,0,794,526,45,38,39,14,0,0,5,-0.668693009118541,-0.746887966804979,-0.657698056801197,NaN,0.818181818181813,0.676691729323307,0.45,0.48,0.39,0.14,0.00,0.00,0.05,21,0.21,1,0
15,18,94,0,811,550,36,21,0,0,0,34,20,-1.47922998986829,-0.954356846473029,0.837070254110612,NaN,0.0454545454545445,-1.12781954887218,0.36,0.26,0.00,0.00,0.00,0.34,0.20,8,0.08,0,0
35,17,84,0,800,531,29,30,7,31,0,0,0,0.547112462006079,-1.16182572614108,-0.657698056801197,NaN,0.545454545454542,0.300751879699248,0.29,0.38,0.07,0.31,0.00,0.00,0.00,5,0.05,0,0
23,21,85,0,810,526,32,33,28,1,14,0,7,-0.668693009118541,-0.33195020746888,-0.508221225710016,NaN,0.090909090909089,0.676691729323307,0.32,0.41,0.28,0.01,0.14,0.00,0.07,20,0.20,1,0
33,30,98,0,838,539,55,38,4,0,50,28,0,0.344478216818642,1.53526970954357,1.43497757847534,NaN,-1.18181818181819,-0.300751879699248,0.55,0.48,0.04,0.00,0.50,0.28,0.00,20,0.20,1,0
30,25,96,0,776,535,22,42,11,22,17,38,0,0.0405268490374872,0.497925311203319,1.13602391629297,NaN,1.63636363636363,0,0.22,0.53,0.11,0.22,0.17,0.38,0.00,22,0.22,1,0
34,22,93,0,825,546,11,18,0,0,9,34,4,0.445795339412361,-0.12448132780083,0.687593423019431,NaN,-0.590909090909094,-0.827067669172935,0.11,0.23,0.00,0.00,0.09,0.34,0.04,9,0.09,0,0
18,25,83,0,794,537,28,31,3,4,26,4,0,-1.17527862208713,0.497925311203319,-0.807174887892377,NaN,0.818181818181813,-0.150375939849628,0.28,0.39,0.03,0.04,0.26,0.04,0.00,13,0.13,0,0
19,28,96,0,768,541,42,49,11,69,53,48,0,-1.07396149949341,1.12033195020747,1.13602391629297,NaN,2,-0.451127819548876,0.42,0.61,0.11,0.69,0.53,0.48,0.00,38,0.38,2,0
13,20,81,0,800,531,38,37,24,49,7,0,0,-1.68186423505572,-0.53941908713693,-1.10612855007474,NaN,0.545454545454542,0.300751879699248,0.38,0.46,0.24,0.49,0.07,0.00,0.00,34,0.34,2,0
31,17,84,0,840,550,21,19,0,0,0,0,0,0.141843971631206,-1.16182572614108,-0.657698056801197,NaN,-1.27272727272728,-1.12781954887218,0.21,0.24,0.00,0.00,0.00,0.00,0.00,1,0.01,0,0
20,21,88,0,790,526,1,33,56,36,3,20,0,-0.972644376899696,-0.33195020746888,-0.0597907324364732,NaN,0.999999999999995,0.676691729323307,0.01,0.41,0.56,0.36,0.03,0.20,0.00,18,0.18,1,0
44,30,92,0,810,547,13,30,0,10,42,63,10,1.45896656534954,1.53526970954357,0.53811659192825,NaN,0.090909090909089,-0.902255639097745,0.13,0.38,0.00,0.10,0.42,0.63,0.10,14,0.14,0,0
36,17,82,0,840,550,45,26,0,0,0,0,67,0.648429584599797,-1.16182572614108,-0.956651718983558,NaN,-1.27272727272728,-1.12781954887218,0.45,0.33,0.00,0.00,0.00,0.00,0.67,20,0.20,1,0
16,17,83,0,840,550,26,21,0,0,0,0,69,-1.37791286727457,-1.16182572614108,-0.807174887892377,NaN,-1.27272727272728,-1.12781954887218,0.26,0.26,0.00,0.00,0.00,0.00,0.69,22,0.22,1,0
36,25,79,0,826,524,33,37,43,0,22,0,21,0.648429584599797,0.497925311203319,-1.4050822122571,NaN,-0.636363636363639,0.827067669172928,0.33,0.46,0.43,0.00,0.22,0.00,0.21,18,0.18,1,0
26,21,92,0,800,526,23,37,18,18,7,18,12,-0.364741641337386,-0.33195020746888,0.53811659192825,NaN,0.545454545454542,0.676691729323307,0.23,0.46,0.18,0.18,0.07,0.18,0.12,15,0.15,0,0
14,23,81,0,788,535,15,30,0,26,18,0,10,-1.58054711246201,0.0829875518672196,-1.10612855007474,NaN,1.09090909090909,0,0.15,0.38,0.00,0.26,0.18,0.00,0.10,7,0.07,0,0
19,30,93,0,771,550,19,37,0,63,38,68,0,-1.07396149949341,1.53526970954357,0.687593423019431,NaN,1.86363636363636,-1.12781954887218,0.19,0.46,0.00,0.63,0.38,0.68,0.00,20,0.20,1,0
36,17,81,0,840,550,18,18,0,0,0,0,57,0.648429584599797,-1.16182572614108,-1.10612855007474,NaN,-1.27272727272728,-1.12781954887218,0.18,0.23,0.00,0.00,0.00,0.00,0.57,15,0.15,0,0
